name,N,board_1,board_2,solution,score,tier,is_solved
puzzle_5947,12,AAABBBCCCDDDAABBBBBCCCDDAEBBBCCCCFDDAEEEEECCFFDDAEEEECCFFFFDEEEGGGCHFFFDIEEGGGHHHHHHIEIGGGGHHHHHIIIGGGGGHJJHIIIKKGGGJJJLIIKKKKKGJLLLIIKKKKKJJJLL,AABBCCDDDEEEAABCCDDDDEEEAAACCDDDDEEEAAACCDFDDEEEAAAAAFFDDGHEIAAAFFFHHGHEIAAFFFFHHHHHAAAFFFFFFHHHAAAJFFFFFKHHAAJJJFFKKKKHAAJJJJFLKKKHAAJJJJLLKKKK,..x.............x.............x................x.........x..x...................x........x.......x.............x..................x........x....,325,Expert,True
puzzle_13311,12,AAABBBCCCCCCAAABBBCCCCCDAAABBEEEDDDDAABBBEEEFDFFAABBBEEEFFFFAGGBBHEEFFFFAGGGGHIJFJJFGGHHHHIJJJJKLGHIIIIJJJJKLLHIIIIKKKJKLLLIIKKKKKKKLLLLLLKKKKKK,AAAABBBBBBBCAAAABBBBDDCCAAAABBBBDDCCAAAAAADDDDCCEEEEEEFFFFCGEEEEEEEHFFCGEEEEEEIHFFFGEJJIIIIIFFFGJJJJIIIKFFFFJJJJJKKKKFFFJJJJLKKKKKKFJJJJLKKKKKKF,.....x................x...x..................x.............x.......x.....x.............x................x...x...............x.............x.....,326,Expert,True
puzzle_12288,12,AABBBCCCDDDDAAEEBCCCDDFDAAEEBCCFFFFFAAEEBBCFFFFFAAEEEECGGFGGAAEEEGGGGGGGEEEEEEGGGGGHEEEEEIGGGJJJKIIIIIIIJJJJKIIIIIIIJJJLKKKKIIIIJJLLKKKKKIIJJLLL,AAABBBBCCDDDAAAABBCCDDDDAAAAEECCCDDDFFAAEEECCDDDFFFFFEEEDDGGHHFEEEEEIIGGHHHHEEEEIIGGHHHJJJJEIIIGHHHJJKKIIIIIHHHKKKKIIIIIHHHKKKLIIIIIHHKKKKLLLIII,........x........x.......x..............x................x....x....................x......x.....x..............x..................x........x....,327,Expert,True
puzzle_48685,12,AAAAABBBCCDDAAAAABBBECDDFAAAABBEEEEDFAAAAEEEEEEEFFAAFEGHEEEEFFFFFGGHHHIIFFFFFGGGGHIIFFJJGGGGGGIIJJJJGGGGGKKKJJJJGGGGGKKKJJJLLGGGGKKKJLLLLLGGGKKK,AAAABBBBCDDDAAAAAABBCDDDAAAAABBBBEEEAAAAFBBBEEEEGGAAFFEEEEEEGGFFFFHEEEEEGGIFJJHEEEKKGGFFJHHEEEKKGGJJJJHHHHKKGGGJJJHHHKKKLLGGJHHHHKKKLLLGHHHHHHHK,........x.............x.......x......x...............x.............x......x....................x.........x......x.......x..............x........,327,Expert,True
puzzle_39029,12,AAAAAABBBBBBAAAAAABBBBBBAAAACCCBDDBBEEEACFCGDDDBEEEECFFGDDDHEEEECFGGDHHHEEEEEGGGDHHHEEEIIIIGGHHHEEIIIJJJGHHHKKIIJJJJJJHHIIIIIJJJJJJJLLIIJJJJJJJJ,AAABBBBBCCCDAAAEBBBCCCCDAEEEBFCCCCDDAEEEEFFCCCDDEEEEFFFCCCDDEEEEGGGGCCCDEEHHHGGGCCIIHHHHHGGJCCIIKHHHHHHJJIIIKHHHHHJJIIIIKKHHHHHIIIIILLHHHHHIIIII,.......x......x..................x......x.............x................x...x.............x..............x...x.....................x..x..........,328,Expert,True
puzzle_21161,12,AAAAABBBBBBBACCAABBBBBDBACCCCBBEEEDBFCCCCEEEEEDDFFCCCEEEEEDDFFFFCEEEDDDDGFFFCHHIIIDDGGJJCHIIIDDDGGJJJJIIIDDDJJJJJJIIDDDDKKKJJJJLLLLLKKKKJJLLLLLL,AAABBBBCCCDDAAABBBBCCCDDAAABBBBBCDDDAEEEFFFBCGGGEEEEFFFFGGGGEEEEFFFGGGGGHEEEEGGGGGGGHIIEEEGGGJJJHIIIIJJJJJJJHHHHKKKJJJLJHHHHKKKJJLLLHHHHKKKJJLLL,.........x..x.....................x........x........x.........x...............x......x..................x........x.................x...x........,329,Expert,True
puzzle_3146,12,AAABBBBCCDDDAAEBBBCCCDDDAAEBBDDDDDDDAEEFFFDDDDGGAHEEFFGGGGGGHHEEFFGGGGGGHHHHFFIGGGGGJHIIIIIIGGGGJJIIKKIILLLLJJIIKKKLLLLLJJJKKKKLLLLLJJJKKKLLLLLL,AAAAABCCCCCCAAAAABCCDDCCAAABBBCCDDCCABBBBEEEDDCCABBBEEEEDDCCAAFFFFEDDDCCFFFFFEEGDDDHIIFFFGGGGGHHIIFFFFGGGHHHJJJJFKGGLLHHJJJFFKKKKLLLJJJJFKKKKLLL,..........x.........x.......x.......x................x.........x...................x.x.................x.............x........x.......x.........,329,Expert,True
puzzle_11352,12,AABBBBBCCCCCAABBBBBCCCCCDABBBEEECCCCDAAEBEEECCCFGAGEEEEECCFFGGGGGEEEHCFFGGGGIIEJHHFFGGGGIIIJHHHFKKGGIIIJJHHFKKGIIIJJJHLFKKKKJIJJJLLLKKKKJJJJJLLL,AAABBBBCCCCCADABBBCCCCCCDDDEEBCCCCCCDDDEEFFCGCCGDDHEEFFCGCGGDHHEFFFCGGGGDHHEEHFCGGIIHHHHHHFJKGGGHHHHHJJJKKGGHHHHHJKKKKGLHHHHHJKKKKLLHHHHHHKKKKKL,.x..............x...............x...x.................x........x...................x.........x.......x.............x..............x...x.........,330,Expert,True
puzzle_16381,12,AABBBBBBCDDDAEEBBBBBCCDDEEEEBBCCCFDDEEEEBCCCCFFFEEEEBCCCCFFFEEEGGHCCCFFFGGGGHHIJJJJFGGGHHIIJJJJJGHHHHIIIJJJJKKKIIIIIJJJLKKKKIIIILLLLKKKKIIIILLLL,AAAAABBBBCCCDDAABBBCCCCCDDDDBECCCCFFDDDDDEECCFFFDDDDDDCCCFFFGGGDDCCCCFFFGGHHHHIIIIJJGGHHHHIIIIJJGGHHHHIIJJJJKHHLHHLJJJJJKKHLLLLLJJJJKKKLLLLLLJJJ,.x....................x.....x.............x........x.................x.......x..............x...x......................x.......x......x.........,331,Expert,True
puzzle_17382,12,AAAAAABBBCCCAAAAABBBBCCCDDAADBBBBCCCEDDDDBBBBBFFEDDGGBBBFFFFEEEGGGGHFFFFEEIJJGHHHFFFEEIJHHHHFFFFEEIIHHHHHFFFEKIILLLHHFFFKKKLLLLLHHHFKKKKLLLLLHHF,AAAAAAAABBBBCAAADAAABBBECDDDDDAFBBEECCDDDDFFFBEECCCDDFFFFFEECCCGDFFFFFEECGGGHFFFFHEECGGGHHHHHHIECGGGHJHHHHIICCGJJJJJKHIICLLLLJJKKIIILLLLLJJKKIII,.....x.................x.x...................x..x.................x.........x.................x....x...............x......x.................x...,331,Expert,True
