name,N,board_1,board_2,solution,score,tier,is_solved
puzzle_12,12,AAAAAABBBBBBAAAAACCCBBBBAAAAAACCBDDBEEAAAACCCDDDEEFFFFGGGDDDEEEFFFFFGHHHEEEEEFFGGHHIEEJJFFFHHHIIJJJJJJFKKKIILJJJJKKKKKKILJJJJKKKKKKKLJJJKKKKKKKK,AABBBBBCCCCCAAABBBCCCCCCDAABEEEFCCGGDDDEEFFFFFGGDDDEEFFFFGGGDDDDHIIIGGGJDDHHHIIIGGGJDDKHHHGGGGGJKKKKHLLGGGGJKKKKLLGGGGJJKKKKLLGGGGJJLLLLLLLLGGJJ,........x........x........x..................x.....x..................x........x.....x..............x..................xx.................x.....,200,Hard,True
puzzle_452,12,ABBCCCCCCDDDABBBECECEDDDABBBEEEEEDDDABBBEEEEEDFFBBBGGEFHHFFFBBGGGFFHHFFFBGGGGFFFFFFFGGGGGGFIJIFFGGGGIIFIIIIIKKKKIIIIIIIIKKKKLIIIIIIIKKKLLLIIIIII,AABBBBBCCCCDAABBBBCCCCDDEAABCCCCCCDDEEEFFCGCCDDDEEFFFCGCDDDDEEFFFGGGDHDDEEFFGGGGHHHIEEJGGGGHHHKILEJJJGGHHKKILLJJJHHHHKIILLJJJJJHHHIILLLJJJJHHHII,......x.....x.....................x....x.............x.............x...............x........x....x...................x......x.........x.........,200,Hard,True
puzzle_1127,12,AAABCCDEEFFFAAABBCDEEFFFAABBBCDDEEFFGGGGBCDDEEHHIGGGBDDDDDDHIIIIBDDDDDDHIIIBBDDDDHHHIIIIDDDDJJJJIIIIDDDJJJJKIIIIDDLLJJJKIIIIILLLJKKKIIIIILLLLKKK,AABBBBBBCCCCAABBBBBBCCCCADBBBBBCCCCCDDBBBBEEEECCDDDDFGGGEECCDDDDFGGGGHHHIJJJFFGGGKHHIJJFFFGGGKHHIJJFFGGGGKLLIJJJJGGGGKLLJJJJJJKKKKLLJJJJJKKLLLLL,....x........x....................x.........x.....x....................x...x.............x.............x....x.................x..............x..,200,Hard,True
puzzle_251,12,AAABBBBBCDDDAAABBBBCCDDDAAAABBCCCCDDAAAABBCCCCCDEAAAACCCCCCDEEFFFGCCCCCCEEEFFGGCCCCCEEEHFFGIIIIIEEEHHJJJIIKKEEHHHHJJIKKKEEHHHHLLLKKKEEHHHLLLLLKK,ABBBBCCCCCCCAABBBBCCCCCDAAAEBBCCCCCDAAAEEBBCCCDDAAAEEECCCDDDAAAFEECCCGDDAAFFHHHCGGDDFFFFHHGGGGIIFFFJHHHGKGIIJJJJHKKKKKKIJJJJJKKLLKKIJJJJJKKKKKKK,.x.....................x.........x......x.......x..............x.............x.............x..............x.......x.............x.....x.........,201,Hard,True
puzzle_630,12,AAAAABBBBBCCAAAAADDDBBEEAAAAADDDFBEEAAAAAFFFFBEEAAAAAFFFFBEEAAAAFFFFFFEEAAGGGGGHHHHEIIIGGGGGHHHHIIIGGIJJJHHHIIIIIIIJJHHHKKKKKKILJJJJKKKKKKLLLLLL,AAABBBBBCCCDAAABBBEECCCDAAAAEEEECCDDAAAAEEEEDDDFAAAAEEEEGGFFHHAAIEEEEFFFHHIIIEEEFFFFHHHJIIFFFFFFHKKJIIFILFFFHKKJJIIILLLLHHJJJIILLLLLHHJJJIILLLLL,..........x......x.................x.x...................x......x..............x.......x..............x.......x.........x...................x...,201,Hard,True
puzzle_2194,12,AAAABBBBBCCDAAAABBBCCCCDEAAABBBFCCCDEEAAFFFFGGDDEEEFFFFFGGDDEEFFFFFFGGGDEHFFFFFFFGGGHHFFFFFFIIIGHHHJJFIIIIIIHHHJJJKKIIIIHHHJJJKKKIIIHHJJJJJKKILL,AAAAABBBBBCCAAAAAABCCCCCAAAAAAACCCCCDDDAAAACCCCEDDDDAAFCGGEEDDDDAAFGGGEEHHHHHHFGGFEEIHHHHHFFFFEEIHHHHHFFFJJJIHKKHHFFJJJLIHKKKKFFJJJLIKKKKKFFJJJL,.....x.............x.......x.........x....................x.........x.....x.........x....................x........x.........x..................x,201,Hard,True
puzzle_3793,12,ABBBBBBCCCCCABBBDDDCCCCCAAADDEECFFFFAAAGGEEEFFFFAAGGGEEFFFFFAGGGGEEFFHHHAAGIIIJJJHHHAIIIIIJJJHHHAIIIIKKJJJHHALIIIILJJJHHLLLLLLLJJJJHLLLLLLLLLLLH,AABBBBCCCCCDAAABBBCCCCDDAAAAABECCCDDFFFGGGEECCDDFFGGGGEEEEDEHFGGGIEEEEEEHHHHIIEEEEEEHHHIIIIEEEEEHHHIIIIJJJJJHHHKJJJJJJJJHHKKKLLLJLLLKKKKLLLLLLLL,..x................x........x..................x.....x.......x...................x..x.................x........x................x.............x.,201,Hard,True
puzzle_3841,12,AAAABBBBBBCCAAAABBBBBBCCAAABBBBBDDCCAEAABBBBDDCCEEEBBBBFFGGGHHHBBBBFFFGGHIIIIJJFFFGGIIIIJJJJKFGGIIIIIJJKKFFFIIKKKKKKKFFFIIKKKKLLLLLFIKKKKKLLLLLF,AAAABBBBBBBBAAAABBBBBBBCAAABBBBBBBBCAADBEEFCCCCCAADDEEFCCCCCGGGGEEFCCCCCGGGGHFFFIIIIGJGGHHFFIIIIJJJGHHHKIIIIJJLGGHKKKIIIJJLLLLKKKIIIJJJLLKKKIIII,...x...................x.........x.......x........x.........x..................x..............x.......x......x..................x.......x.......,201,Hard,True
puzzle_100,12,AAAABBCCCCCCAAAABBCCCCCCAAAABBCCCCCCAAAABDDDEEEEAAFBBBDDDEEEGFFBBBDDDEEEGGFBBBBHHEEEGGIIIHHHHHJJGGIIIHHHHHJJGGKIIHHHHHJJKKKIIHHHHHLLKKKIIIHHHLLL,AAABBCCCDDDDAAABBBCCCDDDAAAABBEEEEDDAAAFFEEEEEEEAAFFFEEGGEGGAFFFFEGGGGGGAHFHIIGJJJGGAHHHIIIJJJJGHHHHHIIJJKKKLHHHHIJJJKKKLLLHLLLJJKKKLLLLLLLJJKKK,.....x.........x...................x........x.....x................x....x.....................x.......x.........x........x...................x..,202,Hard,True
puzzle_962,12,AABBBCCCCCCDAABBBCCCCCDDAAABBBCCCDDDAAABBBBECCDDAAABBBEEEEDDFFAGGGEEEEEEFFFHGGIEEEEEFFFHHJIIIEEEFHHHHJJIIIEEKKHHHJJJLLLEKKKHHJJJLLLLKKKKJJJJLLLL,AAABBBCCDEEEAAAABCCDDDEEAAAABCCDDDEEAAABBBCDDDEEABBBBBFGDDEEABBBBBFFFDHHBBBFFFFFFHHHIIIJJJFHHHHHIIIIJJJJJHHHIIIIKKKJJHHHIIIKKKKKLLHHIIIKKKKLLLLL,...........x.........x.......x........x................x.....x..............x...............x.........x.....x..............x..................x.,202,Hard,True
