name,N,board_1,board_2,board_3,solution,score,tier,is_solved
puzzle_5407,12,AAAAABBBBCCCDAAAAEBBCCCCDAAAAEEECCCCDAAAEEEEECFCDDDDEEEECCFFDGGGGEEEHFFFDGGGGEEHHFFFGGGGGIJJHFFFKGGGIIJJLLFLKKKKIIJJLLLLKKKJJIJJLLLLKKJJJJJJLLLL,AABBBCCCDDDEAABBBBCCDDFEAABBBCCCFFFEAABBCCCCCFFGAAAHCCFCCFFGAHHHHCFFFFGGAHHHHFFFFFGGIIIHHJFFFFKGIIIHJJFFFFKKIIIIJJJKFFKKIIIIIKKKKKKKIIIILKKKKKKK,AAAAABBBBBBBAAAAACCBBBDBEAAAACCCBBDDEEAFCCCCCGDDEFFFCHCCGGGGEEFFFHHHGGGGEFFFFHHHHGGGFFFFFHHHHIGGJJFFKKKHHIIGJJJFKKKHIIIIJJJLLKKIIIIIJJLLLLLIIIII,........x.....x....................x......x.....x.....................x........x.......x.............x.......x...................x......x.......,48,Beginner,True
puzzle_1427,12,AAABBBBBBBBCAAAABBBBCCCCAADEEBBCCCCCADDEEEBCCCCCDDEEEEEFCCCGDDHEEEFFCCCGDHHHHFFFFCCGDHHHFFFFFIGGDHHHFJFFIIGGKHHJJJLLLIGGKKKKKJJLLLGLKKKKKKKLLLLL,AABBBBBBBCCCAAAABBBBCCCCADDEEBBBCCCCDDDEEEBCCCCCDDFFEEEECCCGDHHFEEEEEGGGHHHHEEEEEIGGHHHHEEEEEIIGHHHEEEJEIIIIHEEEKJJELIIIKKKKKKLLLLLIKKKKKKKLLLLL,AAAAABBBBCCCADAEABCBBCCCADEEEBCCCCCCDDDEEECCCCCCDDEEEEECCCCFDDGEEEHCIFFFDDGEEHHCIIFFDDGEEHHJIIIFDDGHHHIIIIIIDDHHHHHIKIIIDLLLHHHKKIKKDLLLLLLKKKKK,......x.....x.....................x..x.............x...................x..x................x.............x.......x..............x.......x.......,52,Beginner,True
puzzle_4819,12,AAABBBBBBBCCAAAABBBBBBCDAAAAEFFBBBCDAAAAEFFFBBFFAAEAEFFBBFFFGGEEEEFFFFFFGGGGEEFHHHHFGGIIJJHHHHHHKKIIJJJHHLHHKKKIIJJHHLLLKKKIIJJLLLLLKKKIIJLLLLLL,AABBBBBBBCCDAABBBBBBBBCDAABBEFBBBDDDAAAEEFBFBDDDGAGEEFFFFFDDGGGEEEFFHHDDGGGGEHHHHHHDGGGGIHHHHHHHJJGKIIIHHHHHJJKKKIIHLLLLJJJKKILLLLLLJJJKKILLLLLL,AAAABBBBCDDDAAAABBBBCDDEAAAABBBBCCEEAAAABBBBBCEEAAFGBBBBBBEEAAFGGGBBBBEEAAFFGHIBIIIEAAFJHHIIIIIIAKJJHHHHIIIIAKJJJJHIIILLAKKKJJHIIILLAKKJJHHILLLL,..........x.........x..............xx.................x.........x.........x................x.........x.........x.........x...................x..,58,Beginner,True
puzzle_3613,12,AAAAABBCCDDDAAAAABBCCCCDAAAAAEEECDDDAAAAAEEFFFDDGGAHEEEFFFDDGGIHEEEFFFFDGGIHHHFFFFJDGGIIHHFFFJJDKGIIHHFFJJJLKKIIIIFFJJJLIIIIIIIJJJJLIIIIIIJJJJJJ,AAAABBBCCCCCAAAAAABBDDDDAAAAABBBDDDDAAAAABEFDDDDGAGAAEEFDDDHGAGIIEFFFDDHGAGIIIIFFFDHGGGIIIIIFDDHJGKIIIIIDDDHJJKKKILLDLDHJKKKKKLLLLLHJJJJKLLLLLLL,AAABCCCDDDDEAAABCCCCDDEEAAABCCCCDEEEAAACCFFGEEEEHHACFFGGEEEEHHAAAGGGEEEEHHHAAAAGEEEIHHHAJAGGEEEIKKJJJAGGLLIIKKJJJJGLLLIIKJJJJJLLLLLIJJJJJLLLLLLL,........x.........x........x..................x......x.............x........x........x.....................xx.............x..................x..,59,Beginner,True
puzzle_2819,12,AAAAAAABBBBCAAAAAAABBDCCEAAAAAABDDCCEAEAAFFDDDDCEAEFFFFFDDDCEEEEFFFGGDDHEEEFFFIGGHHHEEJFIIIGGGHHKJJFJIIIGGHHKJJJJIIIGGHHKKLJJIIIGGHHKLLLLLIIGGHH,AAAAAABBBCCCAAAAAAABBCCCDDAAEAAFFCCCDDDAEAEFFFFCDDDEEEEEFFGCDDDDEEEEHGGGDDDDEEIHHGGGDJDDDIIHHHGGJJIIIIKKHHGGJJIIIIIKHHGGJJLIIIKKHHGGJJLLLLKKHHGG,AAAABBCCDDDEAAAABFFDDDEEAAAABFFDDDEEAAAFFFFDDDDEAAAFFFFFDGGEAAAAFFFHHGGEAAAAFFIHHGGEAAAJJIIHHHEEAKJJIIIHHHEEAKJJJJIIHHEELKKJJIIIHHEEKKKJJJIIHHEE,.......x........x..................x.........x.......x.......x....................x.........x.........x........x........x.............x.........,63,Beginner,True
puzzle_8640,12,AAAAABBBBBCCADAABBBBBBCCDDDDEBBBBCCCDFDEEEGCCCCCDFEEEEGGCCCCFFFEEGGGGCCCFHFFFFGGGIIIHHFFFFGGIIIIHHHFFFIIIIIJHHHFFFKIIIJJHHKKKKKKKKJLHHKKKKKKLLLL,AABBBCCDDDDDAABBCCCDDDEEAAAAFFCDDDEEAAAFFFCDDEEEAAGGFFCCCCEEHAGGFCCCICEEHGGGGCCCIIIIHHGGGJCIIIIKHHHJJJJIIIKKHHHJJJJJIKKKHHJJJJJJKKKLHHJJJJJJJKLL,AAABBBCCCDDDBBABBCCCCDDDBBBBBECCDDDDBBBEEEFDDDDDBBEEEEFFDDDDGGGGEFFFFDDDGGGGGGFHFHIIGGGGGHHHHHIIJGGGGKHHHIIIJGGGKKKHIIIIJGKKKKKKKIIIJGKKKKKKIIIL,..x................x.....x...................x......x.............x........x................x...x.....................x......x.................x,70,Beginner,True
puzzle_9941,12,AAABBBBBBBCCADADBBEBBBCCDDDDFBEBBCCCDDFFFFEEGCCCDDFFFFEGGCCCDDFFFFEEGGCCDHHHFFEGGIIIHHHHHHHGGIIIHHJHJHKGIIIIHHJJJKKKKIIIHHJJJKKKKKIIHHJJJKKKKKLL,ABBBCCCCCCDDABBECCCCFCDDBBEEGCCCFDDDBBEEGGCCFDDDBHHGGGGGFDDDBHHHHGGGFFDDBHHHHGFFFFFDHHHHHHFFFIIDJJJJHHFKIIIDJJJJHHHKKIIDJJJJJJKKKLLDJJJJJJKKLLLD,AABCCCCCCCDDBBBCCCCCCCDDBBBECECCCDDDBEEEEEFFFDDDBBEEEEEFGDDDBBEEFFFFGGDDHBHHHGFGGGGDHHHHHGGGGGIDJJHHHGKKIIIIJJHJHKKKKILIJJJJKKKKKILLJJJJJKKKLLLL,x................x.......x.............x...................x......x.............x.......x................x.........x......x...................x.,70,Beginner,True
puzzle_2319,12,ABBCDDDDDDDEAABCCDDDDEEEAABCCDCCFFFEAABCCDCCFFFFAABCCCCGFFFFAABCCCCGGFFFAAAHCCIIGFIIAAHHCCIIGIIIJJHHHHHIIIIIJJJHHHHKKIIIJJLLLKKKKKIIJJLLLKKKKKKI,AAAAAAAABBCCAAAAADDABCCCAAAADDDEEECCAAAADDDEEECEFAADDDDGGEEEFADDDDGGGGEEFAFFHDHGGGIEFFFHHHHGGGIIFFJHHHHHHIIKJJJLHHKHKIIKJJLLHHKKKKIKJJLHHKKKKKKK,AAAAABBBBBCCAAAAABBBBCCCAAAAADDEEECCFAAAGDDEEEEEFFAGGDDHEEEIFFFGGHHHHHGIFFFGGHHHGGGIFJGGGGGHGGGIJJJKGGGGGGGIJJJKGGLLLGGIJJJKKLLLLLGIJJKKKKLLLLLI,........x.............x...x..................x.......x.............x....x......................x....x........x.............x..............x.....,72,Beginner,True
puzzle_9970,12,AABBBBBBBBCCAABBBBBBBBCCAAAABDDDDBCCAAEDDDDDDDFCEEEDDDGGGFFFEGGGGGGGFFFFEEEHGGGIIFFFEHHHHHIIIIFFEHHHHHJJIIFKEHHHHJJJJKKKEHHHHJJJJKKKLHHHHJJJKKKK,AABBBBBBCDDDAAAABBBBCDDEAAABBCCCCDDEFAFFBCCCCEDEFFFFFCGGEEDEFFFFFGGGEEDEFFFHHGGIEEEEHHHHHGGIIIEEJHHHHHGKILEEJJHHHKKKKLEEJJJHHHKKLLLLJJHHHKKLLLLL,ABBBBBBBCCCDABBBBBBBCCCCAAEEBFFFFCCCAEEFFFGGGCCCEEEEFGGGHHCCEEEEGGGGHHCCEEEEGGGGHHCCIIIIIIGHHHCCIIIIIIHHHJKCLIIIIHHJJJKKLIIIIHHJKKKKLLLLIHHJKKKK,...........x....x........x...............x........x...............x...............x.........x......x...............x.............x..x...........,72,Beginner,True
puzzle_2144,12,AABBBBCCCCCCAABBBBCCCCCCAABBBBBBDCCEBBBBBBBBDDEEFBBGBBGBEEEEFFFGGGGGEEEEFFFGGHHGHHEEIFFGJHHHHHKKIFJJJJJHHKKKIIIIJLLHKKKKIIIIILLLKKKKIIIILLLLLKKK,ABAAAACCCCCCABAAACCCCCCCAAAAAAADDDCCAAEAEAADDDFFGAEEEEADDFFFGGEEEEEHDIFFGGGEEJHHDIFFGGGGGJHHHIIFGGGGJJJJHIIFGGGGKJJJIIIFGGGLKKKJKIIFGGGLKKKKKKIF,AAAAAABBBBBBCACCCBBBBDBBCCCCCCBBBDBECCCCFBBBBBBECCCFFFBBBBBECGFFFHHIBBEEGGGFHHIIIIEEGGGFFHIIIIJJKGHHHHIIJJJJKKKKHHHIJJJJKKKKKHHLLJJJKKKLLLLLLLJJ,.x...................x....x.................x..............x....x.......x..................x.........x................x....x..............x.....,73,Beginner,True
puzzle_3255,12,AABBBCCCCCCDAABBBBCCDCDDABBBBECDDDDDAFBEEEEDDDDDFFFEEEEGGGDDFFFFEGEGGHDDFIFIIGGGGHDDIIIIJJGGHHDDIIIIJJJHHHHDIIIIJJKKLLHDJJJJJJJJJLHDJJJJJJJJJLHD,ABBCCDDEEEEEAABCCDDEEEFFABBCCDDEEFFFBBCCDDDGEFFFBCCDDDDGGFFHCCCIDDGGGGFHCCIIIGGGGHFHCIIIIIGGHHFHIIIIIJKKKHHHIIIIIJJKKKHHIIIIIJJKKKLLIIIIIJJLLLLL,AABBCDDDDDDDABBBCCDDDEDEBBBBCCCDDEEEBBBBCCCCDEEEFFBCCCGGEEEEFFBBGGGGGEHEFFIIIIGGGHHHIIIIIIJJJJHHIIIKIKJJJHHHIIIKKKJJJHHHKKKKKKKJJLLLKKKKKKKJLLLL,........x...x.............x....................x....x........x................x........x..................x........x.........x...............x..,77,Beginner,True
puzzle_4889,12,AAAABBBBBCCCDEABBDBBCCCCDEADBDDDCCCCDDDDDDDDCCCCDDDDDDFFCCCGDDDDDDFFHCGGDDIIIFFHHGGGJIIIIFFFHHKGJIIIIIFLHKKKJIIIIFFLLKKKJJIIIFFLLLLKJJJIIFFLLLKK,ABBBCCCCDDEEAABCCCCCDDEEAABCCFFFDDEEAAAFFFFFDDEEAAFFGFGGDDEEAAAGGGGGDDDEHAHHGGGGIEEEHHHHHGIIIIEEHHHHHHJJIIKKHHHHHHJJJJKKHLHHHJJJJJKKLLHHHJJJJJKK,AAABBBBBBBCCDDABBBBBBBCCDDDBBBBEBBCCDDDDEEEEBBCCDDDEEEFBBCCCDDFFFFFFBCGCDDHHFFFFGGGIHHHHHFFGGGJIHHHHHHFGGJJJHHHHHHKGGJKJLHHHHKKKKKKJLLLHHKKKKKKJ,..x.............x........x...............x...............x........x................x........x.............x....x...............x....x...........,77,Beginner,True
