name,N,board_1,board_2,solution,score,tier,is_solved
puzzle_2096,13,AAAAAAABBBBBBCDDDDDABEBBBBCCDDDAAEEBFFFCCDDDDAEEBFFFCCCDDDAAEEEFFCCCCGGAAEEEEFCCGGGGGHEEEEFCIGGGGGHHHHHFCIIIJGKKKLLFFMIMIJJJKKLLLFMIMMMJJKKKKLLMMMMJJJJKKKLLMMMMJJJJKKLLL,AABBCCCDDDDDDAABBBCCEDDFDDABBBBCCEEFFFFAABBBCCEEFFFFAAABBBCCEEEEFAAAGGGGGGHEFFAAAGGGGHHHEFHAIIGGGHHHHHHHAIIIIGGJKHKKHAILLMJJJKKKKHLLLLMMJJJJJKHLLLLMMMMJJJKKLLLLMMMMJJJJK,....x...x.x..x.x.........x......x.x.x..x.x.........x....x.x.x.....x........x.x...x.x.x......x.......x.x....x.x.x......x.......x.x....x.x.x.....x........x.x...x.x.x......,230,Medium,True
puzzle_12143,13,AAAAABBBBBBCCAAADDDDBBBBBCAEEEDDDBBBCCCAAEEDFFBBCCCCEEEEEEFBBCCCCEEEEFFFFBBBCCEEEGFHFIJJJJJEGGGFHHIIIIIJGGGKKHHIIILIMKGKKHHIILLLLMKKKKKHIILLLMMKKKKKHLLLLLMMKKKKKKLLLLLMM,AABBBBBBBCCCDAAAABBBBCCCDDAEEEBBBCCCDDDAEEEBBFFCCDDDEEEFFFFFCCGDDEEEFFFFGGGGGGEHHHFIFGGGGGGHHHHIIIJJGGGKHHHHHIJJJJJKKHHHLIIJJMJJJKHHHLIIJJMMMKKHLLLIIIIMMKKKHLLLIIIMMMKKK,x.........x.x..x.x.x......x.......x.x....x.x.x......x.......x..x...x.x.x..............x.x.x.x.x.x..............x.x..x.x.x.x..............x.x.x..x.x.x..............x.x.x.,234,Medium,True
puzzle_14067,13,AAAABCCCCCDDDAAAABBBECCDDDAFFAABEECCDDDAFFAABBECDDDDAFAABBGEEEEDDFFFFFBGGGEGGDHHFFIIIGGGGGGHHHIIIIGJJKKKLHHHIIIIJJKKKLLHHIIIJJJKKKLHHIIMMMJJKKKLLLIMMMMJJJJJMMMMMMMMMJJJJ,AAAAABCCCCDDDAAAABBCCCCCCDEAAABBCFCCCCDEEAAABCFCFFFDEEAEBBBFFFFDDEEEEBBBGFGFGDEEEBBBGGGGGGDHHHIIBIJGGKKDLLHIIIIJJGGKKLLHIIIMMJJJKKLLLLIIMJJJKKKLLLLMMMJJJJKKLLLLMMMMJJJKK,.......x.x.x..x.x.x..............x.x..x.x.x.x...............x.x.x.x.x.x..............x.x.x.x.x.x..............x.x..x.x.x.x..............x...x.xx.x.....x........x.x...x..,238,Medium,True
puzzle_371,13,AABCCCCCDDDDDABBBBBCCDEEDDABBBCCCCDCEEEAABFFFFCCCCEEAABBFFCCEEEEEGAAFFFHHEEEEIGGAFFFHHHHIIIGGGGGGGHHIIIIGGGGJJHHHIIIIKKJJJJJHLIIIMKKJJJJJJLMMMMKKJJJJLLLMMMMKKKJJJJLLMMMM,AABBBCCDDDDDDABBBBBCDDDDDDABBBBCCCDDEEEAABFFFCCEEEEEAAAAFFCCCEEEEAAAFFFGCCHHEEAIFFFIGGGGHHHIIIIIIGGGGHHHIJIKIKKGGLHHHJJKKKKKGGLHLLJJJJKKMMMLLLLJJJKKKMMMMMMLJJJJMMMMMMMML,......x..x.x.x.x.x..............x.x.x..x.x.x...............x.x.x..x.x.x..............x.x.x..x.x.x..............x..x.x.x.x.x...............x.x.xx...x.x........x.....x...x,248,Medium,True
puzzle_8100,13,AAAAAAABBBBBBAAAAAACBBBBBDAAEAFACCBBDDDEEEAFACCDDDDDEFFFFCCDDDDGDEHHHFFCIIIGGGHHHHHHCIIIGGGHHHHHHIIIIGGGHHHHHJJIIIGGGHKKKKJIIIIGGGHKKKKJILLLLMGKKKJJJJLLLLMGKKKKKJJLMMMMG,AAAAABBCCCCCCAADAEEBBBCCCCAADAEEBBCCFCCDDDAEBBBFFFFFDDEEEBBBFFGFFDDEEEEBBGGGHHDDEEIIBGGGHHHDIIIIIGGGHHHHDIJJJJJGGGHHHJJJJJKGGLHHHHJJKJKKKLLLLMMJJKKKKKLMLMMMJJKLLLLLMMMMM,..x.x.......xx.....x...x....x.x...x....x.....x...x....x.....x...xx...x.x..............x.x.x.x.x.x..............x.x.x..x.x.x..............x.x.x..x.x.x..............x.x.x.,248,Medium,True
puzzle_4404,13,AAAAAABBCCCCCAAAAADBBCCCCCAEAAADBBBCCCCEEEAADBBBFFFCEEEEDDBBBFFGCHEDDDDDBBFFGCHEDDDHDIIIIGCHHHDDHHIIIGGGJJHHHHIIIIGGKJJJHLLMMMMKKKJJJJLLMMMKKKKJJJLLLMMMMKKKLLLLLLMMMMKKK,AAAAABBBCCCCCAAAAADBCCCCCCAEDAADBBBBCCCEEDDDDDBFFFFCEEEEDDDBBFGFFEEEDDBBBBFGGFDDDDHHHIIFFGGHHHDHHHIIIGGGJJHHHHIIIKKKKJJJHLHMIIIIKKJJJLLLMMMKKKKJJLLLLMMMKKKKJJLLMMMMMMKKK,....x.x.x.....x........x.x...x.x.x......x.......x.x....x.x.x......x.......x.x....x.x.x.....x.........x.x..x...x.x....x...x.......x..x.....x.x..x...x.x........x......x.x.,250,Medium,True
puzzle_4874,13,AAAAABBBBBCCCAAAADDDDBBCCCAAADDDDDBEEECAAADDDFDBEECCGAAFFFFBBBECCGGGFFFFBBEEEEGGFFFHIIEEEEJGGKKHHHIEIEJJGKKKKHIIIIJJJGKHHHHIIJJJJJGKLLHLIJJMMJJLLLLLLMMMMMJJLLLLLLMMMMMJJ,AAABBBBCCDDDDAAAABBBCCDEDDAAAABBFFCDEDDAAABBBFCCCEEEGGGBBFFCCEEEEGGGGFFFCCEEEEGGGHIIJJJEEEEGGHHIIJJJJEKEGHHHIIIJJJKKEGHHIIIIJJJKKKHHLLIIMJMMMKKHLLLLLMMMMMMKLLLLLLLMMMMMK,........x.x.x..x.x.x......x.......x...x..x.x.x......x.......x.x....x.x.x......x........x.x....x.x.x......x.......x.x....x.x.x......x.......x.x....x.x.x......x........x.x,250,Medium,True
puzzle_11085,13,AAAABCCCCDDDDAAABBBBCCDDDDEAABABCCCDDDDEAAAABCCFFFFDEAEEBBCGGFFFFEEEEEEEGGFFFFHHEEEGGGGFFIIHHJJEKGGGGIIIHJJJJKKKKIIIIHHLJJJLKKIIIIHHLLJLLLKKMMMHHLJJLLLKMMMMHHLLLLLLMMMMM,AAAAAAAAABBBBACDDDDAAABBBBCCCDCDDABBBBBCCCCCDDAAEBEBFCFCDDGGEEEEEFFFCDDGGGEEEEHFFFFGGGGEEIIHHJFFFKKKKKKIHHJJJKKKKIIIIHHHHJKKLKKMMIHHLJJLLLKMMMMHHLLLLLLKKMMMHHLLLLLLLKMMM,.....x.x.x....x.x.......x......x.x.x....x.x.......x......x.x.x...x.x........x.....x.x.x....x.x.........x....x.x...x..x.......x...x..x.x.....x........x.x...x.x.x......x..,252,Medium,True
puzzle_5782,13,AAABBBCCCCCCDAABBBBBCCCDDDEAABBBFCCCDDDEAEBBFFCCGDDDEEEFFFGGGGDDDEEEFFFFGGGGDDEEEFFFFFHHHDDEIEIHHHHHHHJJKIIIIHLLHHJJJKIKKLLLLHHJJJKIIKKLLHHHJJJKKIIKLLHHMMMJKKKKKLMMMMMJJ,AAAAABBBCCDDDAAABABBCCCDDDAAABBBBCCEDDDAFABGBBCCEDDDFFFGGGBGCEEDDFFFGGGBGEEEDDFFGGGGGGEHEIIFJJJJJKKHHHIIJJJLJKKKHHIIIJJJLLLKKHIIIIJJJLLKKKKMIIILJLLLKKKKMMMILLLLLKKMMMMMI,x.x..x..............x.x.x..x.x.x..............x.x.x.x.x.x................x.x.x.x.x..x..............x.x.x.x..x.x..............x.x.x..x.x.x......x........x.x....x.x.x.....,256,Medium,True
puzzle_13394,13,ABBBBCCDDEEEEABBBBCCDDDEEEABBBBCCDDDEEEAFBBFCCDDEEEEAFFFFFCCDEEEEAFFFFFFGGGEEHIFFJFJFGGGGHHIIIJJJJGHHHHHIIJJJKJGHHHHHIIIJJKGGGGHHHIIIKKKGLLLHMHIIKKKKKKLLHMHIIIIKKKLLLMMM,AAABBCCDDDDDEAABBBCCCDDDEEAABFFFCCDDEEGAABFFCCDDDEEGAABFFCCCDEEGGAAFFFCHHDHEGGAIFFFHHHHHHGGIIIJJJHHHGGGGIIIJJJJHHHGGGIIJJJKJJLLGGGIIJKJKJLLLMMMIIKKKKJJLMMMMIIIIIIJLLMMMM,......x.x...xx.x.x..............x..x.x.x.x.x..............x.x.x..x.x.x...............x.x.x..x.x.x..............x..x.x.x.x.x..............x.x.x..x.x.x...............x.x.x,259,Medium,True
