name,N,board_1,board_2,solution,score,tier,is_solved
puzzle_62132,6,EEECCCEAAACCAAAACCDDDDFBDDDDBBDDDBBB,EEEEEFAEEEEFEEBBBFEBBFFFDDFFFCDFFFCC,...x..x.......x.......x..x.........x,8,Beginner,True
puzzle_972180,6,DDDDCCEEEDCCEFADDDBFAADDBAAADDBBBADD,CFFAAACFFFAACFFFEACCBBBADCCBBADCCCBA,.....x..x.......x..x.......x..x.....,8,Beginner,True
puzzle_1932,6,BBBBAFBBFFFFEDDFFFEDDDCFEDDCCCDDDCCC,BBBBDDBEEBDDBEEBDDAAEBDDAACFFFAFFFFF,....x..x.......x..x.......x........x,9,Beginner,True
puzzle_5130,6,CCCCCACCCCAAFDDCAAFDDEAAFDEEEBFDEEEE,FFFEEEFFFEEEFADDEEBBDDCCBBDCCCBBCCCC,..x.......x..x.......x.......xx.....,9,Beginner,True
puzzle_6816,6,CCCFFFCCEFFFCCCDDFCCDDBFAAABBBAAABBB,FFFDDDFCFFDDECCAAAEBCCAAEECCAAEECAAA,.....x..x.......x..x.......x..x.....,9,Beginner,True
puzzle_8083,6,FFDDDDFFFDDDCAAADECAAAAECCBAAECCCAAE,BBFFFFABBBCCAABDCCAABDCCCCCCCCCCCCCE,....x..x.......x..x.......x........x,9,Beginner,True
puzzle_16053,6,BBAAAABBAAAABDCCCADDCCEADDCEEFDDEEEE,FFAAAACCAAAACCCDDAEEDDDDDDDDDDDDBBBB,.x........x...x...x..........x...x..,9,Beginner,True
puzzle_20106,6,EEEEFFFFFFFFFFFFFBAAAABBADCABDDDDDDD,CBBBBBCABBBBCAAAADCAAAAAFFFAAEFFFEEE,...x...x.........xx.......x.......x.,9,Beginner,True
puzzle_20809,6,CCEEEECCEEFFACAAFFAAAFFFAAAFDDAABDDD,CEEDDDCEEBDDCCFBDDCFFFFFCFFFAFCFFAAF,.x.......x.......xx.........x...x...,9,Beginner,True
puzzle_23244,6,EEEEFFCCEEFFCCCEEECCCEEDACBBDDAABDDD,BFFFFFEFFFFFEAAFCFEEEFCCEEEDCCEEDDCC,x.........x...x........x...x...x....,9,Beginner,True
puzzle_24273,6,FFCCBBCFCCBACCCBBBCCCDBBEEEDDDEEEDDD,DDAAAADDEEAADEEEEADBBFFFDDFFFFDDCFFF,x..........x...x...x........x...x...,9,Beginner,True
puzzle_35538,6,DDBBBBBBBBBBBBAAFFEEEAFFEEEAFFEEECFF,CEEEEACEEEEACEEEDAFFFFDBFFFDDBFFFBBB,x..........x..x.......x..x.......x..,9,Beginner,True
puzzle_39358,6,CCCFFFCCCCFBAAFFFBDAAEEEDDAEEEDDDEEE,BAAAAABBDAAABBDDEECCCEEECCCEEECCFEEE,x..........x...x...x........x...x...,9,Beginner,True
puzzle_42214,6,CCCCCEACCDEEAACBEEAABBEEAABBEEAAAFFF,DDDDFFDDDFFFDDAAACEEEAAABEEEAAEEEEAA,.x.......x.......x..x...x.........x.,9,Beginner,True
puzzle_48027,6,DDDDDEAADDFEAAFFFECFFFEECBFFFECBBFFF,AAEEEEAAEEEEAAFFBEFFFFFDFFFDDDFFCCDD,...x...x........x.x..........x..x...,9,Beginner,True
puzzle_48284,6,CDDDDDCCDDDDCCEEDDBFBEAABBBAAABBBAAA,FFFFAAFFFBBBFCCDBBCCCDBBCCEDDBCEEEDD,....x.x........x...x.........x..x...,9,Beginner,True
puzzle_49398,6,FFFBBBCFAEEDCAAEEDCCADDDCCDDDDCCCDDD,BBEEEEBBBEEEBBCCCEBFACAAFFAAAAFFADAA,.....x.x........x...x...x........x..,9,Beginner,True
puzzle_49853,6,EEEEFFEBDDFFEDDDFFEDDDFFCCCCACCCCCCC,DDDEEEDDDDDDFFDDAAFFFAAABCCCCCBCCCCC,...x...x.........x..x.......x.x.....,9,Beginner,True
puzzle_52214,6,AAEBBFAAEBBBAAEEBCDEECCCDDDCCCDDCCCC,CCFFFECCFFEECAAEEECCAEEECCADDDCBADDD,.....x...x..x.......x.......x..x....,9,Beginner,True
puzzle_54388,6,CCCCCCCCCCCAFDDCAAFFDCEEFBBBBBFBBBBB,CCCEEFCCCEEFCCCCEECCCCAACCDAAABBBAAA,...x.......x.x........x...x...x.....,9,Beginner,True
puzzle_54535,6,AAADEEAAADEECCCEEECCCEEECCCFFECBFFFF,DDDDBBDDABBBAAABBEFAAAACFFAACCFFAACC,x........x.......x..x.......x..x....,9,Beginner,True
puzzle_45,6,EEEEFFEEEEFFEEEAAABBBCCABBBCCCBDBCCC,BBAACCBBAACCBBAECCBBDDDDDDDDFDDDDFFD,..x........x...x..x.........x..x....,10,Beginner,True
puzzle_53,6,EEEEEAEEEEEAEEFCAAFFFFAABBBDDDBBDDDD,CCCFFDCCCFFDCBCFFFCBAFFFBBAAAAEBAAAA,..x........x...x...x........x.x.....,10,Beginner,True
puzzle_56,6,BBBDDDBBBDDDBDADDCEDDDCCEEFFCCEEEFCC,EEEEAAEEEDAABDDDDABDDDDDBDDDDCBBDFFC,.x........x...x...x..........x...x..,10,Beginner,True
puzzle_69,6,EECCAACCCCAABBCCADBBFFFDBBFFFDBBFFFD,BBBBCCCCCCCCDCECCCDDEEECDDDEEFDDDAFF,.x........x...x...x..........x...x..,10,Beginner,True
puzzle_161,6,DDEFFBCDBBFBCDBBBBDDDBBBDDDAAADDAAAA,FFCCDDFFCCDDFFFCCCEEEEBAEEEEBAEEEBBA,..x.......x.x..........x.x.......x..,10,Beginner,True
puzzle_171,6,FFDDDDEFDDBBEFCCBBEECBBBCCCCAACCCAAA,BBBBEEBBBCEEBBBCEEAACCEEAAFCCEAAFFDE,.x.......x.......xx.......x.......x.,10,Beginner,True
puzzle_246,6,AFFDDBAAFBBBAAECCBAAECCCEEECCCEEECCC,FFFFBBFFFFBBFFAEEEDDAEEEDDAAEECDAAEE,....x...x........x.x.......x..x.....,10,Beginner,True
puzzle_263,6,BBBBBBBBBBFBDDBAAEAAAAAECAAAEECCAAEE,EBBBFFEEBFFFEFFFFFCCCAAFCCCAADCCCADD,..x.......x.x........x.......x.x....,10,Beginner,True
puzzle_276,6,EEEFFFAEAFFCAAAACCBBDDCCDDDDCCDDDCCC,AAAAABAABBBBADCCCCDDDCCEDDDEEEDDDDEF,.x........x...x...x........x.......x,10,Beginner,True
puzzle_283,6,FFBBBBFFCBBBFFCCBBFFCEBBAACDBBAADDDB,EEEDDDAAEDDDAAEDCDABBFCDBBBCCCBBBCCC,.....x..x...x........x...x........x.,10,Beginner,True
puzzle_287,6,BBAAAFBAAAFFBAAAFFBAACFFAAAADDEEEEDD,BBFFDDBBFDDDABBDDDAABBCCAAACCCAEACCC,..x.......x.x........x.......x.x....,10,Beginner,True
puzzle_347,6,EAAFFFAAFFFFAAABBFAACBBBDDCBBBDCCCBB,DDEEEEDDDEEEAACEEEAAEEEFAAEBFFAABBBB,x.........x...x........x.x.......x..,10,Beginner,True
puzzle_410,6,FCCCAAFCCCAAFCBEEAFFBBEAFFFBBBDFBBBB,CCEEBBCCCEBBCCCFBBDCCCCADCCCAADCAAAA,..x........x...x...x........x.x.....,10,Beginner,True
puzzle_411,6,DEECCCDDECCFDDAACFDDAAFFDDDABBDDDBBB,BBEEEEBFEEEEFFFEECFFFFDDFFAADDAAAAAD,.x.......x.......x..x.......x.x.....,10,Beginner,True
puzzle_4,6,AAEECCAFEEECAFFEECBBFDEEBBDDEEBBDDEE,DDBEEEDDBEEEDDBFEEDDBFECDDFFFFAAFFFF,....x.x.......x........x...x...x....,11,Beginner,True
puzzle_24,6,AAACCCAAEEDDFFEEDDBFEEDDFFFFFDFFFFFD,BBBEEEBBBEEECDDDEECDDDDDCCCCCACCFFFA,....x..x.......x..x..........x..x...,11,Beginner,True
puzzle_28,6,EEEAADEECADDFCCAADFFCDDDBBBBDDBBBBBD,EBBBAABBBBAACCBAAACCCCCACCDDCACFFFFF,x.......x.......x..x.......x.......x,11,Beginner,True
puzzle_37,6,FFEECCFFEEBCFEEBBBFFFBBBFDDBBBFDAAAA,FFFFDDECFFDDECCCCDEECCCAECCCBBECCBBB,....x...x...x..........x.x.......x..,11,Beginner,True
puzzle_47,6,EAACCCFAACCCFFFDCCFFFDCCFFFDBCFFFBBB,CFFEEECFFEEECFFEEBDDFBBBDAAABBDAAABB,x.......x.......x..x.......x.......x,11,Beginner,True
puzzle_50,6,EEEEDDCEDDDDCEDDDDCFFFAABFFBAABBBBAA,AACCCCAACCCEFEEEEEFFEEEEFFEEBEFFDBBE,...x..x..........x.x........x...x...,11,Beginner,True
puzzle_60,6,FFCCCCFFCCCCEFCBACEEBBAADDDBAADDDDAA,BEEEEDBEEEDDBBEDDDBBADDCFFFFDCFFFFDC,.x........x.x.......x........x...x..,11,Beginner,True
puzzle_66,6,CCCBBBEBBBBBEBBFBBEEFFDDEAFFDDEAAAAD,ABBFFFABCCCFABCCCFABBFFFADBFFFAEEEEE,..x.......x.x........x...x.........x,11,Beginner,True
puzzle_76,6,CCCCCCFCCCAAFFAAAAFFDBAAFFDBBBEEBBBB,AAABBBAAABBCDDABBBDDAFBEDDFFEEFFFFEE,...x.......xx.......x.......x..x....,11,Beginner,True
puzzle_109,6,FFFFEEABBDEEABBDEEBBDDDEBBBCCCBBBCCC,BBBDDDBBDDDABBEDCCBBEDCCFFFFCCFFFFCC,...x.......xx.......x.......x..x....,11,Beginner,True
puzzle_145,6,ADDCCCAAACCCAAACCCAEEEBBAEEEFFAEEEFF,DDDBBBDDDBBBFCEEBBCCCEEECCCEEECEEEEA,.x.......x..x.........x...x........x,11,Beginner,True
puzzle_148,6,DDDDDDAADDEEAADEEEAFFFEEFFFCCBFFFCCC,CCDDAACCDDAACDDDAABBFFAEBBBFEEBBFFFE,..x...x.........x..x.........x...x..,11,Beginner,True
puzzle_160,6,DDDEEEADDFEEADDFFEAACFFBAABBBBBBBBBB,EECCCDAECCCCAAFCCCAFFFFFABBBFFABBBBB,.....x.x........x...x...x........x..,11,Beginner,True
puzzle_173,6,AADDDCAADDCCAAFFFCAAFFFFBAFFFFEEEFFF,AAAABEAAAABBFFABBBFFDBBBCFDDDDCFDDDD,.....x...x...x........x.x.......x...,11,Beginner,True
