name,N,board_1,board_2,solution,score,tier,is_solved
puzzle_8902,6,AAABBBACABDBACCDDBEECDFFEECDFFEECDFF,AAABBBCAABBBCACDEECCCDDEFFFDDEFFFDEE,.x.........x...x..x.......x.......x.,43,Medium,True
puzzle_21101,6,AAABBBAACBBDCACDBDCCCDDDEEEFFFEEEFFF,ABBCCCABBBBCAAADCCEADDFFEEDDFFEEEDFF,x........x.......x..x.......x..x....,54,Medium,True
puzzle_47073,6,AAABBBACCBBBAACCCCDDDEEEDFFEEEDDFFFF,AABCCCABBCCCABBDDDAABDDEFFFDEEFFFEEE,.x.........x..x.......x.x........x..,56,Medium,True
puzzle_82440,6,AABBBCAAABBCADEBCCDDEECCDFFEEEDDFFFF,ABBCCCAABDCCAABDDCEABDDDEEBFFFEEEFFF,...x...x........x...x...x..........x,56,Medium,True
puzzle_71818,6,AAAAABACCCCBCCDDBBDDDDBEFFFEBEFFFEEE,AAAABBCAACBBCCCCBBDDDDEEDDEEEEFFFFFF,.x.......x.......xx.......x.......x.,57,Medium,True
puzzle_30433,6,AABBCCAABCCCAABBBCDDEEEFDDEEFFDDEFFF,AABBBBAABCDBAACCDECCCDDEFFFDEEFFFDEE,....x.x.......x........x...x...x....,59,Medium,True
puzzle_68173,6,ABCCCDABCCCDABBDDDAABBDEAFFFEEFFFEEE,AAABBBAAABBBCCCDDEFCCDEEFCFDEEFFFDDE,...x..x.........x...x........x.x....,61,Medium,True
puzzle_92294,6,AABCDDAABCDDAABCDDEBBCCFEBEFCFEEEFFF,ABBCCDABBCCDAABCEDAABCEDFEEEEDFFFFFD,...x..x.........x...x........x.x....,61,Medium,True
puzzle_43712,6,AABBCCAABBCCAABBCCDDEEEEDDEEFFDDFFFF,AAAAABCADDDBCDDDBBCCEEBBFCCEEEFFFFFE,x.......x........x...x...x........x.,62,Medium,True
puzzle_69023,6,AAAAAABBBBBBCCCCCCDDDDEEFFDDEEFFFFEE,AAABBBCCAABDCCABBDCCEEDDEEEDDFEFFFFF,.....x...x..x.......x.......x..x....,62,Medium,True
