name,N,board_1,solution,score,tier,is_solved
puzzle_1277371,6,**A**AAAA*A*A**AAA***A*A**A*AAAA*A*A,..x.......x.x........x.......x.x....,18,Beginner,True
puzzle_1277372,6,AAAAAAAAA*AAA*A***AAA*AAA*AAAA**A*AA,.x........x...x...x........x.......x,18,Beginner,True
puzzle_1277373,6,AAAAAAAAAA*A*A*A**AAAA*AAAAA*A*A***A,....x..x.......x..x.......x........x,18,Beginner,True
puzzle_1277374,6,A**A**AAAA*AAAAAA*A****A*A*AA**AAA*A,...x.......x..x...x.........x..x....,18,Beginner,True
puzzle_1277375,6,A***A*A*A*AAAA***A*A*AA***A**A*A*AAA,....x...x...x........x.......x.x....,18,Beginner,True
puzzle_1277376,6,AAA*AA*AAAAA***A*A*A**AAA****A**AA**,....x..x.......x.......xx.......x...,18,Beginner,True
puzzle_1277377,6,*A***A**A*AAA***AAA**AAA**A*AA*AAAAA,.x........x.x........x.......x..x...,18,Beginner,True
puzzle_1277378,6,*A***AAAA*AAAA**AAAA*AAA**A*AAAAAAAA,.x........x.x........x.......x..x...,18,Beginner,True
puzzle_1277379,6,*AAAAA*A*A**A**A**A**A*A*A***AA*A*A*,....x..x.......x..x..........x..x...,18,Beginner,True
puzzle_1277380,6,A*A*A**A***AA**A*AA**A***A*A**AAAAAA,..x........xx........x...x........x.,18,Beginner,True
puzzle_1310711,6,AAA*AA**A**A***AAA*AAA***A**A***A**A,x..........x...x...x........x...x...,19,Beginner,True
puzzle_1310712,6,*AA******A*AAA*AA*A*AAA**AA***A*A**A,.x.......x..x.........x...x........x,19,Beginner,True
puzzle_1310713,6,***AA*A*A**A*AAAAA*AAAAA***AA*A**A*A,....x...x........x.x.......x..x.....,19,Beginner,True
puzzle_1310714,6,A*A**A*A*AA**AA****A*AAA****AA*AA**A,x.........x..x.......x.......x..x...,19,Beginner,True
puzzle_1310715,6,*AAAAAAAAAAA*AAAA**AAAA*AA*AAA****A*,..x........x.x.......x..x.........x.,19,Beginner,True
puzzle_1310716,6,*A*******AA*A**A*A**A*AAA*AAA******A,.x.......x..x.........x...x........x,19,Beginner,True
puzzle_1310717,6,A*AAAA**A**AAAA**A*A**A****A*AA***A*,....x...x........x.x.......x..x.....,19,Beginner,True
puzzle_1310718,6,AAAA*AA*AA**A**AAA*A**AAA*A****A***A,.x.......x..x.........x...x........x,19,Beginner,True
puzzle_1310719,6,AAAAAA**AA**A***A*****AA***A*AAAAAA*,....x...x...x..........x...x...x....,19,Beginner,True
puzzle_1310720,6,A*A*******AA***A*AA*AA*****AA**AAA**,..x........x...x..x.........x..x....,19,Beginner,True
