name,N,board_1,board_2,solution,score,tier,is_solved
puzzle_2692,6,AABBBCABBCCCABCCDDAECFDFACCFFFAACCCF,AAAAABACCDBBAEEDDBAAEFDBEAEFFBEEEBBB,.....x..x.......x..x.......x..x.....,9,Beginner,True
puzzle_16887,6,AAAAAABACCCCDAAAACDDDCCCEFFFFFEEEEEE,ABBBCCAADDDCEAAADCEEADDDFEAADAFFFAAA,...x..x..........x.x........x...x...,9,Beginner,True
puzzle_25,6,AAAAAAABBBCABBDECCBDDEECFDFFECFFFEEE,AAABBBACABDDACCBBDCCEEEDCEEDEDCCFDDD,x........x.......x.x........x...x...,10,Beginner,True
puzzle_8,6,AABBBBABBCCCADBEECADBECCADDEFCDDFFFF,ABBBBBABABCBAAACCBDDCECFDFCCCFDFFFFF,..x.......x..x.......x..x..........x,11,Beginner,True
puzzle_59,6,AAABBBABBBCDABCCCCABEEFFABEFFEABEEEE,AAAAABACCCBBADECCCDDEEECDEEFECDEFFFC,x..........x...x...x........x...x...,11,Beginner,True
puzzle_61,6,AAABCDABBBBDAABDBDEBBDDDEFFFFDEEEEFF,AAAAABACBBBBDCCCBEDCECEECCECCEFFEEEE,....x...x...x..........x...x...x....,11,Beginner,True
puzzle_54038,6,AABBBBABBCBCAABCCCDABBECDABEEFDDFFFF,AABBBCADBDBCEDBDDCEDBBDCEDDDDCEEEFFC,.x.........x..x.......x.x........x..,13,Beginner,True
puzzle_403,6,AAAABCADBBBCDDBCCCDBBCEECCBCCEFCCCEE,AAAABBACACCBACCCBBADDCDDAEDDDFEEEDFF,...x...x........x...x........xx.....,14,Beginner,True
puzzle_3559,6,AAAAAABBACCDBCCCDDBBCEDEFBCEDEFCCEEE,AABCCCABBDDCABDDEEABBDAEAAAAAEAFFEEE,....x..x.........x...x..x.......x...,14,Beginner,True
puzzle_50,6,AABBCCACCBCDAACBCDCCCCCDEEFCDDFFFFFD,AAAAAABBBBBABCCAAABDCAEEBDDBFEBBBBFF,...x..x.......x........x.x........x.,15,Beginner,True
puzzle_9,6,AAAAABACDDABCCDBABCDDBBBCCDDEBCFEEEE,AAAAAAABBBBBABCCCBDCCEFBDDCEFBDEEEFF,...x.......x..x...x.........x..x....,16,Beginner,True
puzzle_26,6,AAABCCADDBBCADBBCCADBCCEABBFEEABFFFF,AAABBCABBBDCABDDDCABDEECDDDDFCDFFFFF,x.........x..x.......x.......x..x...,16,Beginner,True
puzzle_53106,6,ABBBBBACBCCBACCCBBAAADBEAFFDDEFFDDEE,ABBBBCAAADECFFADCCFAADDCFFAADCFAADDC,..x.......x.x........x.......x.x....,17,Beginner,True
puzzle_27189,6,AABBBBCABDBECAADDECAEDEECCEDEFCEEEEE,AAAAABCDADDBDDDDBBDEDBBFDEEEFFDDDEEF,...x..x.........x..x.........x..x...,18,Beginner,True
puzzle_53772,6,AAAAAABBBABACCBBBBDDBEFBEDDEFBEEEEFF,ABBBBBAAABABCCAAABAAADEBADDDEEAADFFF,.....x..x...x.........x..x.......x..,18,Beginner,True
puzzle_90,6,ABBBBBAABCCCACCCDCAEECDCEEDCDCFFDDDD,AAABBCADDDDCADEEDCAEECCCAEFCFCAEFFFC,...x...x.........x..x.......x.x.....,19,Beginner,True
puzzle_187,6,AABBBCADBDBCDDDDCCEEEDDCEFFFCCEEEFFC,ABBBBBAAAAABACCBBBAACCDDEAACCDEEFFFD,.x........x...x........xx........x..,20,Beginner,True
puzzle_3,6,ABBBCCABDBBCBBDBCCDBDDCEDDDFFEEEEEEE,AABBBBCAABDBCCABDDCAABEDCFFBEECFBBBE,...x..x..........x..x.......x..x....,21,Beginner,True
puzzle_6,6,ABBBBBABCBDDAECCCDAECFCDAECFFDEECFDD,AAAAABACABBBDCEEEBDCEFEBFCFFEBFFFEEB,.....x..x...x........x...x........x.,21,Beginner,True
puzzle_31,6,AAAAABACABBBACDDDDACDCEECCDCCEFCCCEE,AAAAABACCCBBAACDDEACCCDEFCFDDEFFFFDE,.x........x...x........x...x..x.....,22,Beginner,True
puzzle_886,6,AAAAABCADDBBCCCDDBCECDBBCEDDDBEEFFFB,AAABBCDEABCCFEEBBCFEBBFCFEEFFCFFFFCC,..x...x.........x..x.........x...x..,23,Beginner,True
puzzle_1655,6,AABBBBCACBCBCCCCCBDDDCEBDFDEEBFFFFFF,AAAABBACCABDCCBBBECFBEBECFBEEECFFFFE,.x.........x...x..x.........x...x...,23,Beginner,True
puzzle_84,6,AABBCDABBCCDAABBCDEAABCDEBBBCDEBFBCD,AABBBCABBABCAAAABDEEEDDDEFEEEDEFFFDD,...x.......x.x........x.x.......x...,24,Beginner,True
puzzle_14,6,AABBBCADDBDCADBBDDADDDDEAFFFDEAAFEEE,AABBBCABBDBCAAADCCADDDCDEDEDDDEEEFFD,.....x.x.......x..x.......x.......x.,25,Beginner,True
puzzle_15,6,AAABCCDDCBBCDCCCCCCCECFFECECCFEEEEEE,ABBBBBABACCBAAAACDEAFAFDEFFFFDEEDDDD,..x.......x.x..........x...x...x....,26,Beginner,True
puzzle_22,6,AAAAABACCCABCCDDDBEFDBBBEFFBFBEEFFFB,AAABBCABAABCABBBBCADDECCDDEEECDFFCCC,...x.......xx.......x.......x..x....,26,Beginner,True
puzzle_460,6,AABBBCABBCCCABDDCEAAADCEFADDCEFFFFCC,ABBCCCAAAACDADDADDAADDDEFDDEDEFFFEEE,..x.......x.x........x.......x.x....,27,Beginner,True
puzzle_1618,6,AAAABBACCAAAAACCCCDEEECFDEDEEFDDDFFF,ABBBBCAAAACCDDEAECDFEEECDFEFECDFFFEC,....x...x...x........x.......x.x....,28,Beginner,True
puzzle_595,6,ABBBBBAABCBDBBBCBDBCCCEDCCEEEDFFEDDD,AAAABBCADBBECDDBEECCDBBEFCFFBEFFFEEE,...x..x..........x..x.......x..x....,29,Beginner,True
puzzle_898,6,AAABBBACAAAAACDDDACCCEDACFCEEECFFFFF,AAAABBACDDDBACDEBBACDEFFACDFFDCCDDDD,.....xx........x...x........x...x...,29,Beginner,True
puzzle_58,6,ABBBBCABDBCCDDDEECDEEECCDECCCFDEFFFF,AABCDDABBCCDAABCDDEEBCCCFEBBFCFFFFFC,....x.x.......x........x.x.......x..,30,Beginner,True
puzzle_29,6,AAABBCADACBCADACCCDDDDECDFFDEEDDFFFE,AAAABBACBBBDACEEEDACEFFDACEFDDAAFFFF,....x.x........x...x.........x..x...,31,Beginner,True
puzzle_132,6,AAABBCACCCCCACDDDCAEDEFFAEEEEFEEFFFF,AABBBBACBDDBACDDBBACEDDBACEEEFEEEFFF,....x..x.......x..x.......x........x,31,Beginner,True
puzzle_344,6,AAAABCACCACCADCCCEDDCFEEDCCFFEDDFFEE,AABBBBABBCBCDCCCCCDDDDCEFDFCCEFFFEEE,....x.x........x...x.........x..x...,32,Beginner,True
puzzle_530,6,AABBCDAEEBCDAEBBBDFEBEDDFEEEEDFFFFFD,AAABBCABABDCABBBDCABEFFCAEEEFCEEFFFC,x.........x...x........x.x.......x..,33,Beginner,True
puzzle_219,6,ABBBBBACDEEBACDCEBACCCEFACACCFAAAACF,AAABBBACCBDBAACBDBAECBDBEECFDDECCFFD,.x........x...x........x...x..x.....,34,Beginner,True
puzzle_2345,6,ABBBBCABDDCCABBDCEBBDDCEFBBDCEFFFFCE,AABBBBABBCCBAAAAABDDEABBFDEEEBFFFFEE,x........x.......x.x........x...x...,34,Beginner,True
puzzle_36,6,AABBBBACBDBEACBDFEACCDFEAACDFFACCCCC,AAABBCADDDBCAADBBCAEDDDCEEFCDCFFFCCC,..x........x...x...x........x.x.....,35,Beginner,True
puzzle_30,6,AABBBCABBCCCAAADDDEEADFDEFFFFDEEEEEE,AAAABBACDAABCCDABBCEDABFCEDABFCEEFFF,.....x..x...x........x...x........x.,36,Beginner,True
puzzle_49,6,AABCCCABBCDCAABDDEFABDEEFABDDEFFFFDD,AAABCCABBBCDAEEEDDAAAEFFFAEEEFFFFFFF,....x...x........x.x.......x..x.....,36,Beginner,True
puzzle_180,6,AAAABBCABBBDCAABDDCCBBDECBBDDECFFDEE,ABBCCCABCCDDABBDDEAABBEEFAAFFEFFFFEE,...x..x.........x...x........x.x....,37,Beginner,True
puzzle_37,6,AABCCCABBBDDAEEBDFAEBBEFAEBEEFEEEEFF,AAABBBCABBDBCAADDECFDDEECFFDFECCFFFF,...x...x........x.x..........x..x...,38,Beginner,True
puzzle_104,6,AAAABBACDEEBACDEFBDDDEFFDEEEEFDDEFFF,AABBBCADBCCCADCCEFACCEEFACFFFFAAAAAF,...x.......x.x........x...x...x.....,39,Beginner,True
puzzle_110,6,AABBBCABBDCCAABDDCEABEDCEEEECCFFFFFF,AAAAAAABBACABBDACCDDDAACEDFFACEEECCC,.....x..x.......x..x.......x..x.....,39,Beginner,True
puzzle_170,6,ABBCDDAEBCCDAEBCDDAEECFFAAEFFEEEEEEE,AABCCDABBCDDABCCCCABCEEEAEEEFEAEFFFF,..x........x...x..x.........x..x....,40,Beginner,True
puzzle_24,6,ABBBCCABADDCABAADEABADDEAAADFEFFFFFF,ABBBCCAABCCDEAADDDEADDFDEAFFFFEEEEEE,....x...x........x.x.......x..x.....,41,Beginner,True
puzzle_212,6,AAAAAABCCCCABCADDAEEADAAFEAAAFFFFFFF,ABCCCCABCDDCABCBDEABBBDEAFBDDEAFFDEE,..x.......x.x........x...x.........x,41,Beginner,True
puzzle_102,6,ABBBBBAABCCCDEBBBCDEEECCDEFFFCDDDFCC,AAAAABABBBBBACCCBCDEECBCDDECCCEEEFFF,....x..x.........x..x...x........x..,42,Beginner,True
puzzle_83,6,ABBBCDABACCDAAAEEDAEEEDDAAAFDFFFFFFF,AAAABBACADDBCCAADBCEEBDBCEBBBBCEEEFF,.x.......x.......x..x...x.........x.,43,Beginner,True
puzzle_247,6,AAAABBACCAABACDDBBACCDEEAFDDDDAFFFFD,AABBBCADBECCADDEECAFDECCAFDFCFAFFFFF,....x..x.......x.......xx.......x...,44,Beginner,True
puzzle_251,6,AAAABBACCCCBACBBBBACCDBEADDDEEAFFFFF,AAABBBACADDBCCAADDCEEEEDFFFEDDFEEEED,....x...x...x..........x.x.......x..,44,Beginner,True
puzzle_71,6,AAAAAAABBBBCBBDDBCBDDEBCDDEECCFFFEEE,AAAABBCACCDDCCCEDFCEEEDFCDEDDFCDDDFF,....x..x.........x...x..x.......x...,45,Beginner,True
puzzle_21,6,AABBBBCABDBDCBBDDDCBDDEDBBFFEDBFFEEE,ABBBBBAABCBDABBCEDCBCCEDCCCEEDFFFFED,...x...x.........xx.........x...x...,46,Beginner,True
puzzle_543,6,AAAAABCADABBCCDAEBFCDEEBFEEEFBFFFFFB,ABBCCCAABCDCAEBCDCEEBFDCFBBFDCFFFFDD,x.......x.......x..x.........x...x..,47,Beginner,True
puzzle_689,6,AAABBBCCAADDCAADDECCCDEECFCCCEFFFFCC,AABBCCDAABBCDAEEECDDEFECDFFFECDDDFFF,...x.......x.x........x...x...x.....,47,Beginner,True
puzzle_150,6,ABBBBBAACBDDAECBBDAEEFFDAAEDDDEEEEEE,ABBBCDABCBCDABCCCDAEEFFDAEFFEDEEEEEE,.x.........x..x.......x.x........x..,48,Beginner,True
puzzle_269,6,ABBBACAAAAACDDDACCCCCCCECFFFFECCFEEE,AABCCCABBCDCAADCDCAEDCDCEEDDDFEFFFFF,..x.......x.x........x...x.........x,49,Beginner,True
puzzle_305,6,AABBBBABBCCCAABBDDEAABBDEFFDDDEEFFFF,AAAAABCACADBCCCCDBEEFCCBEFFFCBFFBBBB,.x........x...x...x........x.......x,49,Beginner,True
puzzle_103,6,ABBBBCABCCCCABDDDDABEEDFABBEEFBBEEFF,AABBBBACCCCBACDDDBADDEDEADEEEEAFFFFF,x.......x........x...x...x........x.,50,Beginner,True
puzzle_130,6,AAAAAAABACADBBACCDBEEEDDBBFEFDFFFFFF,ABBBCCABDDDCAEDFDCAEEFDCAAEFDFFFFFFF,.x.......x.......x..x...x.........x.,51,Beginner,True
puzzle_557,6,ABBCCCAABCDDABBCDEABFCDEABFCCEBBFEEE,AAAAAABACACABDCCCCBDEFCFEDEFFFEEEEEF,...x..x.........x..x.........x..x...,52,Beginner,True
puzzle_609,6,ABBCCDABAECDAAAEDDAEAEEDEEEEDDFFFFFD,ABBBBBABCCCCACCDCDEEDDDDEDDFFDEEEEFF,..x.......x.x..........x...x...x....,52,Beginner,True
puzzle_101,6,AABBBBCAABDBCDDDDBCEDFFBCEDFBBCEEFFF,AAABCCADABBCDDDDBCDCCCCCDDCEECFFCCEE,.....x..x.......x.x........x...x....,53,Beginner,True
puzzle_97,6,ABBBCCABDECFABDECFABDDDFADDFDFAAFFFF,AAAAAABBACADBCCCCDECEDDDEEEEEEFFFFFF,....x..x.......x.......x..x...x.....,54,Beginner,True
puzzle_524,6,AAAABBCDADDBCDDDBBCCDEEBFCDDEEFFFDDE,AAAAABACACCBDCCCBBDCEEEBCCEFEFCEEFFF,...x...x........x.x..........x..x...,54,Beginner,True
puzzle_7,6,AAAAAABBBACCBDEECFBDECCFBEEECFBBBCCF,ABBBBCADDEECADFFECDDFEECDFFFECDDDFCC,..x...x.........x..x.......x.......x,55,Beginner,True
puzzle_143,6,AAAAABACADABDCDDABDDDEEBDFFEBBDDFFFF,ABBBBCADDCCCADCCEEAAAEEFAFFFFFAAAAAF,...x.......x.x........x...x...x.....,56,Beginner,True
