name,N,board_1,board_2,solution,,score,tier,is_solved
puzzle_2340,8,AABBBBBCABBDDDBCAAAEDDDCAAEEEDDCFFEEEGCCFHHHEGGCFFHHHGGCFFFHHGGG,AAABBBBBAAACCCDBEAACCDDBEECCCDDBEEEFFDDDEEFFFFGGHHHHFFGGHHHHGGGG,.x............x.....x..........x...x....x.........x..........x..,,0,UNSOLVED,False
puzzle_3007,8,AAAABBBBAAACBBBBADCCCEEEDDDCCEEEDDCCFGEEDFFFFGGGDFHHHHGGFFHHHHGG,AABBBBCCADBBBBCCADDDDCCCAADDDEECAFGGGEEEAFGGGEEEFFFGGHHHFFFHHHHH,.x...........x....x............x....x.........x.x..........x....,,0,UNSOLVED,False
puzzle_3016,8,AAAABBCCAADDBBBCAADDBBCCEDDDFBFCEEDFFFFCEEEEFFGCHHHEGGGGHHHHHGGG,AAAABBBBCCAADBBBCCAADBEFCCDDDDEFCCGGDDEFGGGEEEEFGGHHEHFFGHHHHHFF,..x..........x.........x.x..........x.........x....x....x.......,,0,UNSOLVED,False
puzzle_3992,8,AAAAAABBAACDDDDBCCCCDDDBCEECCFDBEEEFFFFBEEGFFFBBEGGGHHHHGGGGHHHH,AABBBBBBAABCCCDBAAECCCDFAAECCDDFGGEEEDDFGGEEEDDFGGHHHHFFGGHHHHFF,..x...........x....x.....x..........x..........x.....x..x.......,,0,UNSOLVED,False
puzzle_6324,8,AABBCCCCAABBCCCCABBBDEEEADBDDEEEADDDFFEEADFFFFFFGGGGHHHHGGGGHHHH,AABBBCCCAABBBCCCDAAEBFFCDAAEBFFCDDEEFFFGDEEEHFGGDDHEHGGGDHHHHHGG,....x...x..........x...........x.x...........x....x...........x.,,0,UNSOLVED,False
puzzle_6722,8,AAAAABBBAAACCBBBDEECCFFBDEECCFFBDECCFFGGDEEEFFGGDDHHHHGGDDHHHHGG,AABBBCCCAABBBCCCAADBECFFAADBECFFGGDEEEFFGGDEEEFFGGDDHHHHGGDDHHHH,.x..........x..........x.....x..x..........x..........x...x.....,,0,UNSOLVED,False
puzzle_7705,8,ABBBBBBCABDDDDBCADDDECCCAADEECCCAEEEEFGGAEHFFFGGAHHFFFGGHHHHHFGG,AABCCCCCAABBBCCCAABBDDDEAABBDDEEFFGDDDEEFFGGGEEEFFGGGHHHFFGHHHHH,....x...x..........x...........x.....x...x............x...x.....,,0,UNSOLVED,False
puzzle_7907,8,AAABBBBBAAAAABBBCCDEEEEECCDDDEEECCCFDDGGHHCFFDGGHHHFFDGGHHHFFFGG,AABBCCCCAABBBCCCAABBBDDCAAEEEDDDFFEEGDDDFFEEGGGGFFEHHGHGFFHHHHHG,....x.....x.....x..............x...x.........x...x............x.,,0,UNSOLVED,False
puzzle_8184,8,AAABBBBBAAABCCBBDAADCCCEDDDDCCCEFDDEEEEEFFGGGEHHFFGGGHHHFFFGGHHH,ABBBBBCCABBBDDCCADDDDECCADDEEECCAFEEEGHHAFEGGGHHAFFFGGHHAFFFGGHH,.....x..x.............x..x.........x...........x....x.....x.....,,0,UNSOLVED,False
puzzle_8837,8,AAAAABBBACCAABBBCCCDDBEECCCDDBEEFFFFDDEEFFFFDGEEHHHHDGGGHHHHGGGG,AABBBCCCAAABBDCCAAABBDDCEEEEBDDCEEEEDDFCGGGHDFFFGGGHHHFFGGHHHHFF,....x....x...........x.....x...........xx.............x...x.....,,0,UNSOLVED,False
puzzle_11518,8,AAAABBBBACCCBBBBACCCCDDDACEEEDDFAGEEEDDFGGEHHDFFGGEHHHFFGGGHHHFF,AAABBBBCAABBBCCCAAABDCCCDDDDDEECDFFDFEEEFFFFFEEEGGGGHHHHGGGGHHHH,.......x..x.....x...........x....x...........x.....x..........x.,,0,UNSOLVED,False
puzzle_13531,8,AAAAABBBAAACCBBBDDDECCBBDDDECCFFDDEECCFFGGEEHHFFGGGEHHFFGGGEHHHH,ABBBBBBBAAACCDDBAAACCCDDAEECFFDDEEECFFDDEEECFFFGHHHHFGGGHHHHGGGG,...x..........x.....x...x.........x..........x.........x.x......,,0,UNSOLVED,False
puzzle_14499,8,AABCCCCCAABBCCCDAABBDDDDAABEEEEDFFBBGEEDFFGGGEEDFFGGHHHHFFGGHHHH,AAABBBCCAAABBBCCDDAABBCCDDEEEECFDDEEEECFDDGGHHFFGGGHHHFFGGGHHHFF,...x...........x..x.....x...........x.........x..x...........x..,,0,UNSOLVED,False
puzzle_14775,8,AAABBBCCAAABBBCCDAABBCCCDEEEEEFCDEEEFFFFDGGGFFHHDDGGFHHHDDGGGHHH,AABBCCCCAABBCCCCABBBDDDDABEEEDDDAAEEEDFFGGEEFFFFGGGHHHHFGGGHHHHF,.....x....x...........x.x..........x.....x..........x..........x,,0,UNSOLVED,False
puzzle_15452,8,ABBBCCCCAABBBCCCAABDBCEEAADDDDDEAFFDFDEEFFFFFGEEHHHHGGGEHHHHGGGG,AAABBBCCAAAAABCCDDEEEBCCDDDEEBCCFDDEEBGGFDHHEBGGFFFHHHGGFFFHHHGG,.x...........x.........x..x.....x...........x.........x....x....,,0,UNSOLVED,False
puzzle_16509,8,AABBBBCCAAABBBBCAADDDCCCADDDEEECFDDGEEECFFFGEEHHFFFGGHHHFGGGGHHH,AAAABCCCAAABBCCCDABBBCEEDFFBBCEEDFGGGGEEDFFFGGEEDFFHHGGHDDDHHHHH,..x............x....x...x.............x..x...........x.....x....,,0,UNSOLVED,False
puzzle_18033,8,AAABBBBBAACCCBBBAACCCDDDACCEEDDDFFEEGHDDFFEEGHHHFFEEGGHHFFGGGGHH,AAABBBCCAABBBBCCAAABDCCCEEEDDCFFEEEDDFFFEEDDDFFFGGGGGHHHGGGHHHHH,..x..........x.........x.x.........x..........x.x...........x...,,0,UNSOLVED,False
puzzle_18186,8,AAAAAAAABBCDEEEEBBCDDDEEBBCCDDEEBBCCDDFFGGCCHFFFGGGHHHFFGGGHHHHF,AAABBCCCAAABCCDCAAEBCCDDEEEBBFDDEEBBFFDDEFFFFFDGEHHHGGGGHHHHHGGG,...x...........xx.........x.........x.........x..x...........x..,,0,UNSOLVED,False
puzzle_18849,8,AAAAABCCAAADBBBCEEDDBBBCEEDDFBCCEEDDFCCFEEDFFFFFGGGGGGHHGGHHHHHH,AABBBCCCAABBBBCCAADDDBCCAADDDEECFFFDDEEGHFFEEEGGHHFFFEGGHHHHHGGG,...x...........x....x...x.........x..........x...x............x.,,0,UNSOLVED,False
puzzle_21414,8,AAABBBBBAACBBBDDAACCDDDDEACCDFFFEEECDFFFEEGCCHFFEEGGHHHHGGGGGHHH,AABBBBCCAABBBDCCAABEDDCCAAEEDDCCEEEEDFGGEHHDDFGGHHHFFFGGHHHFFFGG,..x..........x.........xx..........x..........x.....x....x......,,0,UNSOLVED,False
puzzle_22424,8,AAAABBBBAAAABBBBCDDDDDEFCGGDDEEFCGGGDEEFCCGGEEEFCCHGHHFFCHHHHHFF,AABBBBCCAAABBCCCAAABDDCCEEEBFDDCEEEFFFDDEEFFFFDDGGGGHHHHGGGGHHHH,...x.........x..x...........x....x............x...x............x,,0,UNSOLVED,False
puzzle_26549,8,AAAABBCCAAABBBCCADDBBBECDDDEEEECDDDEEEFCGGGHHHFCGGGHHFFFGGHHHFFF,ABBBBBCCAAABBBCCDAAECCCCDAAEEEFFDDEEEFFFDDDDEGGFHHHGGGGFHHHHHGGF,..x............x...x.....x...........x..x.............x.....x...,,0,UNSOLVED,False
puzzle_27589,8,AAABBBBBAAACBBDBEAACFFDDEECCCFDDECCCFFDDEGGFFFHDEGGGHHHHEEGGGHHH,ABBBCCCCAABBCCCCAABBDDDDAEEBDDDDAEEEEEFFAGGHHEFFGGGHHHFFGGGHHHFF,......x...x.........x...x..........x...........x.x...........x..,,0,UNSOLVED,False
puzzle_27801,8,AAAABBBBAACABBBDACCCBDDDEECCFDDDEECCFGGDEEHHFGGGEEHHFGGGHHHHFFFF,ABBBCCCCABBBDDCCAABBDDCCAAEDDDDFAAEGGGGFHHEEEGGFHHEEEGGFHHHHFFFF,......x..x...........x..x..........x...........x....x.....x.....,,0,UNSOLVED,False
