name,N,board_1,solution,score,tier,is_solved,symmetry
puzzle_1_90,8,AA*A****A*****A*AA*AAAAAAA**A*A**A*A**AAAAAAA*AA*A*****A****A*AA,...x....x............x...x............x...x............x....x...,13.0,Beginner,True,rot90
puzzle_2_90,8,**AA*AAA**AAAAAA*****A**A*A*AA****AA*A*A**A*****AAAAAA**AAA*AA**,......x....x.........x..x..............x..x.........x....x......,13.0,Beginner,True,rot90
puzzle_3_180,8,A****A***A*A****A***A*A*AA*AAAAA*****A**A*A*AAA*AAAA*A*AAA*AAAA*,x..........x..........x..x...........x....x............x....x...,14.0,Beginner,True,180
puzzle_4_180,8,**A****A*AAA*AAA**A*A*A**AA*A*AA**A*A**AA*A*A*AA***A***A*AAAA*AA,.......x.....x....x...........x.....x...x..........x.....x......,14.0,Beginner,True,180
puzzle_5_180,8,**A**A*AAA*AAA*AAAAA*A**AAA**A**AA*AA***AA*A*****A***A***A*AA*AA,.......x....x.....x..........x..x..........x.....x............x.,14.0,Beginner,True,180
puzzle_6_lr,8,A**A*AA*AA*A*A***AA*A**AA**A*AA*AA**AA**AAAA****AA*A*A**A**A*AA*,......x..x.............xx...........x.....x..........x.....x....,14.0,Beginner,True,lr
puzzle_7_180,8,A*AAAA*A*A*A*A**A**AAAAA****AAA*A***AAAA*****AA*AA*A*A*A*A****A*,..x..........x.........x....x...x.............x....x.....x......,15.0,Beginner,True,180
puzzle_8_lr,8,*A*A*A*AA*AA**A*A**A*AA*AA**AA**A**A*AA*****AAAAA**A*AA*A**A*AA*,.......x..x..........x...x............x.....x...x..........x....,15.0,Beginner,True,lr
puzzle_9_lr,8,A***AAA***A*A*AA*A**AA*A*A**AA*A*A**AA*A***A*AAA*A**AA*A*A*A*A*A,x.........x..........x.........x....x.........x..x.........x....,15.0,Beginner,True,lr
puzzle_10_180,8,A***AA***A**A***AA**A*AAAAAAA**A*AA*******A*AA**AAA*AA*AAA**AAA*,x...........x..........x...x.....x...........x....x...........x.,15.0,Beginner,True,180
puzzle_11_180,8,**AAA*AAA*******AA*AA*AAA*AA*AA*A**A**A***A**A**AAAAAAA***A***AA,..x.....x...........x.........x....x.........x...x.............x,15.0,Beginner,True,180
