name,N,board_1,solution,score,tier,is_solved,symmetry
puzzle_1,8,****A*A****A*A*A****A**A**A**********A**A**A****A*A*A****A*A****,......x....x...........x..x..........x..x...........x....x......,11.0,Beginner,True,rot180
puzzle_2,8,*A*******A****AA****A*****A**********A*****A****AA****A*******A*,.x.............x....x.....x..........x.....x....x.............x.,11.0,Beginner,True,rot90
puzzle_3,8,A**********A*****A**A*A*A**AAA****AAA**A*A*A**A*****A**********A,x..........x.....x...........x....x...........x.....x..........x,12.0,Beginner,True,rot180
puzzle_4,8,**A***AA*****AA****A**AA**A***A**A***A**AA**A****AA*****AA***A**,.......x.....x.....x..........x..x..........x.....x.....x.......,12.0,Beginner,True,rot180
puzzle_5,8,**A*****A**********A*A*AA*AA*AAAAAA*AA*AA*A*A**********A*****A**,..x.....x..........x..........x..x..........x..........x.....x..,12.0,Beginner,True,rot180
puzzle_6,8,**A**A*****A****A***A**A**A***A**A***A**A**A***A****A*****A**A**,.....x.....x....x.............x..x.............x....x.....x.....,12.0,Beginner,True,rot90
puzzle_7,8,**A*A****AA**A******A**A*****A*AA*A*****A**A******A**AA****A*A**,....x....x.............x.....x....x.....x.............x....x....,13.0,Beginner,True,rot180
puzzle_8,8,A****A*****A*AA*A****A**AAA**A*AA*A**AAA**A****A*AA*A*****A****A,x..........x.........x...x............x...x.........x..........x,13.0,Beginner,True,rot180
puzzle_9,8,*A*A***A*AAAA**AA***A****A*A********A*A****A***AA**AAAA*A***A*A*,.......x..x.........x....x............x....x.........x..x.......,13.0,Beginner,True,rot180
puzzle_10,8,*A***A*****AA**AA********A****A**A****A********AA**AA*****A***A*,.....x.....x....x.............x..x.............x....x.....x.....,13.0,Beginner,True,rot90
puzzle_11,8,*****A*********A****A**A***A*AA***A*A*AAA**A*AAA***AAA*A*AA*AAA*,.....x.........x....x.........x...x.....x..........x.....x......,13.0,Beginner,True,diag
puzzle_12,8,****A**A*A***AA**AA*AAA*A*A**A*A*A******AAA*AA**AAAA*AA*AAA*A***,....x.........x...x............x.x...........x.....x....x.......,13.0,Beginner,True,diag
puzzle_13,8,*AAA**A***A****AA*A*AA*A*******AA*******A*AA*A*AA****A***A**AAA*,......x...x.........x..........xx..........x.........x...x......,14.0,Beginner,True,rot180
puzzle_14,8,*AAA***A*A**AAAAAA***A***A************A***A***AAAAAA**A*A***AAA*,...x...........x.....x...x............x...x.....x...........x...,14.0,Beginner,True,rot180
puzzle_15,8,**AAAA******A***A*A**A*AAA*****AA*****AAA*A**A*A***A******AAAA**,..x.........x..........x.x............x.x..........x.........x..,14.0,Beginner,True,rot90
puzzle_16,8,**A*********AA***AAAAA*A*AAAAA****AAAAA*A*AAAAA***AA*********A**,..x.........x..........x.x............x.x..........x.........x..,14.0,Beginner,True,rot90
puzzle_17,8,***A****A**AAA****AAA*A*****AAA**A*A*AAA*****A***A*A****A*****A*,...x....x.........x.........x..........x.....x...x............x.,14.0,Beginner,True,diag
puzzle_18,8,A*A**A****A*A***AAA*AAA****AA****AAA*AA*A*A*AAAA**A*AAA******A**,x...........x.........x....x.....x.............x..x..........x..,14.0,Beginner,True,diag
puzzle_19,8,***AAA**A**A****AA*****AAA*****AA**A**AAA*******A***AA***AAAAAA*,.....x.....x...........x.x............x.x...........x.....x.....,14.0,Beginner,True,diag
puzzle_20,8,A**A*****AAA*A****A**A**A*A*A******A*A*A**A**A****A*AAA*****A**A,...x.....x...........x..x..............x..x...........x.....x...,15.0,Beginner,True,rot180
puzzle_21,8,A*AAAA*****A****A***AAA***A*A**AA**A*A***AAA***A****A*****AAAA*A,x..........x..........x...x..........x...x..........x..........x,15.0,Beginner,True,rot180
