name,N,board_1,board_2,solution,score,tier,is_solved
puzzle_16554_flip_antidiag,9,AAAABBCCCAAAABBCCCAAAABBBCCDADDEECCFDDDDEFFFFDGGGEEFFFDHHHEEEEFHHHHHIIFFHHHHIIIIF,AAAAAABBBCADAABBBBCCDAABEBBCCDDADEEECFDDDDEEEFFFGHHIIIFFFGHHIIIFFFGHIIIIFFHHHHIII,....x.x..x.x..........x...xx.x............x.x.x.x..........x.x..x.x..........x.x.,38,Beginner,True
puzzle_22375_rot180,9,AAAAABBBBAAAABBBBCDDDDBBBBCEEFFFFFCCEGGGFFHCCEGGFFFHCCEEGGIIHCCEEEGGIIIIEEGGGIIII,AAAABBBCCAAAABBCCCDDEAABBCCDDEFFFBBCDDEFFBBBCDDFFFFFCCDGGGGHHHHDGGGGIIIIGGGGIIIII,.x.x..........x.x.x.x..........x...x..x...x..x...x..........x.x.x.x..........x.x.,38,Beginner,True
puzzle_3672_rot180,9,AAAABBBBBAAAABBBBBCCCCDDBBEFCFDDDBBEFFFDDDGEEFFFDDDGEEHFFDDIGEEHHHHIIIEEHHHHIIIII,AAAAABBBBCCAAABBBBCCDAEEFFBCCDEEEFFFCCDEEEFFFCGGEEEFHFCGGEEHHHHGGGGGIIIIGGGGGIIII,.x.x..........x.x.x.x..........x...x..x...x..x...x..........x.x.x.x..........x.x.,38,Beginner,True
puzzle_6637_flip_diag,9,AAAAAABBBAAAAAABBBAACCCDBDDEEDDDDDDDEEEDDDDDDEEEFDGGHHEFFFDGHHHEEEEGGHHHEIIIGGHHH,AAABBBBBBAAABBBCBDAAEFBBCBDAAEFFCCBDAAEFFFFGGAAFFFGGGGHHHFFGIIIHHFFFIIIIHHFFFIIII,x...x..........x.x..x.x..........x.xx.x...........x.x..x.x..........x.x..x.x.....,38,Beginner,True
puzzle_5457_rot180,9,AAAAABBBBAAACCBBBBAAACCCDEEFGGCCCDEEFFGGCCDEEFFFHHDDEEFFHHHDDDIFFHHHIIIIFFHIIIIII,AAAAAABCCAAAABBBCCADDDBBBCCEEDDBBCCCEEDFFGGCCEEDFFFGGCEEDFFFHHHIIIIFFHHHIIIIHHHHH,....x.x...x......x...x..x...x......x...x.x...x......x...x..x...x......x...x.x....,39,Beginner,True
puzzle_1374_flip_diag,9,AAABBBBBBAAAABBBBBAAACBCCDDEECCCCCDDEEFFFFDDGEHFFFFIIGHHHFFFIIGHHHHFFIIIHHHHIIIII,AAABBBCCCAAABBCCCCAAADEECCCFADDEEECCFFFDEEEEGFFDDEEEEGFFDDHGGGGFFHHHGGGGFFHHIIIGG,.....x.x..x.x..........x.x..x.x...........x.xx.x..........x...xx.x..........x.x..,40,Beginner,True
puzzle_1838_flip_diag,9,AAABBCCCCAAABBCCDDAAABBCCDDAAEEBCDDDFAEEEGGGDFEEEGGGHHFEEEIGGHHEEEEIGGHHEEEEIGGHH,AAAABBBBCAAAADBBBCDDDDDBCCCDDDDDCCCCEEEDFGGGGFFFFFFGGGFFFFFFHHHFFFFHHHHHFFIIIHHHH,.x.x..........x.x..x.x..........x.x.x.x............x.xx...x..........x.x..x.x....,42,Beginner,True
puzzle_365_rot180,9,AAABBCCCCAABBBBCCCDBBBBCCCCDDBBCCEEEDDFFFFEEEDDFFFEEEEDDFFGGGHHIIIIIIHHHIIIIHHHHH,AAAAABBBBAAABBBBBBAACCCDDEEFFFFDDDEEFFFDDDDEEFFFGGHHEEGGGGHHHHEGGGHHHHIIGGGGHHIII,..x..x...x......x...x.x....x......x....x.x....x......x....x.x...x......x...x..x..,42,Beginner,True
puzzle_1040_rot180,9,AAAAAABBCAAAAAABBCDDABBBBECFDDBBEEEEFFDDDEEEEFGDDDHHEEFGGGDHHHHFGGGIHHHHGGGGIIIIH,ABBBBCCCCAAAABCCCDAAAAECCCDFFAAEEECDFFFFEEEDDFFFFGGEEDHFGGGGIEEHGGIIIIIIHGGIIIIII,..x.....x....x.x...x......x...x.x....x.....x....x.x...x......x...x.x....x.....x..,45,Beginner,True
puzzle_350_flip_antidiag,9,AAABBBBCCAAAABBCCCAADDEECCCAADDDEECCFADDDEEGGFFDDEEEGGFHDDHEEGGHHHHHEIGGHHHHIIIIG,AAAAABBBBCAAAABBBBCCDDDDBBECDDDDDDEECFFDGGDEEFFGGGGGHEFFGGGGGHHFFFIHHHHHFFIIIHHHH,.x.x..........x.x..x.x..........x.x.x.x............x.xx...x..........x.x..x.x....,45,Beginner,True
