name,N,board_1,board_2,solution,score,tier,is_solved
puzzle_only_empty,9,AAAAABBBBCCCAAABBBCCCAAABBBDDDAAEEEEDDDDAFEEEGGFFFFFEEGGFFFHEEIGGHHHHHIIGGHHHHHII,AAABBBCCCAAABBBCCCABBBBBBBCDDEBBBBCCDDEEEFFGCDDEEFFFGGHHHHFFFGGHHHHFFFGGHHHHHIIIG,....x.x..x.x..........x...xx.x...........x.x..x.x...........x.x.x.x..........x.x.,116,rule_only_empty_multi,True
puzzle_adjacency,9,AAAAABBBBAAAAABBBBAAAAACCCDEEEFFDCCDGFFFFDDCDGGFHHDDDDGGHHHIIDDGGHHHIIIDGGGHHIIID,AAAABBBCCAAAAABBCCAAAAABBCCDDEEEBBFCDDDGEFFFCHDDGEEFFFHHDGGFFIIHHHGGGIIIHHHGGGIII,.....x.x..x.x..........x..xx.x..........x..x.x.x..........x.x...x......x...x..x..,82,rule_exclude_adjacency,True
puzzle_placement_forced_all,9,AAABBBBCCADBBBEECCADDBBECCCDDDDEECCCDDDDEFFFFDDDDGGFFFHHDDGGIFFHHHDGIIIIHHHGGGIII,AAAABBBBCAAAABBBBCDAEEECCCCDDDEEEECCDDEEFFFCCDDDGFFFCHDDDGGGFFHDDDGGGGFHIIIIGGGFF,..x..x...x......x....x.x...x......x...x.x..........x.x.x..x..........x.x.x.x.....,57,rule_unit_placement_forced_weak_all,True
puzzle_placement_forced_dots,9,ABBBBBBCCAABBBBBCCAABDBDDDCAAADDDDECAAFFFFEEEAGHHFFFEIGGHHFFIIIGGHHFIIIIGGGHHIIII,AAAAABCCCAAAABBCCCADAABBCCCDDADBBEECFDDDBEEEEFFGDHEEEEFFGGHEIEIFGGGHHIIIFGHHHIIII,.....x.x..x.x..........x..x.x.x...........x.x..x.x....x.....x....x.x....x......x.,61,rule_unit_placement_forced_weak_dots,True
puzzle_placement_forced_strong,9,AAAABBCCCADAABBCCCDDAABBEEEDDDDBEEEEDDDDEEEEEFGGGHHIIEFGGGHHHIEFFFGHHHIEFFGGHHIIE,AAAABBBBBAAAABBBCCDAAAAECCCDDAAEEECCDDDAAEEEEFDDDGHEIIFFGGGHHIIFFGGGHHIIFFGGGHHII,.x....x......x...x..x...x..x...x......x.....xx....x......x...x..x...x......x...x.,744,rule_unit_placement_forced_strong_any,True
puzzle_tile_single_empty,9,AABBBBBBCAABBBBCCCAADDBBEEEAADDDEEEEFFDDGGGEEFFDDGGGGEFFHHGGGIIFFFHHGIIIFFHHHGGII,AAAABBBCCAADDBBBCCADDDDECCCAAADDEEECAAEEEEFFCGGGEFFFFFGGGHHHHFFGGGIIIHFHGGGIHHHHH,.x..x..........x.x..x.x....x.....x....x.....xx....x......x...x..x...x......x...x.,169,rule_tile_single_empty,True
puzzle_tile_two_empty,9,AAABBBBCCAABBBBBCCAAABBDDCCAAEDDDDCCEEEEDDFFFGGGEEDFFFGGGGEHHHFGGGHHHHHHIIIIIHHHH,AAABBBBBBAACCCCBBBACCCDEEEEACCDDEEEECCCDDDDDFGGGDDHFFFGGIDHHHFFIIIIHHHFFIIIIHHFFF,.....x.x..x.x..........x.x.x.x..........x.x....x.....xx...x..........x.x.x.x.....,253,rule_tile_two_empty_dot,True
puzzle_tile_quota_fill,9,AABBBCCCCAABBBCCCCAABBBBDDCAAEBBBDDDFEEEDDDDDFFFEEDGGGFFFEEEGHHIFFFHHHHHIIIIIHHHH,AAABBCCCCAAABBBCCCABBBBBBDDEFFFBBBDDEEFFFFDDDEEEFGGGGDEEEHGGGGDHHHHHGIIIHHHHHIIII,.x...x......x...x.x....x.....x....x.x...x..........x.x..x.x..........x.x.x.x.....,395,rule_tile_quota_fill_single,True
puzzle_tile_sees_too_much,9,AAAABBBBBAAACBBBBBCCCCCCCCDEEECCCCDDFFECGGCDDFFHHGGCDDFFHHGGIIIFFFHIIIIIFHHHHIIII,AAABBBCCCAADDDBCCCAADDDBBBCAADDDBBECAAFDDBEEEGFFFFHEEEGFFFFHHEEGGFIFHHHHGGGIIIIHH,.x.x...........x.x..x.x....x......x...x..x...x......x....x.x....x......x....x.x..,446,rule_tile_sees_too_much_multi,True
puzzle_adjacent_rows,9,AAAABBCCCAAABBBCCCAADDBBCCCEEDDDFCCCEEDDFFFGCEEDHFFGGCEEHHFFIGGEHHHIIIIIHHHHIIIII,AAAABBCCCAADBBBCCCAADBBBCCCEDDDFFGGCEEDDFFGGGEEDDFFFGGHHHDFFFGIHHHHHIIIIHHHHHIIII,...x.x....x......x....x.x..x.x..........x..x.x.x...........x.x..x.x...........x.x,192,rule_unit_region_sync_multi_2,True
