name,N,board_1,board_2,board_3,board_4,board_5,board_6,solution,score,tier,is_solved
puzzle_2657,8,AAABBCCCAAABBBCCAAAABDDDAAEEDDDFGEEEEFFFGGEHHFFFGGHHHHHHGGGHHHHH,AABBBCCDAAABBBBDAAAABDBDAAEEDDDDEEEEDDDFGEEEDDFFGGHHHHFFGHHHHHHF,AAABBCCCAAAABBCCAAADDDDDAAEEDDDFEEEEDDFFGEEEEDDFGHEHHHFFGHHHHHHF,AAABBCCCAAABBBCCAAAABDCCAAEEDDDDEEEEDDDFGEEGDDFFGGGGHDFFGGHHHHFF,AAABBCCCAAABBBCCAADDBEEEAADDEEEEDDDDDEFFGDDDDFFFGGDHHHFFGGHHHHFF,AABBBCCCAAABBBCCAAAABDDDAAEEDDDDEEEEDDDFGEHEDDFFGGHHHDFFGHHHHHFF,......x.....x....x...........x....x............xx..........x....,35,Beginner,True
puzzle_6125,8,AABBBCCCAABBCCCCAAABCCCCAAADDDCEFADDDGEEFHHDGGEEFHHGGGGEFHHHGGGE,AAAAAABBCCAAABBBCCCDDDBBCCDDDDBEFFFDDGEEFFGGGGGGFGGGGGGGHHHHHGGG,AAABBCCCABBBBCCCAAABDCCCAAADDECEFFDDDEEEFFGDDHEEFGGGHHHEGGGGHHHE,AABBBCCCAABBBBCDAAABEEEDAAAEEEEDFAEEEEDDFFFGGGGDFFHGGGGDFHHHGGGG,AABBBCCCAAACCCCCAAAADDCCEAADDDDFEEGDDDFFEEGGDDHFEEGGHHHHEEGGGHHH,AABBBBCCAAABBCCCAAAADDCCAAAADDCCEEEDDDFFEEGGHHHFEEGGHHHHEGGGHHHH,...x..........x..x..........x..........xx............x....x.....,35,Beginner,True
puzzle_14287,8,ABBBBBCCABADBBCCAAADDDCCEADDDDFCEEGDDFFFEEGGFFFFEGGGFFHHGGGGHHHH,AABBBBCCAAABBBCCAAADBBCCEADDDFCCEEDDDFFCEGGDFFFFGGGGFFHFGGGGHHHF,AABBBBCCAAABDBCCAAADDBCCEADDDDFCEEDDFFFFEGGFFFFFGGGGFFHHGGGGHHHH,AABBBBCCAADDBCCCAAADDDCCAADDDDCCEEDDDFFFGGGGFFFFGGGGGFHHGGGGHHHH,AABBBBCCAAABBBCCAAABBBCCDAEEBBCCDAEEEFFCDGGEFFFFGGGGFFHHGGGGHHHH,AABBBBCCAAABBBCCAAADBCCCEADDDDCCEEDDDFFFEEGGDFHHEEGGGGHHEEEGHHHH,....x..........x.x.........x....x............x....x...........x.,37,Beginner,True
puzzle_3337,8,AAAAAABBCCCAABBBCCCCDDBBEECDDDFFEEEDFFFFEEEEGGFFHEEGGGGGHHHGGGGG,AAAAAABBCCCAABBBCCCCBBBBDCCCEEFGDDCEEFFGDDDDGGFGHDDGGGGGHHHGGGGG,AAAAAABBCCCDDBBBCECCDDBBCECDDDFBEEEEDFFFEEEEGGFFHEEGGGFGHHHGGGGG,AAAAAABBCCCAAABBCCCCDDEBCFCDDDEEFFFDDEEEFFFFDGEEHFFGGGGGHFFGGGGG,AAAAAABBCCCAABBBCCCCDDEBCCCDDDEEFCGDDEEEFFGGDHEEGFGHHHHHGGGHHHHH,AAAAABBBCCCAABBBCCCCDDBBEECDDDFBEEEDDFFFEEEGGGFFHEEGGGGGHHHGGGGG,...x...........x..x.........x.........x..x...........x..x.......,39,Beginner,True
puzzle_8961,8,AAABBBBBAAACBDBEAACCCDEEFACCDDEEFFGDDDEEFFGGDDHEFGGGGHHEFGGGGHHH,AABCCCCCAABBBCCCAABBBBDCEABBFFDDEEGFFFFHEEGGFHHHEGGGGHHHEGGGHHHH,AAABCCDDAAABBCDDAABBBCDDAABBEEDDAFEEEEEDFFGGEEHDGGGGGHHDGGGGHHHD,AAABBBBCAAADBBBCAADDDBCCEADDFGCCEEGDFGGCEEGGGGHCEGGGGHHHEGGGHHHH,AAAABBBBAAAACBBDAAACCBBDEACCFFDDEEGFFFFDEEGFFFHDEGGGFHHHEGGGHHHH,AAABCCCCAAABBCCDAABBBBDDEABBFFDDEEGFFFDDEEGGFFFDEGGGGHFHEGGGHHHH,.....x...x.........x...........x....x...x.........x...........x.,39,Beginner,True
puzzle_10878,8,AAAABCCCAAABBCCCAADDBBCCDADDBEEFDDDEEEEFGGGGEEFFHHGGGGFFHHGGGGFF,AAAABBBBAAACBCBBDDDCCCBBDDDDCEBFDDDDEEEFGHHHHEFFGHHHHHFFGGHHHHFF,AAAABCCCADDBBCCCDDDBBBCCDDDDBEEFDDDEEEEFGDDHEEFFGGHHHHFFGGHHHHFF,AAAABCCCAAABBCCCAADBBBCCDDDDBEEFGGGDBEEFGGGHHEFFGGGHHHFFGGGHHHFF,AAAABCCCAAAABCCCAADBBBCEDDDDBEEEDDDDEEEEFDGGEEHHFFGGGEHHFFGGGEHH,AAAABCCCAAABBCCCAADBBBCCDDDDBEEFDDDDEEEFDDDDEEFFDDGGEEFFHGGGGEFF,.x............x.....x.....x..........x.........x...x....x.......,39,Beginner,True
puzzle_11527,8,ABBCCCDDABBCCCDDABBBBCDDAABBEEEEAFFEEEEEFFFGEEEHFFGGGGGHFFGGGGHH,AAAAAABBCACAABBBCCCCCDBBECCCDDDDEFFDDDDDFFFGGDDHFFGGGGHHFFGGGHHH,ABBBBBCCADDBBCCCADDDDCCCAADDEECEAFFGGEEEFFFGGEEHFFFGGGGHFFFGGGHH,ABBBBCCCADDBBCCCADDDDCCCAADDEECCAFDEEEEEFFFFGEEEFFFFGGHHFFFGGHHH,ABBBBCCCADDBBCCCADDDDECCAADDEEECAFFEEEEEFFFGGEEEFFFGGGGEFFGGGGGH,ABBBBCCCADDBCCCCADDDDCCCAADDEECEFFDEEEEEFFFGGEEHFFFGGGGHFFFFGGHH,...x..........x...x.....x............x...x..........x..........x,39,Beginner,True
puzzle_6275,8,ABCCCCDDABBCCDDDABBCCDDEAABBFFEEAABGFFEEAHGGFFFEHHGGGFFEHHHGGFFE,ABBBCCDDABBBBDDDAABBBDDEAABBFFEEAABFFFEEAGHFFFFEGGHHFFFEGGGGGFFF,ABBBBBCCADDBBCCCADDDDCCCAADDDEFCAADGEEFFAHGGEEEFHHGGGEEFHHHGGEEF,ABCCCCDDABBBCDDDABBBBDDEAAAAFFEEAAAGFFEEAHGGFFFEHHGGGFFEHHHGGGFE,ABCCCCDEABBCCCDEABBBCCEEAABBFFEEAABGFFEEAHGGFFFFHHGGGFFFHHHGGFFF,ABBCCCDDABBCCDDDABBBCCDDAABBCCDEAABBFFEEAGHHFFFEGGHHHFFEGGGHHFFE,....x.........x...x.....x..............x.....x.....x.....x......,40,Beginner,True
puzzle_7728,8,AAABBCCCAABBBCCCDABBCCCCDDEECCCCDDEEEEFFDGGEEHFFGGGGGHFFGGGGHHHF,AAABBCCCDABBBCCCDDBBECCCDDDEECECDDEEEEEFDGGEEHFFGGGGHHHFGGGGHHHH,AABBBCCCAABBDCCCEABBDCCCEEEDDDCCEEDDDDFFEGGDDFFFGGGGDHFFGGGGHHHF,ABBCCCDDACCCCDDDACCCEDDFAAAEEEDFAAEEEEFFAGEEEHFFGGGGHHHFGGGGHHHF,AAABBBCCAABBBCCCDDDEECCCDDDEEECCDDEEEEFFDGGEFFFFGGGGHHFFGGGGHHHF,AAABBCCCAABBBBCCDDBBBCCCDDDEEECCDDFEEEGGDFFFEGGGFFFFFFGGFFFFFHGG,.x.........x..........x.x...........x..........x..x..........x..,40,Beginner,True
puzzle_9112,8,ABBBBBCCAABBBCCCABBBCCCCDDDEEFFCDDDEEEFCDDGEEEEHGGGEEHHHGGGHHHHH,ABBBBBCCAABDBDCCAABDDDCCEEEDDDDCEEEFFDDCEEGFFFFFGGGGFFFFGGGGFFHF,ABBBCCDDAABBCCDDAABBCCDDAEECCCCDEEEEFCCCEEGFFFFCGGGGFFHHGGGGFHHH,AABBBBCCAAABBDCCAAABDDCCAEEDDDDCEEFGGDDCEEFGGGHCFFFFGHHHFFFFHHHH,AABBBBCCAABBBDCCAABBDDCCAEEDDDDCAEEFFDDCEEGFFFFHGGGGFFHHGGGGFHHH,ABBBBBBBAABBBCBBAABBCCCDAEECCCCDEEEFFCCDEEGFFFFHGGGGFFHHGGGGFHHH,...x....x..............x.....x...x..........x.....x...........x.,40,Beginner,True
