name,N,board_1,board_2,solution,score,tier,is_solved
puzzle_7086,9,AABBBBBBCAAABBBBCCDDAAAACCCDDEEAAFCCDEEEFFFCCDEEFFFFGCHHEFFFGGCHHHHHIIGCHHHHIIGGG,AAABBBCCCAAABBBCCCAAABBBCCCDDDEEEFFFDDDEEEFFFDDDEEEFFFGGGHHHIIIGGGHHHIIIGGGHHHIII,.x....x.....x....x.x...x......x...x.x....x.....x....x.x...x......x...x......x...x,46,Beginner,True,True
puzzle_168,9,ABCCCCCDDABACCCCDDABAAEECDDAAAAEEEDDAAFFEEEDDGAFFEEHHDGGGFEHHIIGGGIIIHIIGGGGIIIII,AAABBBCCCAAABBBCCCAAABBBCCCDDDEEEFFFDDDEEEFFFDDDEEEFFFGGGHHHIIIGGGHHHIIIGGGHHHIII,.x..x..........x.x.x.x..........x.x.x.x...........x.x.x..x...........x.x..x.x....,56,Beginner,True,True
puzzle_7302,9,AABBBBBBBAACCBBDEEAACCBBDEEAACCBDDEEAAFFFFFGEAFFFFFFGEHHHFFIIGGHHHIIIIIGHHHIIIIGG,AAABBBCCCAAABBBCCCAAABBBCCCDDDEEEFFFDDDEEEFFFDDDEEEFFFGGGHHHIIIGGGHHHIIIGGGHHHIII,x...x......x...x......x...x..x...x..x.......x...x.x....x.....x....x.x....x.....x.,58,Beginner,True,True
puzzle_5114,9,AAAABBCCCAADBBBBCCAADBBBCCEAADDFBCEEAAGGFCCHEGGGFFIHHEGGGGFIHHHGGGFFIHHHGGFFHHHHH,AAABBBCCCAAABBBCCCAAABBBCCCDDDEEEFFFDDDEEEFFFDDDEEEFFFGGGHHHIIIGGGHHHIIIGGGHHHIII,....x.x..x.x..........x...x..x...x..x.......x...x.x....x.....x....x.x....x.....x.,62,Beginner,True,True
puzzle_1511,9,AABCCCCCCAABBBDCEEAABBBDCEEAABBBDDDEFAAGGDDEEFFFGGGDDDFFHHGGGIDFHHHHHHIIFHHHHHHHI,AAABBBCCCAAABBBCCCAAABBBCCCDDDEEEFFFDDDEEEFFFDDDEEEFFFGGGHHHIIIGGGHHHIIIGGGHHHIII,....x.x..x.x...........x.x..x.x...........x.x.x.x..........x.x.x.x..........x...x,62,Beginner,True,True
puzzle_3737,9,AAAAAAABBAACDEAAABCCCDEEBBBCFCDGEBBBFFCCGEBBBFFCGGGGGBFFFGGGGGGFFHGHGGIIFHHHHIIII,AAABBBCCCAAABBBCCCAAABBBCCCDDDEEEFFFDDDEEEFFFDDDEEEFFFGGGHHHIIIGGGHHHIIIGGGHHHIII,.x....x.....x....x.x...x......x...x.x....x.....x....x.x...x......x.....x....x.x..,67,Beginner,True,True
puzzle_5933,9,AABBCCCCCAABBCDDDDABBBCEFFFAABBEEFFFAAEEEFFFFGEEEEEFFHGGGIEIIHHGGIIIIHHHGGGGIHHHH,AAABBBCCCAAABBBCCCAAABBBCCCDDDEEEFFFDDDEEEFFFDDDEEEFFFGGGHHHIIIGGGHHHIIIGGGHHHIII,..x.x..........x.xx...x......x...x..x.......x...x.x....x.....x....x.x....x.....x.,67,Beginner,True,True
puzzle_4614,9,AAABBBCDDAABBBBCDDAABEBFCCDAAEEEFFCDAEEGGGFCDAEGGGGGDDHEGGGGGGDHHHHIIIGIHHHHIIIII,AAABBBCCCAAABBBCCCAAABBBCCCDDDEEEFFFDDDEEEFFFDDDEEEFFFGGGHHHIIIGGGHHHIIIGGGHHHIII,....x.x..x.x...........x.x..x.x...........x.x.x.x..........x..xx.x..........x..x.,70,Beginner,True,True
puzzle_8873,9,AAAAAAABBAAAAACABBDCCCCCABBDDDDDCCBBEEEEDCFFBGEEEEEHFFGGGEHHHHHGGIIIIHHHGGGIIIIII,AAABBBCCCAAABBBCCCAAABBBCCCDDDEEEFFFDDDEEEFFFDDDEEEFFFGGGHHHIIIGGGHHHIIIGGGHHHIII,...x...x.x....x.....x....x.x...x......x...x......x...x.x....x.....x....x.x...x...,70,Beginner,True,True
puzzle_3824,9,AABBBBBCCAADBBBBCCDADDBBBCCDDDDDDCCEFGGDEEEEEFFGGEEEEEHFFGIIEEIHHHHHIIIIHHHHHIIII,AAABBBCCCAAABBBCCCAAABBBCCCDDDEEEFFFDDDEEEFFFDDDEEEFFFGGGHHHIIIGGGHHHIIIGGGHHHIII,x...x..........x.x.x.x..........x.x.x.x...........x.x..x.x...........x.x..x.x....,71,Beginner,True,True
