name,N,board_1,board_2,solution,score,tier,is_solved
puzzle_691,8,AAAABBBBAACCDBBBACCCDBBBACCCDDDDEFFFGGGGEEFEGHGGEEEEGHHGEEEEGHGG,AAAABCBBAAAABCBBADDABBBBAADABBBBEEEEFGGGHEEEFFGGHHEEFFFGHEEEFFFG,...x.........x...x..........x..........x..x...........x.x.......,18,Beginner,True
puzzle_30034,8,AAABCDDDAAABCDDDAAAACDDDAAAACCDDEEEEFFFFEEEEFGGFEEHEFGGGEHHHGGGG,AAAABBBCAADABBCCAADDBCCCDDDDBBCCEEFFGGGGEEEFGGHHEEEFGGHHEEEFGHHH,...x..........x.....x...x.........x............x.....x...x......,18,Beginner,True
puzzle_44423,8,AAAABBBBAAACBDDBAACCDDDBCCCCDDDDEEEEFFFFEEEGFHHFEEEGHHHHEEEEHHHH,AAAABBBCADAABBCCDDDABBCCDDDDBCCCEEFFGGGGEEFEGHHHEEFEGHHHEEEEGGHH,.x..........x.........x.x.........x............x...x.........x..,18,Beginner,True
puzzle_60645,8,AAABCCCCABBBCCCCAABBDDDDAABBDDDDEEEEFFFFGEEEFFFFGGGEHFFHGGGEHHHH,AAAABBBCAADABBBCAADABBBCAAAABBCCEEEEFFGGEEEEFFFGEEEEFFGGEEHHGGGG,.x...........x....x...........x.....x...x..............x...x....,18,Beginner,True
puzzle_96006,8,AABBCCCCAABBDDCCAABBDDDCAAABDDDCEFFFGGGGEEFFHGGGEFFFHGHHEEFFHHHH,AABACCCCAABADCCCABBADCCCAAAACCCCEEEEFFFFEEGEHFFFGGGEHHFFGGGGFFFF,......x.....x....x.........x....x.........x..........x.........x,18,Beginner,True
puzzle_171,8,AAAABBBBAAAABBBBAACABDBDACCCDDDDEEEEFGGGEHHHFGGGEEHHFGFGEEHHFFFF,AABBCCCCAABBCCCCAAABCCCCAABBCCDDEEFFGGGHEFFFGGHHEEFFGGGHEEEFHHHH,...x.........x....x...........x.....x....x.............xx.......,19,Beginner,True
puzzle_393,8,AAAABCCCAAAABCCCDAAABCCBDDDABBBBEEEEFFFGHHEEFFFGHHHEFFGGHHHEFFFG,AABBCCCDAAABCCCDAABBCCCCBBBBCCCCEEEEFFFFGGEEFFFFGGEEFHFHGGGGHHHH,..x............xx............x.....x.....x............x.....x...,19,Beginner,True
puzzle_1228,8,AAAABBCCAAAABBCCDDAABBCCDDDACCCCEFFFGHHGEEFFGGGGEEFFGGGGEEEFGGGG,AAAABBBBAAAABBBCDADDCCBCDDDDCCCCEFFFGGGHEFFFGHHHEEFEGGGGEEEEGGGG,...x..........x.....x....x...........x.........x..x.....x.......,19,Beginner,True
puzzle_1574,8,AAAABBBBAAAABCBBDDDABCCBDDDDCCCCEEEEFGFFEEEHFGFFEEEHFGGFEEEEFFFF,AAAABBCCADDDBCCCAADDBBCCAADDBBCCEEFEGGHHEEFEGGGHEEFEGHHHEEEEGGHH,....x....x............x.x.........x..........x.....x...........x,19,Beginner,True
puzzle_1685,8,ABBBCDDDABBBCCCDBBBBCCDDBBBBCDDDEEEFGGHHEEFFGGHGEEEFGGGGEFFFGGGG,AAAABBBBCAAABDDDCCCABBDDCCCCBBDDEEEEFFFFGEEEHFFFGEEEHHHHGGEEHHHH,...x....x............x.........x..x...........x.....x....x......,19,Beginner,True
puzzle_2,8,AAAABBBCDDDABBBCDDDACCCCDDAACCCCEEFFGGGHEEFEGGHHEEEEGHHHEEEEGHHH,AAAABBBBAAAABBCCAADDBCCCADDDBCCCEFEEGGGGEFEEGGGHEEEEGGGHEEEEGGGG,x............x....x...........x....x.....x.............x....x...,20,Beginner,True
puzzle_65,8,AAABCCCCAAABCCCCBAABCCDCBBBBCDDCEEFFGGGGEFFFGGGGEFFFGHGHEEEEHHHH,AABBCCCDABBBCCCDAAABCCCDAAABCCCDEEEEFFGFEEEHFFGFEHEHFFFFHHHHFFFF,...x...........x..x..........x..x.............x..x..........x...,20,Beginner,True
puzzle_172,8,AAAABBBBCCAABDDDCCCABDBBCCAABBBBEFFFGGGGEEEFGGGGEEEFHGGGEEEFHHHH,AAAABBBBACCABBBDAAAADBDDAAAADDDDEFFFGHHHEFFFGGGHEEFFGGGHEEEEGHHH,...x.....x...........x.........x..x.........x...x.............x.,20,Beginner,True
puzzle_1494,8,AAAABBBBAAAABBBBAAAABCBBDDDDBCCCEEEEFFFFEEEEFFFFGGGEHFFFGEEEHHHH,AAAABCCCADDABCCCDDDDBCCBDDDDBBBBEEFFGGHHEEEFGGGHEFFFGGHHEFFFGGHH,....x...x............x.....x.....x............x...x............x,23,Beginner,True
puzzle_8774,8,AAAABBBBCCCABBBDCCCCDBBDCCCCDDDDEEEEFFFFGGEEHHFFGGGEHHHHGGGGHHHH,AAAABCCCAAAABBBBAAADBBBBAADDBBBBEEEEFFFGEEEHFFGGHEEHFFGGHHHHGGGG,.....x.....x...........x..x.....x.............x.....x....x......,23,Beginner,True
puzzle_8794,8,AAAABBBBCCAADBBBAAAADBBDAAAADDDDEEEEFGGGEEEEFGGGHHHEFGGGHHHEFFGG,AAAABBBBCAAABDDDCCACBBDBCCCCBBBBEEEEFGGGHEEHFFFGHEEHFGGGHHHHFFFG,..x.....x.............x.....x..........x...x.....x...........x..,23,Beginner,True
puzzle_34,8,AAABCCDCAABBCCDCAAABCCDCAABBCCCCEEEEFGGFEEEHFFGFEHHHFFGFHHHHFFFF,AAAABCCCAADABBBCADDDBBBCADDDBBBCEEFFGGGGEEFFGHHHEEEFGGHGEEEFGGGG,......x..x..........x.....x..........x.........xx..........x....,24,Beginner,True
puzzle_93,8,AAAABBBCAAAABCBCDDADBCBCDDDDBCCCEEEEFFFFEEEEFFFFEEGEFFFFGGGEHHHF,AAAABBCCAAAABBBCADDABBBCAADABBCCEFFFGGGGEEFFGHHGEEEEHHHHEEEEHHHH,x...........x....x............x....x...........x..x..........x..,25,Beginner,True
puzzle_100,8,AAABCDDDABBBCDDDAAABCCDDABBBCCDDEEEEFFFGEEEEFFGGEHEEFFFFHHHEFFFF,AAAABBBBCAAABDDDCCACBBDDCCCCBDDDEEFFGGGGFEFFGGGGFFFFGGHHFFFFGGGG,...x.........x..x...........x..........x.x............x...x.....,25,Beginner,True
puzzle_5461,8,AAAABBCCDADABBBCDDDABBCCDDDACCCCEEEEFFFFEGGEFFFHEGGEFFFHGGGGFFFF,AAAABBBBACAABDBBCCCADDBBCCCCDDDDEEFFGGHHEEEFGGHGEEEFGGHGEFFFGGGG,.....x.....x.....x..........x.........x.x..............x..x.....,27,Beginner,True
puzzle_5762,8,ABBBCCCCABBBDCCCABBBDCDCAAABDDDDEEEEFFFFEGEEFHFFEGEEFHHHEEEEHHHH,AAAABBBCDAADBBBCDAADBCCCDDDDBCCCEEFFGGGGEFFFGGGGEFFFHHGHFFFFHHHH,...x...........x....x.....x.....x.............x..x...........x..,27,Beginner,True
puzzle_4057,8,AAAABBBCAAAABBBCAADABBCCAADABBBCEEEEFFFFGEEEFHFHGGEGHHHHGGGGHHHH,AABBCDDDAABBCCDDAAABCCCDAAAACCDDEEEEFFGGEEEEFFFGEEHHFFFGEHHHGGGG,.....x.....x..........x...x.....x...........x..........x.x......,28,Beginner,True
puzzle_4118,8,AAAABCCCAAAABBBCAADABBCCAADDBCCCEEEEFFFFGEEEFFFHGGGGFHHHGGGGHHHH,AAAABCCCAAAABCCCDDAABBCBDDDABBBBEEFFGGGGEEEEGHHGEEEEGHHGEEEEHHHH,......x.....x.....x.....x..........x.........x.........x.x......,28,Beginner,True
puzzle_111,8,AAAABBBBAAAABCCCADDDBCCCDDDDCCCCEEEFGGHHEFFFGGHHEEEFGGGHEFFFGHHH,AAAABBBBAAAABBBBAACCDBBBAAACDBBBEFFFGGGHEEEFGGGHEEFFHGHHEEEFHHHH,......x.x.........x.........x..........x.....x...x.........x....,29,Beginner,True
puzzle_43,8,AAAABCCCAAAABBCCDAADBCCCDDDDCCCCEEFFGGGHEEEFGGGHEEFFGHGHFFFFGHHH,AABBCCCCABBBCDDCAAABDDDDAABBDDDDEFFFGHHHEEEFGHHHEFFFGHHHEEEFGHHH,.......x.....x...x.........x....x...........x.....x...........x.,30,Beginner,True
puzzle_41,8,AAAABBBCAAAACBCCDDDACCCCDAAACCCCEEEFGHGGEEEFGHGGEEFFGGGGFFFFGGGG,AABBCCCCAABBCDDCAAABCDCCAAAACCCCEFFFGGHHEEFFGGHHEEEFHHHHEFFFHHHH,....x.........x....x....x............x...x.............x..x.....,31,Beginner,True
puzzle_4220,8,AAAABBBBACAABBBDCCCADDDDCCCCDDDDEFEEGGGHEFFEGGHHEFEEGHHHEEEEGHHH,ABAACCCCABAACCDDAAAACCDCAAAACCCCEEEEFFFFEEEEFFFFEGGGHHFFEGGGHHHF,.x............x.x..............x....x.....x..........x.....x....,31,Beginner,True
puzzle_3696,8,AAAABBCCAAAABBCCAAAABBBCDDAACCCCEEEFGGGGEEFFGGGHEFFFHHGHEEEFHHHH,AAAABBBBCAAABBBBCCAADBDDAAAADDDDEEFFGHHHEFFEGHHHEEEEGGGHEEEEGGGH,.....x..x..............x.x.........x..........x.....x.....x.....,32,Beginner,True
puzzle_68,8,AAAABCCCDAAABCCCDDAABCBBAAAABBBBEEEEFFFFEEEEFFFFGEEEHHFHGEEEHHHH,AAAABBBBCAAABDBDCAACBDDDCCCCDDDDEEEEFGGGEEEEFFGGHHEEFFFGHHHHFGGG,....x..........x.x.........x..........x...x..........x..x.......,33,Beginner,True
puzzle_8,8,AAAABBBBCAAADDBBCAAADDDBAAAADDDDEEFFGHHHEFFFGGGHEEFFGGGHEEEEGGHH,AABBCCCCBABBDCDCBABBDDDCBBBBDDDDEEEEFFFFEEEGFFFFGGGGHHFFGGGGHHHF,.x.............xx...........x.........x...x..........x.....x....,34,Beginner,True
puzzle_268,8,AABACCDDAABACDDDAAAACCDDAAAACCDDEEEEFFGGHHEEFGGGHHHHFGGGHHHHGGGG,AAAABCCCDAAABBCCDDDABBCCDDDABCCCEEEEFFFFEEEEFFGFEEHHGGGFEEHHGGGF,..x.....x............x.........x.x..........x.........x....x....,34,Beginner,True
puzzle_264,8,AAAABBBBAACABBBBACCCDBDBAAAADDDDEEFFGGGGFFFFGGHHFFFFGHHHFFFFGGHH,AAABCCCCAABBCCCCAAABDDDCAABBCCCCEEEEFFFFGEEEFHFHGGEGFHHHGGGGFHHH,x.........x..........x.........x.x..........x.........x....x....,35,Beginner,True
puzzle_687,8,AAAABBBBACCADDDBAACCDDDBCCCCDDBBEEFFGGGGEEFFHGGGEEFFHGGGEEEEGGGG,AAAABBCCAAADBCCCDDDDBCCCDDDDBCCCEEFFGGGGEEFFHGHHEEEFHHHHEEFFHHHH,.....x..x.............x....x...........x..x.........x....x......,36,Beginner,True
puzzle_2704,8,ABBBCCDDAABBCDDDAAABCCDDABBBCDDDEEEFGGGGEEFFGGGGEFFFGGHGEFFFHHHG,AABBCCCCAAABCCCCAAABCCDDAABBCCDDEFFFGGGGEEEFGGGGFFFFHHGGFFFFGGGG,..x.....x............x.........x...x.....x..........x.........x.,36,Beginner,True
puzzle_676,8,AAABCDDDABBBCDDDABBBCDDCABBBCCCCEEEEFFGGEHHEFFGGEHHHFGGGEHHHGGGG,AAABCCCCAABBDDDCAABBDDCCABBBDDDDEEEEFFGGEEHHFFGFEEEEFFFFEEEEFFFF,.x...........x.........x...x..........x...x.........x...x.......,37,Beginner,True
puzzle_338,8,AAAABBBBCAAADDBBCCCADDBBCCCADDBBEEEEFFFGEEEEFFGGHEEEFFGGHEEEFGGG,AABBCCCCABBBDDCDABBBDDDDABBBDDDDEEEEFFFFEGGEHFFFEGGGHHHHEGGGHHHH,.x............x...x..........x.........x....x...x..........x....,38,Beginner,True
puzzle_42,8,ABAACCCCABAACCDDAAAACCCCAAAACCCCEEFFGGGGEFFFGGGGEFFFHHGHEFFFHHHH,AAAABBBBAACABBDDAACADBDDAACADDDDEEEEFFFFGEEGFFFFGEEGHFFHGGGGHHHH,.x.............x.....x....x.....x..........x..........x.....x...,39,Beginner,True
puzzle_85,8,AAAABBBCDDAABBCCAAAABBBCAAAABCCCEFEEGGGGEFFEGHHGEEFEGHHGEEEEHHHH,AAAABBBBACACBDDDACCCBBDBCCCCBBBBEEFFGGHHEEFFGGHHEFFFGGHHEFFFHHHH,.......xx.............x...x.........x....x.........x.........x..,39,Beginner,True
puzzle_29,8,AAAABCCCADDABBBBADDABBBBDDDDBBBBEEEEFGGGEEEEFFFGHHEEFFGGHHEEFFGG,ABBACCCCABBACCCCAAAADCDDAAAADDDDEEEEFFFFEEGEFFFFEEGGFFFFGGGGFHHF,.....x...x.........x...........x....x.....x.....x.............x.,40,Beginner,True
puzzle_124,8,AAAABBBBCACABDBBCCCABDBBCCCCBDBBEEEEFGGGEEEEFFFGHHHEFFGGHHHEFGGG,AAAABBBBAAAACCCBAAADCCCBDDDDCCCBEEEEFFFFEEEGFHHFEGEGFHFFGGGGFFFF,....x...x..........x.........x....x...........x..x.............x,41,Beginner,True
puzzle_104,8,AABACCCCAABACCDCAABACDDCAAAACCCCEFFFGHHHEFFFGGHHEEFFGGHHEEEEGGGH,AAAABBBCADAABBCCDDDABBCCAAAACCCCEEFFGGGGEEFFGGHGEEEFGGHGFFFFGGHH,....x.........x...x.....x..........x.........x...x.............x,42,Beginner,True
puzzle_433,8,AAAABCCCDADABBBCDDDDBCCCDDDDBBBCEEEFGGGGEEEFGHGHEEEFGHGHEEEFHHHH,AAABCCCCAABBCCCDAAABCDDDAAABDDDDEEEFGHHHEEFFGGGHEFFFGGHHEFFFGHHH,x.........x.........x..........x.x............x....x.........x..,42,Beginner,True
puzzle_13,8,AABBCCCCABBBCCCCABBBCDDCBBBBCDDCEFFFGGGGEFFFGHGGEEFFHHHGEEEEHHHG,AAAABCCCAAAABBBCAAAABBCCDDAABBBCEEEFGGHHEEFFGHHHEFFFGHHHEFFFGGHH,.x.............x.....x..x.........x.........x.........x....x....,43,Beginner,True
puzzle_80,8,AAAABBBBACCCBBBBAACCDDDBCCCCDBBBEEEFGGGGEEFFGGGGEEEFGHGGEFFFHHHH,AAAABBBBCAACBBBBCCCCBBBBCCCCBBDDEEEEFFFFEEEEFGFFHHHHGGFFHHHHGGGG,.x.........x.........x.........x....x.....x.....x.............x.,44,Beginner,True
puzzle_99,8,AAABCCCCAABBCCDCAAABDDDCBBBBCCCCEEEEFFFFEEEEGGFFEEEHGGGGHHHHGGGG,AAAABBBBAACCDDDDAACADDDDAAAADDDDEEEEFFFFEGGGFFHHEGGGHFHHGGGGHHHH,....x.........x...x.....x..........x...........x.....x...x......,44,Beginner,True
puzzle_1,8,AAABCCCCAAABCCCCABBBDCDDBBBBDDDDEEEEFFGGEHHEFFFGEHEEFFFFEEEEFFFF,AAABCCCDAAABCCDDAAABCCCCBBBBCCCCEFFFGGGGEFFFHHHGFFFFHHGGFFFFHHHG,..x...........x....x.........x..x..............x.x..........x...,45,Beginner,True
puzzle_697,8,AABBCCCCABBBCCCDAABBCCDDABBBCCCDEEEFGGGHFFFFGGHHFFFFHHHHFFFFHHHH,ABBBCDDCAABBCDDCAABBCCCCABBBCCCCEEFFGGGGEEFFHHHGEEFFHHHGEFFFHHHH,.....x..x.............x....x.....x..........x..........x..x.....,46,Beginner,True
puzzle_108,8,AAAABBBBAACCBBDBACCCBBDBACCCBBDBEEFFGHHGEEFFGHGGEEEFGGGGEEFFGGGG,AAAABCCCAAADBBBBAADDBBBBDDDDBBBBEEEEFFFFEEEEFGFGEEHHFGGGEHHHFGGG,.......xx.............x..x.........x.........x....x.........x...,47,Beginner,True
puzzle_115,8,AAAABBCCDDAABBBCDDDABBCCDDAABBBCEFFFGGGHEEFFGHHHEFFFGHHHFFFFGGHH,ABBBCCCCABBBCDDCABBBCCDCBBBBCCDCEEEEFFFFEEEEGGFFEHEEGFFFHHHHGGGG,.....x..x.............x....x...........x.x..........x.....x.....,47,Beginner,True
puzzle_1231,8,AABACCCDAABACDDDABBACDDDAAAACCCDEEEFGGGHEEFFGGHHEEFFGGGHFFFFGHHH,AAAABBBCAAAABBBCAAAABBCCAADDBBCCEEFFGHHHEEFFGGHHEEEFGGGHEEEFGHHH,.....x.........x.x.........x....x.........x.........x.........x.,48,Beginner,True
puzzle_144,8,AABBCCCDBABBCCCDBBBBCCDDBBBBDDDDEEEEFFFFEEEEGGFFHEEEFFFFHHHEFFFF,AAAABBBBACCADDBBACCCDDDDACCCDDDDEEEFGGGGEEEFGGGGEEEFHHGGFFFFHHHG,.x............x...x............x...x.........x..x...........x...,49,Beginner,True
puzzle_228,8,AAAABBBBACCCBDDBAACCDDDBACCCDDDDEEEEFGFFEEHHFGFFEHHHFFFFHHHHFFFF,ABBBCCCCABBBCDDDABAACCCDAAAACCCCEEEEFFGGHHEEFFGGHHHHFGGGHHHHFFFF,....x.........x..x.........x....x............x.........x..x.....,50,Beginner,True
puzzle_378,8,AAAABBBBAAAACBCBAAAACCCCDDDDCCCCEEFFGGGGEEFFHHHGEEEFHHHHFFFFHHHH,AAAABBBCAADDBBCCADDDBBBCDDDDBBCCEEEEFFFFGGGGFHHHGGGGFFFHGGGGFFFF,....x.........x.x..........x.....x.............x.....x....x.....,50,Beginner,True
puzzle_223,8,AABBCCCDAABBCCDDAAABCCCDAABBDDDDEEFFGHHHEEEFGHHHEEFFGHGGEFFFGGGG,AAAABBCCAAAABBBCAADABBCCAADDBBCCEEEEFFFFEEGGFFFHEGGGFFFHGGGGFFFH,...x.........x....x...........x.x..............x....x....x......,51,Beginner,True
puzzle_9,8,AAABCCDDAABBCCCDAAABCCDDAAABDDDDEEEFGGHHFFFFGGHHFFFFGGGHFFFFGGGG,AAAABBBBCCAABBDBCCCABBDBCCCABBDDEEEEFFFFEGGGFHHFEEEGHHHHEEEEHHHH,....x.....x.....x.............x..x.............x...x.........x..,52,Beginner,True
puzzle_327,8,AAABCCCCABBBCCCDABBBCCDDABBBCCCDEEEEFFFFEEEEFFFFGGEEFFFFGGGGHHFF,AABBCCCCAAABDCCCAABBDCDCABBBDDDDEEEEFGGGEEHHFFFGHHHHFFGGHHHHFFGG,.....x.....x..........x.x.........x............x.x..........x...,53,Beginner,True
puzzle_2036,8,AAAABBCCAAAABBCCDADDBBCCDDDDBCCCEEEEFFFFEEEEFFFFGEEEFHFFGEEEFHFF,AAAABBBBACCCBBDDAACCDBDDCCCCDDDDEEEEFFFGEHEEFFGGEHHHFGGGEHHHFFFG,..x.........x..........x...x..........x..x...........x..x.......,53,Beginner,True
puzzle_14,8,ABBBCCCCABBBCCCDBBBBCDCDBBBBDDDDEEEFGHHHFFFFGGGHFFFFGGHHFFFFGGHH,AAAABCCCAADABBCCDDDABBBCDDDABBBCEEEEFFFFEGEEFHFHEGGGFHHHEEEEFHHH,.....x..x.........x.........x....x............x....x...........x,54,Beginner,True
puzzle_33,8,AAAABBBBAAAABBCBADDABCCBADDABBCBEEEEFGGGHHHEFGGGHHHEFFFGHHHHFFFG,AABBCCCCAAAACCCCAAAACCCDAAAADDDDEEFFGHHGEEFFGGHGEFFFGGHGEEFFGGGG,..x...........x..x.............x.....x.....x....x...........x...,55,Beginner,True
puzzle_157,8,AAAABBBBAACABDBDAACABDDDAAAABDDDEFFFGGHHEEEFGGGHEEFFGGHHEEEFGHHH,AAABCCDDAAABCCDDAAABCDDDAABBCCDDEEEFGGHHEEEFGHHGEEFFGGGGFFFFGGGG,....x.....x...........x....x.....x...........x.........xx.......,55,Beginner,True
puzzle_422,8,AAAABBBBAAAABBCCDADDBCCCDDDDBBCCEEEEFFFFGEEEFFFFGGEEFFHFGGGGFFHF,AABBCDDCABBBCDCCABBBCDCCAAABCCCCEEEFGGGGEEFFGHHHEFFFGGGHEFFFGGGG,....x.....x..........x...x.........x...........xx.............x.,56,Beginner,True
puzzle_72,8,ABBBCCCCABBBCCDCAAABCCDDAABBDDDDEEEEFFFGHEEEFFFGHHEEFFFGEEEEGGGG,ABBBCCCCABBBCCCCAAAACCDDAAAACDDDEEEEFFFGEEEEFGGGEEEEFGGGHHEEFFFG,...x.........x....x...........x.....x...x..............x.x......,57,Beginner,True
puzzle_48,8,AAAABBBBCCAADDBBCCAABDDBCCAABBBBEEEEFFFFGEEEFFFFGEEEFHHFGGGGFFHH,AABBCCCDAABBCDDDABBBCCCCABBBCCCCEFFFGGGGEEEFGGGGEEFFGGGGEEEFHHHH,.......x.x...........x....x.........x...x..........x..........x.,58,Beginner,True
puzzle_626,8,AAAABBBBACCCDDBBACCCDDDBAACCDDDBEFFFGGHHEEEFGGGHEEFFGGGHEEEFGHHH,ABBBCCCDAABBCCCDABBBCCCCAAAACCCCEEEEFFFGEHHHFFGGEEHHFFGGEEHHFFFG,.x.............x....x.....x.....x.............x....x.........x..,58,Beginner,True
puzzle_189,8,AAAABBBBAACABBDBCCCABDDBAAAADDDDEEEEFFGGHEEEFFFGHHEEFFGGHHEEFFFG,AAAABBBBAACCBBBBCAACBBDDCCCCBBBBEEFFGGGGEEFFGGGGEEEFHGHHEEFFHHHH,x.........x............x....x.........x....x.....x...........x..,59,Beginner,True
puzzle_38,8,AAAABBBCAAAABBBCDAADBBBCDDDDBCCCEEFEGGHHEFFEGHHHEEEEHHHHEEEEHHHH,AABBCCDDAABACDDDAAAACCDDAAAACDDDEEEEFFGGEEEEFGGGEHHHFFGGEEEEFFFG,.....x....x.....x.............x.....x....x.........x...........x,60,Beginner,True
puzzle_103,8,AABBCCCCAAABCDCCAAAADDCCAAAADDDDEEEEFFFFEEGGFFHFEGGGHHHFGGGGHHHF,AAAABCCCAAAABBBBADDDBBBBDDDDBBBBEFFFGGGGEEEFGGGGEEEFGGGGEFFFGHHH,.......x...x.........x..x.........x.........x....x............x.,61,Beginner,True
puzzle_196,8,AAABCDDCAABBCCDCAABBCCDCABBBCCCCEEEEFGGGEEHEFGFGHHHHFFFGHHHHFFGG,AAAABBBBAAACDDBBACCCBBBBCCCCBBBBEFFFGGGGEFFFGHHGEFFFGGHHEFFFGGGG,.x..........x.........x....x....x.........x............x.....x..,61,Beginner,True
puzzle_241,8,AAAABBBBCAAABDBBCACCDDDBCCCCDDDDEEEFGGGHEEFFGGHHEEFFGGGHEEEFGGHH,AAAABBBBAAACDDDBACCCDDBBAAAADDDDEEEEFGGGEHEEFGGGEHEEFGGGEEEEFFFG,x..............x..x..........x.....x..........x..x..........x...,62,Beginner,True
puzzle_113,8,AAAABBBBAAACBDDDCAACBDDDCCCCDDDDEFFFGGGGEEFFGGHGEEEFGHHGEFFFHHHH,AAAABBBBACCABDBBCCCCBDBBCCCCBBBBEEEEFFFFGGEEFHHHGGEEFHFFGGGEFFFF,.......xx............x....x.........x.........x..x.........x....,63,Beginner,True
