name,N,board_1,board_2,board_3,board_4,solution,score,tier,is_solved
puzzle_29_rot180_flip_diag_flip_antidiag,8,AABBBCCCAAABBBCCAAABBBCCDDEEBBFGDDEEFFFFDDEEEFFFHHEEEFFFHHEEFFFF,AAAABCCCAAAAACCCAAAADDDCAEEADDDDEEEEEDDDEEEEEFFDGGHHHFFFGGHHHFFF,AAABBBCCAAABBBCCDAAEEEEEDDDEEEEEDDDDFEEFGDDDFFFFGGGFFFFFGGGHFFFF,AAAABBCCAAABBBCCAAABBBDDAAAABBDDEAFFBBDDGGFFFHHHGGFFFHHHGGGFFFHH,....x.........x...x............xx............x...x.........x....,15,Beginner,True
puzzle_43_rot90_rot180_rot270,8,AAABCCCCAAABBCCDEEBBBBDDEEFEEBDDEEEEDDDDEEEEGGDDEGGGGGHHEGGGGHHH,AAABBBBCAABBBBBCDDBBCCCCDDDDCCCCDDECCFCCDDEEEECCDGGEEHHHGGGGEHHH,AAAAAABBCCAAAABBCCAADEBBCCAAAEEECCCFAEEGHCCFEEGGHHFFFFGGHHFFFFFG,ABBBBBCCAABBBBCCAADDBEECADDFBEEEDDDFFFEEGGDHFFEEGGFFFFEEGGFFFFFF,......x.x...........x.....x..........x.....x...........x.x......,15,Beginner,True
puzzle_2729_rot90_flip_h_flip_antidiag,8,AAAABBBBAAAAABBBAAAACCCCDEEECCCFDEEEECFFDDEEECFFDGGEHHFFDDHHHHHF,AAAAABCCDAAABBCCDDBBBBCCDDEEBBFCDEEEEFFFDGEEEFFFHGHEEFFFHHHHHFFF,AABBBBBCADDEBBCCAAEEEFCCAEEEEFCCAEEEFFFCGGGGFFFFGGGGGHHHGGGGHHHH,AABCCCCCAABBCCCDAABBBBDDAEBBFFDDEEEFFFFDEEEFFFGDEEEFFHGHEEEHHHHH,.....x....x............xx..........x..........x..x..........x...,17,Beginner,True
puzzle_7205_rot90_flip_v_flip_diag,8,AABBBCCCAAACCCCCAAACCCCCDDEEECCCDDFFEEGGDFFFFHGGDFFFFHGGDDDFFFGG,AAABBBCCAAAAACCCAAAAACCCAAADDDEEFFDDGGEEFFHGGGGEFFHGGGGEFFGGGEEE,AAAABBBBAAAABBBBAAAACDDEFAACCEEEFAACEEEEFGGCEEEHGGGHHEEHGGGHHHHH,AAABBBBBAAABBCCBDAAECCCBDFFECCCCDFFEECCCFFFFEGGCFFFFHHHHFFFFHHHH,....x....x............x....x....x............x....x............x,18,Beginner,True
puzzle_1235_rot180_flip_diag_flip_antidiag,8,ABBBBBBCABBBBBBCADDBBDCCADDDDDCCAEEFFFFFAAGGFFHHGGGGHHHHGGGGGHHH,AAAAAABBCCDDEABBCCDDEBBBCCCDFBBBCCCDFFGBCCDDFFGGCCHHFGGGHHHHFGGG,AAABCCCCAAABCCDDAABBEEDDFABBEDDDFFFBEDDDFFFGEEDDFFHGEEDDFFHHHHHH,AAABBBBBAAAABBBBAACCBBDDCCCCCEEDFFGGGGGDFFGHHGGDFHHHHHHDFHHHHHHD,x...........x.....x...........x..x...........x.....x...........x,22,Beginner,True
puzzle_943_rot90_rot180_rot270,8,AABBBBBBAAABBBBBAAACBBBDACCCCEEDAAFCCEEDAAFGGDDDAFFFFDDDHHFFFDDD,AAABBBCCAAABBBBDAAAEEBDDAFFGGBDDAFFGGGGDAHHHGDDDHHHHHDDDHHHHHHDD,ABBBBBBBACBBDBBBCCCCDBBECCFDDDEECCFDDEEEGGGHHEEEGGGHHEEEGGGGGGEE,AABBBBBBAAACCBBBAAACCBBBAAADDEFFAADDDEFFAGGDFFFFGGGDGGFHGGGGGGGH,......x.x..........x.........x....x.........x..........x.x......,22,Beginner,True
puzzle_1062_rot90_flip_h_flip_antidiag,8,AAABBBBCAAAABBBCAAAADBCCEEDDDDFFEDDDDFFFEDDFFFFFEGGGFFFFGGGGHHHF,ABBBBCCCAADDBCCCAADDDCCCAAEDDCCFGEEDDDFFGEEEDFFFGEEEEHFFEEEEEHHH,AAAABBBCDAAACCCCDEECCCCCDEEEECCCDDEEEECCFFFFEGHHFFFFGGGHFFFGGGGH,AAABBBBCAAABDDCCAAADDDCCEAADDFCCEEDDDFFGEEEDFFFGEEHFFFFGHHHFFFFF,....x....x............x....x....x..............x..x..........x..,23,Beginner,True
puzzle_23232_rot90_flip_v_flip_diag,8,AAAAABBBCAAAABBBCCDDDBBBECCCDDDFEECCDGGFEEEEEGGFEEEEEGGGEEHHEEGG,AAABBBCCAAADCCCCAAADCCCEFFDDDEEEFFDGGEEHFFDGGEEHFFGGEEEEFGGEEEEE,AABBBCCCAAAADCCCEAAADCCCEEEDDDFFGEEHHDFFGEEHHDFFEEEEHHFFEEEEEHHF,AABBAACCAAAAACCCAAAAACCDAAEEFCCDAEEEFFFDEEFFFGGGEHHHHGGGHHHHHGGG,...x..........x..x..........x..........xx............x....x.....,23,Beginner,True
puzzle_51662_rot90_flip_h_flip_v,8,ABBCCDDDAABCCDDDABBCCDDDBBBBCDEEFBBBCEEEFFFBGGEEFFFGGGGGFFFHHGGG,AAABBBCCAAABBBCCAAAABCCCDDDDDCCEDDDFFFCEFFFFFGGGFHFFFGGGHHHFGGGG,AAABBCCDAAABBCDDAAABBCCDEEABCCCCEEEBCCCFEEGGCFFFGGGGGFFFGGGHHFFF,AAABBCCCAAACCCCCAAADCCEEADDDFEEEDDDDFGEEHDDFFGGGHHDFFGGGHDDFFGGG,....x.........x.x..............x..x..........x...x.........x....,24,Beginner,True
puzzle_23769_rot90_rot180_flip_antidiag,8,AAAAABBBAAAAAAABCCDDAAAACCCCCEEECCCCCEFFCCGHHFFFGGGHHHFFGGGGHHFF,AABBCCCCAABBBCCCAAABBCDDAAEDDDDDEEEDDDDDFFFFGGDDHFFFFFFFHHHFFFFF,AAAABCDDAAAABCCDEEABBCCDEEEFFCCCGEEFFHCCGGGFFHCCGGFFFFCCGGFFFFCC,AABCDDDDABBCDDDDABBCCDEEBBBFFEEEBBGFFEEHBBGFFHHHBBFFFFHHBBFFFFHH,.x.............x...x..........x...x..........x..x...........x...,25,Beginner,True
