name,N,board_1,solution,score,tier,is_solved
puzzle_5_ddiag,8,AAABBBBBAAABCBBBAAAABBBBDDAABBEBDFDDGGBBDDDDGGGGDDDHDGGGDDDDDGGG,.......x....x.....x...........x..x...........x.....x....x.......,15,Beginner,True
puzzle_29_diag,8,AABBBCCCAADBBCCCEADDCCCCAADDCCFFDDDDDDFFDDDDDDDFDDDDGGGGDDDDGHGG,.x.........x....x...........x.........x...x............x.....x..,20,Beginner,True
puzzle_135_180,8,AAAAABCCAAAABBCCAAAABBDCEAAABBBBEEEEFFFBGHEEFFFFGGEEFFFFGGEFFFFF,.......x....x.........x...x..........x...x.........x....x.......,22,Beginner,True
puzzle_14_diag,8,AABBCCCCAAACCCCCAAADDCCCAEEEEFCCEEEEEFCGEEEEEHHGEEEEEHHHEEEEHHHH,..x...........x....x....x............x.........x.x..........x...,35,Beginner,True
puzzle_525_180,8,AABBBCDDAABBBCDDAAABBDDDEAAABDDFEGGABBBFGGGAABBBGGHAAABBGGHAAABB,.....x.....x..........x.x..............x.x..........x.....x.....,40,Beginner,True
puzzle_613_diag,8,ABCCBBBBABBBBBBBBBDDEEBBBBBEEEBBBBEEEFBGBBEEBFBGBBBBBBBBBBBBBBHH,...x....x.........x.........x..........x.....x...x............x.,49,Beginner,True
puzzle_689_180,8,AAAAAAAAAAAAAAABCAAADDDBCCEEFDBBCCGEFFBBCGGGHHHBCHHHHHHHHHHHHHHH,.x.............x....x.....x..........x.....x....x.............x.,58,Beginner,True
puzzle_233_diag,8,AAAABBBBAACCBBBBDABBBBBBDBBEEBBBDBBEEBFGBBBBBBFGBBBBBGGGBBBHHHGG,.x.........x....x...........x.........x...x............x.....x..,63,Beginner,True
puzzle_5792_180,8,ABBBBBCCACCCCCCCAADECCCCAADEEFCCAADGGFCCAAAAGFCCAAAAAAACAAHHHHHC,.x.............x...x.........x....x.........x...x.............x.,76,Beginner,True
puzzle_351_diag,8,ABCCCCDDABBBBBDDAEBBBBBFEEBBBBBFEEBBBBBFEBBBBBBFBBBGGGBBBBGGGHHH,..x...........x.x...........x....x.............x...x.........x..,78,Beginner,True
puzzle_234_180,8,AAAAABBCAAABBBBCAAABBBCCDEEBBBCCFFEEEBBGFFEEEHHHFEEEEHHHFEEHHHHH,..x.........x.........x.x..............x.x.........x.........x..,44,Medium,True
