name,N,board_1,solution,score,tier,is_solved
puzzle_668,13,aaaaaabbcddddaaaaaabcccdddaeeafabccccddeeeffabbcccdceeegffbfffcccheeggffffcccchheggffffciijhhegiiiiiiiijhhhgkkiiijjjjhhhgkkkliijjmhhkkkllliiijmkkkklllllimmmkkkkkllllimmm,......x..x.x.x.x.x..............x.x..x.x.x.x..............x.x.x..x.x.x...............x.x..x.x.x.x..............x.x.x..x.x.x..............x..x.x.x.x.x...............x.x.x,293,medium,true
puzzle_138,13,AAAABBBCCCDDDAAAABBBCCDDDDAAABBBEECCDDDFAABBBEEECDDDFAAFFBBBEEDDDFFFFFFBEEDDGGFFHHIIEEEEJJGKHHHIIIEJEJGGKHLHLIIIJJJGGKLLLLIKJJMGGGKLLLLLKJMMMMMKKKLLKKJMMMMMKKKKKKKJJMMMM,....x..x.x...x.x........x.....x.x..x...x.x........x.....x.x.x.....x........x.x...x.x..x.....x........x.x...x.x.x......x.......x.x....x.x.x.....x.........x.x..x...x.x....,329,Medium,True
puzzle_621,13,AAAAAABCDDDEEAAABABBCCCDDEAFBBBBBCCDDDEAFFFFBCCCDDEEAFGFFHCCDDDEEAGGGGHHCCCDIEAGGHHHJJJDDIEAGGHHHHHJJJIIGGGHHHHHKJJIKGGGGHHHKKIIIKGGGLLLKKKKKIKMMMMLLLLKKKKKMMMMMMLLLKKKK,.x..x.x..............x.x.x.x.x.x..............x.x.x..x.x.x...............x.x.xx.x...x..............x.x.x..x.x.x......x........x.x....x.x.x.....x........x.x...x.x..x.....,355,Medium,True
puzzle_246,13,ABBBBBBBBCCCCAABBBBCCCCDCCABBBDBBCDDDCCAABADDDDDDDEEAAAAFFFFDGDGEHHAAFFFFGGGGEHHHHFFFFIGGGEHHHHIIIIIJJGEHHKHIIIIJJJGELHKKIIIIJMEEELKKKLLIJJMMEELKLLLLLJJMMMJLLLLLLJJJJJJJ,...x.x....x...x......x...x....x.x...x..x.......x...x..x.x.x..............x.x.xx.x...x..........x....x.x.x.x....x..........x...x.x..x.x...x..........x...x.x..x.x...x.....,363,Medium,True
puzzle_949,13,AAAABBBCCDDDEAAAAABCCCDDDEAAAAABCCCCDDEFFAAABBCCCEEEFFFAFBBBBEEEEFFFFFGGEEEEEEHHHHFGIIIIIEEHHHGGGJIIIEEEHHHGJJJIIKKKKHHJJJJJIIKKKKHHJJJLLLIKLKLMMJMMLLLLLLKLMMMMMMMMLLLLL,.......x.x.x..x.x.x..............x.x.x..x.x.x...............x.x.x..x.x.x......x........x..x...x.x.x......x........x.x....x.x.x....x.x........x.....x.x.x....x.x.......x..,436,Medium,True
puzzle_488,13,AABBBBBBBCCCCAAABBBBBCCDCCAAABBBBBECDDCAFAABGGGEDDDCFFAAAGGGEEEDCFFHIIGGGEEJDDFHHIIIGEEEJDDFHHIIIGEEJJDDFHHKIIEEEJJLLFHHKMMMMMJLLLFFFKKKKMJJLLLFFFKKKKMMJLLLFFFKKKKMMJJJL,x.x.......x......x.x.x.....x........x.x...x.x.x.....x........x.x...x.x.x..............x.x.x.x.x.x..............x.x.x..x.x.x..............x.x.x.x.x.x..............x.x...x,502,Medium,True
puzzle_44,13,AAAAAAAAAABBBCCCCCCCABBBDBEECAAAAAABDDDEEEEEAAFFBDDDEEEGAAFFDDDHDEEGGGGGFDDHHDIEJGJGGFFHHHHIJJJJGGFFHKKHIJJJLLGGFFKKHIJJJLLLGFKKKHIJMMMLLLFFFKHIMMMMMMLFKKKKMMMMMMMLLLKKK,........x.x.x.x.x.x..............x.x.x..x.x.x..............x.x..x.x.x.x..............x.x.x.x.x.x..............x...x.xx.x.x..............x.x..x.x.x.x..............x.x.x..,462,Hard,True
puzzle_298,13,AABBCCCDDDDEFAABBCCCCDDDEFAABBCCCDDDEEFAABCCCGGDEEEFABBBHCGGDDEEFAABHHGGDDFFFFIIBHHGGGDDFFFIJJHHGHGGGFFFIIJJHHHKGGLLFIIIJJJJKGMMLFIKKJJKKKGMLLFIIKJKKMMMMMLLIIKKKKKKKKKLL,.x.......x.x....x.x.x......x........x.x....x.x.x....x.x.......x......x.x.x......x.......x.x....x.x.x....x.x........x......x.x.x...x..x.......x......x.x.x....x.x........x,491,Hard,True
puzzle_403,13,AAAAAAABCCCCCAAAAAAABCCCCDEEEEAABBCCFCDEEEEEBBBCFFFDEGEEEHHHCFFFDEGEEEHHHHFFFDEGGGGHIHHFFDDEGGGGGIJJFFDDKKLGGIIIJFFDDKLLGIIIIJJDDJKKLLIIIIJJJJJKLLLILMMMMJJJKLLLLLLMMMMMJ,.......x.x.x..x.x.x..............x.x..x.x.x.x..............x.x.x..x.x.x...............x.x.x..x.x.x......x.......x..x...x.x.x......x.........x.x..x...x.x....x...x.....x..,557,Hard,True
puzzle_738,13,AAAAAABBBBBBBCCCCDAAAEBBBFCCDDDAAEEBBGFCCDDHHAAEEGGFCCDHHIAAEGGGFCCCHIIAIEEGGFCHHHHIIIEEFFFHHHIIIJIIEFFFKKHLLLJJJEFFFKKLLLLLJJFFFFKLLLLKJJJFFFFKKLLLKJJMMFMMKKKKKKJMMMMMM,..x...x.....xx...x.....x....x...x.x....x...x......x...x....x.x...x....x.....x....x...x.x....x...x.....x....x...x.x....x...x......x...x....x.x...x....x.....x....x...x.x..,581,Hard,True
