name,N,board_1,board_2,solution,score,tier,is_solved
puzzle_845,13,AAAABCCCCCCDDAAAABBBBCCDDDAABBBBBBCCDDDAAEEBBBFFFFFDAGEEBHBHFFFFDAGGEHHHHFFIDDAGGEHHHHFFIIIGGGEHHHHFIIIIGGGGGJJJFFFIIGGKLLLJJJFMMMKGKLLJJJJMMMMKKKKLLKJJMMMMKKKKKKKJJMMMM,AAABBBBBCCCCCAAABBBBBCCCCCAAABBBBBDCCECAFFFFDDDDCCEEAFFFDDDDDDCEEFFGGGDDDDCCEHFIGGGJJJDEEEHFIGGGGJJJEEEHIIIGGGJJHHEHHIIIIGKKJJHHHHLLLIIKJJKMMHMLLLLLKKKKMMMMLLLLKKKKKKMMM,......x..x.x.x.x.x..............x.x..x.x.x.x................x.x.x.x.x.x..............x..x.x.x.x.x..............x.x.x..x.x.x..............x.x..xx.x.x..............x.x.x..,147,Beginner,True
puzzle_543,13,AABBBBBCCCDDDAAACBBCCCCDDDAAACCCCCCCDDDEAACCCFCCCDDDEEEEFFFFFCGDDEEEEHFFIIGGGDEEEEHFFFIGGGGHHHHHFFIIJKKKHHHHHFFIIJJKKHHHLLLIIIJKKKHLLLLLIIJJJKKLLLLMMMIJMKKKLLLLLMMMMMMKK,AABBBCCCCDDDDAAABCCCCDDDDDAABBBCCCEEEDDAABBBBCEEEEFFAAABGBCEEFFFFHHHHGGEEEFFFFIHHHGGEGEEFFFIIHHHGGGGEEFJIIIHKKLLLLLJJIIIIKLLLJJJJJIIIKKKLLJJJMMIIKKKKKLLMMMMIKKKKKLLLMMMM,x.x...x..........x...x.x..x.x.........x....x.x.x.....x........x.x...x.x.x......x.......x.x....x.x.x.....x........x.x...x.x.x..............x.x.x.x.x.x..............x.x.x.,160,Beginner,True
puzzle_1981,13,AAABBCCCCCDDDAAAABCCCDDDDDAABABBCCDDDEDABBBBBCCDEEEDAABFFFCEEEEDDAFFFFFGEHEHHHFFFIIIGGHHHHHFJJJIIIGGGHHHJJJJIIIIGGKKHJJLLIIIMMKKKKJLLLIIMMMKKKKJJLLIIIMMKKKKJJJLIIMMMMMMK,AAAABBBCCCCCDAAAAABBCCCCDDAEAAEBBBCCDDDEEEEEBBBCCDDDFFFEGBBBHHDDDFFFGGBBBHHDDDFFFGGGBIHHHHJFFGGGGGIIJHHJFKKKKKIIJJJJJFFKKKKIIIIIJJFFLLKKLMMIIJJFLLLLLLMMMIJJLLLLLLMMMMMMM,......x.x.x..x.x.x..............x.x..x.x.x.x................x.x.x..x.x.x......x........x.x....x.x.x......x.......x..x...x.x.x......x.......x.x....x.x.x......x........x.x,161,Beginner,True
puzzle_1688,13,AAAAAABBCCCCCAAAAAABBBCCCCDAAAAAEEBBBBCDDFFFFEEBBBBCDDDDFFEEGGGGGDDDDFFEEHHHGGIFFFFFEEEHHHHIIIJFFKKKHHHHIIIJJJJKKHHHHIIJJJJJKKHHHHLLLLLJJKKKMMHLLLLLLKKKKMMMLLLLLLKMMMMMM,AAABBBBCDDDEEAAAABBBCCDEEEAAAABCBCDDEEEAAAABCCCDDDDDFGGGGGCDDHDHHFFGGGCCDHHDHHFFFGICCCHHHHHFFGGIICIHHHHHFJJGIIIIKKKHLFJJJKKKKKLLLLFFJJJKKKKLLLLFFJJJMMMMMMLLFFJJMMMMMMMLL,...x......x.x.x....x.x........x.....x.xx.x...x..........x...x.x..x.x.........x....x.x.x....x.x........x......x.x.x....x.x.......x......x.x.x....x.x.......x......x.x.x...,164,Beginner,True
puzzle_1307,13,AAAAAABBBBBBBAAAAACCCDDBBBAEEEEECCDDBBBEECEECCCDDDDDFCCCCCCGGDDDDFFFHHICGGDDDDFFFHHIIIGGGJDFFFHHIIIGJJJJFFFHHHIIGJJJKFFFHHHHLGGJKKMFMMHHLLGLJKKMMMMMLLLGLKKKMMMMMMLLLLLLK,AAAAABBCCCCCCAADBABBCCCCCCDADBBBBCCCECCDDDDBBBCCFEECGDDGHHBBBFFECGDDGHHBHBFFEEGDGGGHHHHFEEEGGGIGHJJFFKKKGGGIJJJJJFKKKIIIIIJJJJFKKKLLLLIIIJJFMKKLLLLLLIIMMMKKLLLLLLIMMMMKK,..x.....x..x.x...x.x........x.....x.x..x...x.x........x......x.x.x....x.x........x.....x.x..x...x.x........x.....x..x.x...x.x........x......x.x.x....x.x........x.....x.x,170,Beginner,True
puzzle_1595,13,AAAAAAABBBBBBAACAAAAABBBBDAACCCCDDDBBBDAECCFDDDDDDDDEEEFFFFFDGGHHEEEIIFFGGGGGHEEEIIFFFFGGHHJEEEIIFFFHHHHJJEEIIKKKHHHHJJJLLIKKKKMMMJJJLLLKKKKMMMJJJLLLKKMMMMMJJJLLLLKMMMMM,AAAABBBBBCCCCAAAABBDBCCCCCAAAAAADBBCCCCEEEEFDDBGGCGCEEEFFFDGGGGGCEEEFFFDGGGGGGHEEFIIDIGJJJKHFFFFIIIGGJKKHFFFIIIJJJJKKHHHHIIIJJJKKKHHHHHLLLKKKKKHHHHMMLLLKKLLHMMMMMMLLLLLL,....x...x..x.x.x...x..........x...x.x....x...x.....xx...x.....x........x.x...x.x.x......x.......x.x....xx.x......x........x.x...x..x.x.....x........x.x...x..x.x.....x...,178,Beginner,True
puzzle_2150,13,AAAAAABBBBBBBAAAAACBBBBBBBDDDCCCCEEEEEEDDCCCCCEEEEEFDDCCGGCFFFFFFDDCGGGGFFFFFFDDDGGGHIIFFJFKKDHHHHIIIJJJKDDHHHHIIIJJJKHHHHLLLIJJJJKHHHMMMLLLLLLKKMMMMMLLMLLLKKMMMMMMMMMLL,AABBBBBCCCDDDAAABBBBCCCDDDAABBBEBBBCDDDAAFFGEEBBDDDDAFFGGGEEHHDDIAFFFGGEHHHDIIAFFFGGEEHDDIIAAJJJGHHHHHHIKAJJJGGLLLHIIKKJKJGGLLLIIIKKKKJJGLLLIIIKKKLLLLLMMMIIKKLLLLMMMMMMM,.....x.x.x....x.x.......x......x.x.x...x.x........x.....x.x.x.....x........x.x...x.x.x.....x........x.x...x.x.x..............x.x.xx.x.x..............x.x.x...x.x........x,179,Beginner,True
puzzle_857,13,AAAAAABBBBBCCDDDAAAAABCCCCDDEEAAAABCCCBDEEEEAEEBBCCBDEEEEEEEBBCCBDDFFFGGGGBBBBDFFFHHHGGGHHHIFIFFHHHHHHHHIIIIHHJJKKKLLIIIIJJJJKKKLLIIIIMJMJJJKLLMIMMMMMJJJKKLMMMMMMMJJKKKL,AABBBBBCCCDDDABBBBBBCCDDDDAAAACCCCCDDDDAAAACEEEDDFFGHAAEEEEEDDDFGHHAEEFFEEDFFGHHAIIIFFFFFFGHHIIIIJJJFFFGHHIKIIILJJJJGKHKKIMMLLLGGGKKKKIIMMMLLGGKKKKIMMMMLLLGKKKKIIMMLLLLG,x.......x..x...x.x.x......x.......x.x....x.x.x......x........x.x....x.x.x......x.......x..x...x.x.x......x.......x.x....x.x.x......x........x.x....x.x.x......x.......x.x,180,Beginner,True
puzzle_2426,13,AAAABBCCCCCCCAAAAABCCDDDDDAAAAABBBDDDDDAAAEEBBBDDDDDAAAEEFFFDDDGDEEEEFFHFDIIGGEEFFFHHFJIIGGKKFFHHJJJIIIGKKKFHHJJJIIIGKLLLHHJJMIIIIKKLHHHJJMMMIIKKLLHLLJMMMMMKLLLLLLLMMMMM,AAABBBBBBBBBCAAAABBBBBCCCCAAAABDDDDDCCCAEEEDDFFFFFCCAAEEDDDGGFFCCAAAEGGGGGFFCCAAHHHGIGGFFFJHHHHHIIGGGJJJHHKKKIIIGGJJJHHKKKKIIIIIIJHHLLKKKMMMIIILLLLLMMMMMIIILLLLLLMMMMIII,....x....x..xx.x....x..........x...x.x..x.x...x..........x...x.x..x.x...x..........x....x.x.x.x....x..........x...x.xx.x.x..............x.x..x.x.x.x..............x.x.x..,193,Beginner,True
puzzle_2428,13,AABBBBBBBCCCCAABABBBBCCCCCDAAAAAABEECCCDDDDAAAEEEECEDDDDFAGGGGEEEFFFFFGGGGGEEEFHFFFGIIJJJJJFHHGGGIIJJJJJFFHHHIIIIIKJJFHHHHLMIIIKKKLHHLLLMMIIIKKLLLLLLMMMMKKKLLLLLLMMMMKKK,AAAAAABBBBBCCAAAABBBBBBBCCAAADDBBBEECCCFFFFDDDDDEECCFFFFDDDDGEEECFFFHHGGGGEEEEFFHHHGGIIIEEEFFFHHGGGIIEEEJFFFIIGIIKKKEJLLLLIIIKKKMEJLLJLLIIIKMMMJJLJLLIIKKMMMJJJJLLIKKKMMM,.x.x.......x......x.x.x...x..x.......x......x.x.x...x.x.........x....x.x.x......x.......x.x....x.x.x....x.x.......x......x.x.x.....x........x.x...x.x.x......x.......x.x.,194,Beginner,True
