name,N,board_1,solution,score,tier,is_solved
puzzle_461_1,13,AAABBBCCCCCCCAABBBDCCDDCCCAAABDDDDDECCCAAABDDFDDEECCAGGGFFFDDEECCAAGGGFFFDEEEEAHGGFFIIEEEIEAHHHHIIIIIIIIJHHHHHKKKKIILJJJHHKKKKKKILJHHHHKHKKMKKLHHHHHHHMKMMMLHHHHHMMMMMMML,.x.x.x..............x.x.x..x.x.x..............x.x.x..x.x.x..............x.x.x.x.x.x..............x.x.x..x...x.......x..x...x...x..x.......x...x..x.x.....x........x.x...x,185,Medium,True
puzzle_505_1,13,ABBBBBBCCCCCCAAADBBBBCCEECADDDDBBBBCEEEADDDDDFBBCGEGAAAHDFFBBBGEGAHHHHFFFIGGGGAHHHHHFIIIGGGAAAHHJIIIIGGGAAAAAJIIIIGGGAAAAKJJIIILLLMKKKKKJJIIILLMMKKKJJJLLLLLMMMJJJJJJJJLL,.......x.x.x..x.x.x...............x.x.x..x.x.x......x........x.x....x.x.x......x.......x.x....x.x.x......x........x.x....x.x.x....x.x.........x....x...x.x..x.x...x......,198,Medium,True
puzzle_210_1,13,AABBBBBBCCCCCAAABDDDDDCCEEAAADDDDDCCCEEAAADFFDCCCCEGAAAAFFFFFFEEGFAAAFHIIIFEEGFAFFFHHHIIGGGFFFFFHHHJIGGGKFJFFHHJJLLGGKKJJHHJJLLLGGKKJJJJJJJJLLGKKKJKMMMMJJLLKKKKKKKMMMLLL,..x.x.x..............x.x.x.x.x.x..............x.x.x.x.x.x..............x.x.x..x..x........x.....x.x.x...x.x........x.....x.x.x.....x........x.x...x.x.x......x.......x.x.,212,Medium,True
puzzle_221_1,13,AAABBBBBCCCCCAAAAABBDDDCCCAAAAEBBBBDDCCFFFFEBBBBDDCCFFFFEEBBBDDDCFGGGEEEEHHIIIFGGGEEEEHHIIIFGGGJKKKHHHIIFGGGJJJKHIIILFFGJJJJKIIILLFJJJJJLKKILLLFFJJMMLKLLLLLMMMMMMLLLLLLL,..x..x.....x.x......x.x.....x.x.......x......x.x.x...x..x.......x......x.x.x...x.x........x......x.x.x..x.x.x...............x.x.x.x..x.x..............x.x.x..x.x.x.......,243,Medium,True
puzzle_55_1,13,AAAAAAAAAAABBAACAAADAAABBBCCCEEEDAAAABBCCEEEEDDDAABBFCGGEEEDBBBBHFFFGGEEEIIIIHFFGGGJJEEIIHHFFGGGJJEIIHHHFFKKJJJJJLLHHFKKJJJJJJLHHHFKKJJLLLLLMMHKKJJJJMMMLMMMKKJJJMMMMMMMM,....x...x...x..x...x...x..x...x.......x......x.x.x...x.x........x......x.x.x..x.x.x...............x.x.x..x.x.x..............x.x.x.x.x..x..............x.x.x..x.x.x.......,245,Medium,True
puzzle_779_1,13,AAAAABBCCCCCCAAAABBCCCDCCCEAAABCCCCDCDCEEEEBFCCDDDDDGGEFFFCDDDDDHGGEEFFFFIIDDHGGEEFFFIIIHHHGEEFFJJJIIHHHGGGGGGGJIIHKHLLGGGGGJIIIKKLLLGGMJJIIIKKLLLLLMMMMIIKKLLLLLMMMMMIIK,..x...x...x..x...x...x......x...x....x.x...x...x......x.......x.xx...x.x..............x.x.x.x.x.x..............x.x.x..x.x.x..............x.x.x..x.x.x..............x.x..x,253,Medium,True
puzzle_707_1,13,AAABBBBCCCCCCAAABBCCCCCCCDAEAABBCDDDDDDEEAABBCDDDDDDEEAAAFCGGGGDDEAAHHFCIGGGGGEEHHHFFIIIIGGEEEHFFIIIIGGJEEHHHIIIKKKGJLEEHHIIIKJJJJLEEEMIIIKJJJJLLLMMMMMMJJJJLLLLMMMMMMJJJ,.....x.x.x....x.x.......x......x.x.x....x.x........x.....x.x..x...x.x........x......x.x.x..x...x.......x..x.....x.x..x...x.x........x.....x..x.x...x.x........x......x.x.,254,Medium,True
puzzle_149_1,13,ABBBBCCDDDDEEABBBBCCDDDDEEAABBBCCDDEEEFAAABGGCDFFFFFAAABGCCDFFFHFAAAGGCCDIIHHFJAAGGCCCIIIHHJAJGGCCCKIIHHJJJJJJJJKKIHHJJJJLLKKKIIIHJJMLLLIIIIIIHJMMLLLLIIILIHJMMMLLLLLLLLL,.......x.x.x..x.x.x..............x.x.x..x.x.x...............x.x.xx...x.x........x.......x.x....x.x.x....x.x........x.....x.x.x....x.x.......x.......x.x....x.x.x.....x...,271,Medium,True
puzzle_904_1,13,AAABBCCCCCCCCAAABBBCDCCCCCAAABBDDDCCCCCAAABBEEDCECECFFAABBEEEEEECFFAAAGEHEEIIIFFAGGGHHHEIIIFFFFGHHHHIIIIFFFFGHHHHIIIIFJJJHHHKKKIKLJJJJJHKKKKKKLJJJJMMMKLLKLLJJJJJMMMMLLLL,.x.x.x..............x.x.x..x.x.x..............x.x.x.x.x.x...............x.x.x..x.x.x...............x.x.xx...x.x........x.....x...xx.....x...x....x.x.......x......x.x.x..,272,Medium,True
puzzle_920_1,13,AAAAABBBCCCDDAAEEABBBBCCDDAEEEFBFBBCCDDAAEEFFFCCCCCDAAAAFFFFCCCCDGGAHHFFIICJDDGHHHFFIIJJJJDGHHHFFIKKKKJJGHHHFFIKKKKJLGGGHHFFFKKKJLMMMHHFFFKKKJLMMMMMMFFKKKLLMMMMMMFLLLLLL,.x...x.....x....x...x.x....x...x......x...x....x.x..x.....x.....x..x.x...x....x.....x...x....x.x.......x......x.x.x..x.x.x...............x.x.x..x.x.x..............x.x.x.,272,Medium,True
puzzle_275_1,13,AAAAAAAABBBBBCCCAAAAABBBDBCCEAAAFAFBBDDCEEEFFFFFBBBDEEEEFFFFFFBBDEEGGGGFFHHHHDEEIGGGGGHHHHDEIIIGJJGHHHHHEEIIJJJJJHKHHEEIIJJJJJLKHHMMMMMLJLLLKHHMMMMMLLLLKKHHLLLLLLLLKKKHH,....x....x.x.x.x...x..........x...x..x.x.x...x..............x.x.x.x.x.x..............x.x..x.x.x.x..............x..x.x.x.x.x..............x.x.x.x.x.x..............x.x.x..,274,Medium,True
puzzle_562_1,13,AABBBBBCCCCCCAABBBBBBCCCDCEABBBBBBBDDDDEAAAAAFFDDDDDEEAAAFFFFDDDDEGFFFFFHFHDDDEGGGFIIHHHDJJGGGGFIIIHHDJJGGKKFIIILLJJJGGKKFFIMLLJLLGKKKFIIMLLLLLKKKKFMMMLLLLLKKKKMMMMMLLLL,.x........x.x....x.x.x....x.x........x......x.x.x....x.x.......x......x.x.x...x..x.......x......x.x.x....x.x........x......x.x.x..x.x.x..............x...x.x..x.x...x....,283,Medium,True
puzzle_668_0,13,aaaaaabbcddddaaaaaabcccdddaeeafabccccddeeeffabbcccdceeegffbfffcccheeggffffcccchheggffffciijhhegiiiiiiiijhhhgkkiiijjjjhhhgkkkliijjmhhkkkllliiijmkkkklllllimmmkkkkkllllimmm,......x..x.x.x.x.x..............x.x..x.x.x.x..............x.x.x..x.x.x...............x.x..x.x.x.x..............x.x.x..x.x.x..............x..x.x.x.x.x...............x.x.x,293,medium,true
puzzle_990_1,13,AAAAABBBBBBCCAADAABBBCCCCCDDDDDEBECECCCDDDDDEEEEEFFCDDDDEEEEEEEFFGGDDHEEFFFFFFGGGGHHHFFIIIFGGGGJJHHFIIFFGGGGJJJHFIIFFKGLLJJJHMIIFFKKLLLJJHMMMMFKKKLLJJMMMMFFKLLLLJJJJMMMF,..x...x...x..x...x...x..........x...x.x.x.x....x.........x....x.x.x.x...x..........x...x.x..x.x...x..........x...x..xx.x....x.........x....x.x.x.x...x..........x...x..x.,300,Medium,True
puzzle_809_1,13,AABBBCCDEEEEEAAABBBCDEEEEEAAAABBCDEEEEEAAAAACCDDDEEEFFFFFFCDCCGGGFHIFFCCCCCGGGHHIIIICCCGGGGHHHIIJJCCCGGGHHIIIJJCGGGGGHHHHJJJJGGKKKHHLHLJJJJJKKKLLLLLJJJJMMKKJJJJJJMMMMKKK,x.x.x...............x.x.x..x.x.x..............x.x.x..x.x.x..............x.x.x..x.x.x...............x.x.xx...x.x........x.......x.x....x.x.x....x.x.......x........x.x...x,308,Medium,True
puzzle_257_1,13,ABBBCCCCDDDDDAABBCCCCDDDDDAABEEECCCDDDDAABBEEECCCDFFAAAEEGGGCCGGFHHAGGGGGGGGFFHAAGGIGGJGGFFHHAGGIIIJGGGFHHAKKIIJJJJJFHHAKKIJJJJJFFLLLKKKJJJMMMFLLLLLLLJJJMMMLLLLLLLLJJMMM,.x.x....x..........x...x.x..x.x...x....x.....x....x...x.x....x...x......x...x...x..x...x...x......x...x....x.x...x....x.....x....x...x.x....x...x......x...x....x.x...x..,309,Medium,True
puzzle_220_1,13,AAAAAAAAAABBCAAADDDAAAABBCADDDEDDAABBBCFFGGEEEEBBBBCFFGGEEEEHBBBCFFGGEEEEHHHICFFGGEEEHHHIIIFJJGEEEHHHIIIFJJGKKKKIIIIIFLJGKKKKIIIIILLJJJKKKMIIMMLLLLLLKKMMMMMLLLLLLLLMMMMM,.x....x.....x....x...x.x....x...x.....xx.......x.x.....x.x......x.x.....x.x......x.x.....x..x.....x.x......x.x.....x.x......x.x.....x.x......x.x.....x.x......x.x.....x..,311,Medium,True
puzzle_243_1,13,ABBBBBBBCCCCCABBBBDDDDCCCCAAABDDDDDCCCEAAABDDDDDDEEEAFAAAAAGGDGEEFFAAAAAGGGGGEFFAFFHHHIIGGIFFFFFHIIIIIIIJJJJHHKIIIIIIJJJHHKKKKKLLIMJJMMKKKLLLLIMMMMMKKKLLLLIMMMMMKKKLLLLL,....x...x...x.x....x...x.....x....x...x.x...x....x.....x...x....x.x...x...x......x...x...x.x....x...x.....x....x...x.x...x....x.....x...x....x.x...x...x......x...x...x..,311,Medium,True
puzzle_490_1,13,AAABBBBBBBBBBAAAACCBBDDDDBAAECCCFBBDDBBAAEECCFFFCDDDEEEECCFFCCDDDEEEEGCCCCCHHDIEEEGCCCCCCHHIIIGGCJJJCHHHKIGGGJJJJJHHJKIKGKJJLJJJJJKKKKKKKLLLLLLKKKKKKKKLLLLLKKKKKKMMMMMML,.x...x....x.....x....x...xx.....x...x....x.x...x....x.....x.....x..x.x.....x........x.x...xx.x.x...............x.x.x..x.x.x..............x.x.x..x.x.x..............x.x.x.,317,Medium,True
puzzle_518_1,13,AABBBCCCCDDDDAAABCCECDDFDDABBBBBEEDDFFDAAABBBBEDGGFFAAAABBEEEEGFFAAAABBEEEEGFFHIIABBBGGGGFFHIIIIJJJJJGGKHIIIJJJJJGGKKHHIILLJGGGGKKHHHMMLLLKKKKKHHHMMMLLKKKKKHHHMLLLLLKKKK,......x.x.x..x...x.......x..x...x...x......x...x...xx.x...x..........x....x.x.x.x....x..........x...x.x..x.x...x..........x...x.x..x.x...x..........x....x.x.x.x....x....,317,Medium,True
puzzle_596_1,13,ABBBCCCCCDDDDAABBBBCDDDEDDAABBBBCCFFEDDAABABCCFFFEEEAAAAAACCCFFFEGGAAAAAACCFFFGGGAHHHAFFFFFGIIIHHFFFFFJJIIIIHHKKFFJJJLLLIIIKKFJJJJLIIIIIKKFJMJMLLLKKKKMMMMMMLLLKKKMMMMMMM,.x.x........x......x.x.x...x..x.......x......x.x.x....x.x.......xx.......x.x....x.x.x......x........x.x....x.x.x......x.......x.x....x.x.x.....x........x.x...x..x.x.....,320,Medium,True
puzzle_212_1,13,ABBBBBBBCCCCCABADDBBBCCCEEAAADDFBBCCEEEAAADDFBBBCCEEAAADFFBBBGGEEAAADFFBBGGGGEAAAFFFFHHGIIIJAKFFHHHIIIIIJKKKKKKHHIIIIJKKKKKKLLIIIIJJKKKKMLLLIIIJKKKMMMMLLLLLJJJKKMMMMMMLL,..x.....x.x......x.x.....x.x......x.x.....x.x......x.x.....x.x......x.x.....x..x.....x.x......x.x.....x.x......x.x.....x.x......x.x.....x.x......x.x.....x..x.....x.....x,325,Medium,True
puzzle_333_1,13,AABBBBBCCCCDDAAABBBBBCCCCDAAAAAABBCCCCDAAAAAAEEEEECDFFAAAAAGHHECDFFFFIIAGHHHCHFFFFIIAGHHHCHJFFFIGGGKKHHHJFLIIIKKKHHHHJJLLLIIKKHHHMJJJLIIIIKHMMMLLLLLLMKKMMMMLLLLLLMMMMMMM,..x.x.......x......x.x.x...x..x.......x......x.x.x...x.x........x.....x.x.x....x.x.......x......x.x.x...x..x.......x......x.x.x...x.x........x.....x.x.x....x.x.......x..,328,Medium,True
puzzle_138_0,13,AAAABBBCCCDDDAAAABBBCCDDDDAAABBBEECCDDDFAABBBEEECDDDFAAFFBBBEEDDDFFFFFFBEEDDGGFFHHIIEEEEJJGKHHHIIIEJEJGGKHLHLIIIJJJGGKLLLLIKJJMGGGKLLLLLKJMMMMMKKKLLKKJMMMMMKKKKKKKJJMMMM,....x..x.x...x.x........x.....x.x..x...x.x........x.....x.x.x.....x........x.x...x.x..x.....x........x.x...x.x.x......x.......x.x....x.x.x.....x.........x.x..x...x.x....,329,Medium,True
puzzle_683_1,13,AAAAAAABBBBCCDAAADABBBBCCCDDDDDAAAABCCCEEEDDBBBBBBCCEEFDDDFBBBBGGEEFFFFFBBBGGGEEEHHHIIIGGGGEEEEHHIIIGGGJKKKHHHLLIGGGJKKKHHHLIIIJJJKKKLLLLLIIIJJKKKMMMMMMIIJMKKMMMMMMMMMMM,......x..x.x.x.x.x................x.x.xx...x.x........x.....x...x....x.x...x..x.x.....x.........x....x.x.x.x...x..........x...x.x..x.x...x..........x...x.x..x.x...x.....,330,Medium,True
