name,N,board_1,board_2,board_3,solution,score,tier,is_solved
puzzle_94,13,AAAAAABBCCCCCAAADAABCCCCCCAEDDABBFFFFFCEEDDABBFFFFFCEEDAAABFFGGFFEEDDHHBBBGGGIEDDDJHHHBGGIIEEEJJHHHHGIIIKKJJJJJJHHLIIKKKKJJJMHHLLIKKKKJJMMLHLLIKKKKJMMMLLLLIKKKKMMMLLLLLL,AAABBBBBBBCCCAAAABBBBDDCCCAAAABBBBDDCCCAAAAEBDDDFCCCGGEEEEDDDFCCCGGEEEEDDDFFFHGGGEEEIDDHHHHGGGIIIIIJHHHHKKIIILLLJHHHHKKIILLLJJMMHHKKKILLLJJMMMMKIIIKJJJJJMMMKKKKKJJJJJMMM,AAABBBBBCCCCCAAAAABBCCCCCCDAAABBECEFFCCDDDABBEEEFFFFDDDAEEEGEFFFHDDDAEEGGFFFHHIDDJEEEGGGHHHIDDJJJGGGGHKHILLJJJGGHHHKHILLLLJMGMHHKHIILLLJMMMMHKHIILLLJMMMKHKKIIIIIJJJMKKKK,.x.x..x..............x.x.x.x.x.x..............x.x.x.x.x.x...............x.x.x.x.x..x..............x.x.x..x.x.x...............x.x.xx...x.x........x.....x...x....x.x...x..,163,Beginner,True
puzzle_62,13,ABBBBCCCCDEEEAAABCCCCDDDEEAAFBBCCCDDDEEAAFFFGGGDDDEEAAAFFFGGDDDEEAAFFGGGGDDDEEAAFGGGHHIJJEJAHHHHHHHIIJJJAHHHHHHHIIIJJKKKHHLLLLIIJJKKKLLLLLLIIIJKKKKKLMMMMMIIKKKKLLMMMMMII,AABBBBCCCCDDDAABBEBCCCCDDDAABEEEECCCDDDAABBEEEEECDDDABBBFGGEEDDHHIIIFFGGGGDHHHIIIIFJGGGDHHHIIIFFJJJGHHHHIIIFFJJJJJJJHIIFFFKKJJJJLLFFFMMKKKLLLLLMMMMMMKKKLLLLMMMMMKKKKKKLL,AAAABBCCDDDEEAAAABCCCDDDEEAAABBCCCDFFFEGABBBBBCDDFFEGGBBBFFDDFFEEHGGBBBFDFFFEEHGGIIIFFFFJJEHGGIKIIIIJJEEHGKKKKKJIJJJEHKKKLKKJJJJMEHKKLLLLJMMMMMHHKKLLLLMMMMMHHHHLLLLLMMMM,.x.x.x..............x.x.x..x.x.x..............x.x.x.x..x.x..............x.x.x.x.x.x..............x.x.x...x..x.......x......x.x.x....x.x.......xx.....x...x....x.....x...x,207,Beginner,True
puzzle_36,13,AAABBBCCCCDDDABBBCCCCCCDDDABBBBCCEFFDDDAABBBEEEFFFDDAAEEEEFFFFFGDAAHHEEEFFFGGDAIHHHHHHFFGGGAIIIHIIHHJJJGAAKIIILHJJJJGAAKIILLLLJJGGKKKKILLLMMMGGKLLKILLMMMMGGKKLLLLLMMMMGG,AAABBCCCDDDEEABABBCCCDDDEEABBBFCCCDDDEEABBAFFCCGGDEEAAAAAFGGGDDEEAFAFFFGGGDEEEFFFFFGGHGGGEIFJFGGGHHGHHIIJJJJJJKHHHLLIJJJJKKKKHHLLIMMJKKKKLHHLLIMMMKKKKLLLLIIMMMMMMMLLLLII,AAAAABBBCCCCCDAAAAEBBBCCCCDDDAEEEEBCFFCDDDAEEEBBCFFFGGDDDEBBCCFFFGGDDEEEEFFFFFGGDDDHEEEIFIFGGDDHHEIIIIIFGJJHHHHIKIKKFJJJJJHHKKKKKKLJJJJHKKKKKKKLLLLLLLKMMMMMLLLKKKKKMMMMM,..x.x.x..............x.x.x.x.x.x..............x.x.x.x..x.x..............x.x.x..x.x.x..............x.x.x.x.x.x..............x...x.x.x..x...x..........x...x.xx.x.....x....,220,Beginner,True
puzzle_84,13,AAABBBBBBBCCCAAABBDBBBCCCCAAADDDBEEFCCCADDDBBBEFFCCCDDGGBBBEFFCCCGDDGGEEEFFHHHGGGGGEEIIFHHHGGGGJIIIIFHHHKKKKJIIILHHHMKKKJJIIILLHHMKKKJJILLLLHHMKJJJJILLLMMMMJJIIIILLLLLMM,ABBBCCCCCCCDDAABBBCCDDCCDDAABBBBBEDCCDDAAABFBEEDCCDDGAFFFEEEDDDDDGGGGFEEHIIIIIGGGGFEHHHIHIIGJJGFFFFHHHHIGJJJJFFKLLLHIGJJJJJFKKLLIIMMMMMJFFKLLIIMMMMMJFKKLLLLMMMMJJKKKLLLL,AAAAAAAABBBBBAAAAAACABBBBBDDDDCCCCCEEEBDDFDCCCCCEEGBDDFFHCCCEEEGGDDFFHHEEEEEGGDFFIHHHHJJGGGFFIIIHKHHJGGGFFIIHHKKHJJJLFFIIIIKKJJJLLMMIIIIKKKJJLLMMMMMKKKKJJJLMMMMMKKKLLLLL,x.x...x..............x.x.x.x.x.x..............x.x.x..x.x.x..............x.x.x..x.x.x..............x.x.x.x.x.x..............x...x.xx...x...x......x.......x.x....x.x.x....,245,Beginner,True
puzzle_72,13,AABBBBBBBCCDDAABBECCCCCDDDAABBEEECFCDDDAEEEEEGFFCCDDAEEGGGGFFHCCIAAGGGGFFFHCCIAAAAGGFFFHHCIJAAKGKFFHHHHIJJKKKKKFFIIHIJJKKLKKKKIIIIJJJJLLMKMMMIIJJJLLLMMMMMIIJLLLLLMMMMMMI,AAAAABBBBBBCCDDDDAAABBBBBCDDDDDAABCCCCCEEDDDDAAAACCCEEFFFFFGGHCCHIEEEFFGGGHHHHIIEFFFGGJHHHHIEEEKKGGJJJHHIIEKKKGGJJJHHIKEKKKGGJJJJJIKKKKLLGMJJJJIIKKKLLLMMMMMIIKKLLLLMMMMM,AAAAABBBBBBCCADDAAEBFFFBCCAADEEEBFEFFFCAADDEEEEEEFCCAADDDEEEEFFCCDDDGGEHHEFCCCDDGGGHHHEIIIIGGGGHHHJEIIIIGGGGHHHJJKIIIGGLLMMJJJKIIILLLMMMJJJKKIKLLLMLMMJJKKKKLLLLLLMJKKKKK,...x..x.....xx.......x.x....x.x.x..............x.x.x.x.x.x..............x.x.x.x.x..x..............x.x.x.x.x.x...............x.x.x..x.x.x...............x.x.x.x..x.x......,252,Beginner,True
puzzle_49,13,AAABBBBBBCCCCAABBBBBBBCCCCAADDBBEFFFCCGADDDDDEFFFCCGADDDDEEEFFCCGHHDHHEEEFFCGGHHHHEEEIFFFGGHJHHHEIIIFFGGJJJHKKILIIIGGJJJKKKLLLIIGGJJKKKKLLMMIIIJJJKLLLLMIIMMJJJKLLLLMMMMM,AAAABBCCCCDDDAAABBBBCCDDDDAABBBBECCDFFDAAGGBEEECFFFDAAGGBEECCFFFDGGGEEEEECFFFDGGGEEEEEFFDDDHHGIIIIIFFJJDHHHHIKLLLLLJJHHHHHKLLLLLJJHHHHHKLLLLLJJMMKKKKKMMMMJJMMMMMMMMMMJJJ,AAABCCCDDDDEEAAABCCCCCDDEEAABBBFFCCDDDEAABBBBFFDDDEEAAABBBBFFFEEEGGGBBBFFFFEEHGGGIIIIIFEEEHGGGIIIIIIIHHHGGIIJKIIIIHHHGGIJJKKKLLHHLGJJJKKKKKLLLLMMMJJKKMMMLLLMMMMMMMMMMLLL,..x.....x.x..x...x.x..............x.x.x..x.x.x......x.......x..x...x.x.x......x........x..x...x.x.x......x........x.x...x.x.x......x.......x.x....x.x.x......x.......x.x.,260,Beginner,True
puzzle_68,13,AAAAAAAAAAAABCCCCDDAEAAAABCCCCDDEEEBBBBCCDDDDDEEFFFBGCHHHEDEEFBBBGGHHHEEEEFFBBGGHHHIJFFFFBKGGGHIIJFFFLLKHHGHIJJJLLLLKHHHHIIJJLLLKKHMHHIIJJLLLKKMMHMMIJJJJLKKMMMMIIIIIJLLK,AAAAAAABBBBBBACCAAAABBBDDBCCCAAEAEFFDDBCCAAAEEEEFDDDCCGGGGEEEFDDDCHHGHGGEIFFDDCHHGHGEEIFFFDCCHHHGGGIIFJJKHHLHGIIIIJJJKHKLLMIIIMMJJKKKLLMMIIIMJJKKKLLMMIIMMJJLLLLLMMMMMJJJ,AAAAAABBBBBBBAAAAAAACCCBCBDAAEAAECCCCCCDDEEEEECCFCCCDEEEGEHHCFFFFDEEGGGHHHFFIIDDEGJGGHHFFIIDDDGJJGGHFKIIDLDJJJGGHKKIILLLLLJJHHKKIKLMMMMJJJHKIIKLLLMMJJKKKKKKLMMMMJJJJKKKK,.......x.x.x..x.x.x..............x.x.x..x.x.x..............x.x.x..x.x.x...............x.x.xx...x.x........x.......x.xx...x...x......x...x...x..x...x...x......x...x.....x,267,Beginner,True
puzzle_47,13,AAAAAABCCCCCCAAADDABBBCBCCADDDDBBBBBBBCAADDDDDBBEEECDDDDFEEEEEEGGFDDFFFEHEHHHGFFFFIIHHEHHGGFFIIIHHHHHHGGJKKIIILHHHHGGJKKKKLLLMMMGGJKKKLLLLMMMMGJKJKJJLLMMMMGJJJJJJLMMMMMM,AABBBBBBBBBBBAAAABBCCCDDBBAAEAACCCCCDDDAAEEEEEEFCCCDGEEGEEEFFFFDDGGGGEHHFFFFFDGGIIIJHHHFFKDGGIIIJHHHFKKDGGIIIJJHHHHKKGGIILLJJJHHKKGGGMLLJJJLKKKMMMMLLJJJLLKKMMMMLLLLLLLKK,AAAABBBBCCCCCDAAAAABBCCCCCDDDAAABBEEFFFDDDDDBBBEEFFFDGGGDDDBEEFFFGGGGDBBBEEEEEGHGGDIIBIIIEIHHHGJJIIIIIIIHHJJJJJKKLLLLHHJJJJKKLLLLLHHHHMJJKLLKLLMMMMMMKKKKKLLMMMMMMMKKKKLL,...x....x...x.x....x...x......x...x...xx.....x...x....x.x.......x......x.x.x..x.x.x...............x.x.x..x.x.x..............x.x.x..x.x.x..............x.x.x.x.x..x.......,282,Beginner,True
puzzle_31,13,AAAAAABBBBBBBCAAADAABBBBBBCDDDDAAEBBEFFCCDDDDEEEEEFFCCGGGDGEEEEFFCCCCGGGEEEFFFCCCGGHHIEEFFJKKHHHHHIIIIFJKKHLLHHHIIIJJKKHLLHHHIIJJJKHHLLLMMIIJJJKKKKLLMMMMJJJKKKKLLMMMMMMM,AAABBBBBCCCCCAAABBBBCCCCDCAAAEEBFFDCCDCAAAEEBBFDDDDDAAAEEEBFFDFFDGAAHHEEFFFFFFGGIHHHHHFFFJJGGIIIIIHHJJJJGKIIIIIIHHJLLGKKKIIMJHHJLLGGKKMMMJJJJLLGKKKMMMMLJLLLGGKKKKLLLLLLL,AAAAAABBBBBBBAAAAAACCBBBBBDDACCCCCEFBBBDDDGGCCEEFFBBDDDDGGEEFFFFFHHHDGGGEEFFFIHHHHGGGEEEFFIHHHHGGGEEJKIILLHMMMEEEJKKILHHLMMMMJJKKILLLLLLLMJJKKILLJJLJMMJKKIILJJJJJJJJKIII,.x.x.......x......x.x.x....x.x.......x......x.x.x....x.x........x......x.x.x..x.x.x..............x.x...xx...x.....x....x...x.x........x.....x.xx.x....x..........x...x.x.,284,Beginner,True
puzzle_19,13,AAABBBBCCCCCCAAABBBBDDCCCDAAABBBBDDDDDDEEAAABBFFFFDDEEAAAGBFFFHDDEEEEGGBFFHHHHEEEEGGBIFHHHHEEGGGGIIIIIHHJJGGGGGKIIHHHJJJKKKKKKIHHLJJJKKKKMMMLLLJMMKKKMMLMLLLJJMMMMMMLLLLL,AAAAABCCCDDDDAAAABBCCCDDDDAAAABBBBCDDDDEEAEEBBCCCFGGEEEEHBBCCCFGGEEEHHHBCFFFGGEIIIIHHFFFFGGEEIIIHHHFFFGGJJIIHHHKKFFGGJJIILLKKKKMMMJJIILLKKKKMMMJJILLLLLMKMMMJJJLLMMMMMMMM,AABBCCCCCDDDDAABBCCCCCDDDEAABBBFFCCDDDEAABBBFFGGGDDEHAABBFIIIGDDEHHHBBFIIJGGEEHHHBFFIJJGGEEKHHBFFIIJJGEEKKHHFLIJJGGEEKKKHLLILJJJJEKKKHLLILMMJJEKKHHLLLLMMMJEKHHHHHMMMMMJJ,.x.....x...x....x.x...x....x.....x...x....x.x...x....x.....x....x...x.x....x..x.......x...x....x.x...x....x.....x...xx...x.x........x......x.x.x...x.x........x.....x.x..,290,Beginner,True
