name,N,board_1,board_2,solution
puzzle_1025_0,9,AAAAABBBBCAAABBBBBCADDDDDDBCCDDEFFFFCCEEEGFFFCCEEEGGGFHHHHGGGGGHHHHGIIGIHHIIIIIII,AAAABBBBCDABBBBBCCDABBEBCCCDAAEEBFCGDAAEEFFFGDDAEEEFGGDDDFFFFGGHHHFIIIGGHHHIIIIGG,.x......x...x.x...x......x...x.x..........x.x.x.x..........x.x.x.x..........x.x..
puzzle_8214_2,9,AAAAAABBBAAAAAABBBACDDDDBBECCFDDDDEECCFFDGGEHCFFGGGEEHFFFGGGHHHFFFGIGHHHIIIIIHHHH,AAABBBBBBAAACCCBBDAAACECBBDFFFFECBDDFFFFEEEEDFFFFEEGGDHHHIEEGGGHHHIIEEEGHIIIIIEEE,..x.x..........x.x.x.x..........x.x.x.x...........x.x..x.x...........x.xx...x....
puzzle_497_2,9,AAABBCCCCAAABBBCDCAAABBDDDCAAEBEDDDDAAEEEEDDDFFFFEEDGDFFFHIIGGDFFFHIGGGGFHHHIIGGG,ABBBBCCDDABBCCCDDDAAAEECDCCAAAEECCCCAFFEEEECCAFFFGGGGCFFGGGGGHCFFFIIGHHCFIIIIHHHC,...x..x...x......x....x.x....x.....xx...x......x....x.x....x......x...x..x...x...
puzzle_3638_1,9,AAAABCCCCAADABBBCCEADDBBCCFEDDGBBBFFEDDGBBBFFEDGGBHHHFEHHGBHHHHEEHHHHIIIEHHHHIIII,,..x..x...x......x...x.x....x......x....x.x....x......x...x..x...x......x....x.x..
puzzle_6685_1,9,ABBBBBBBBACCCCBBBBACDCBBBBEACDDEEEEEACDDEEFEGDDDDDFFGGHHDDDFGGGHHHIIIGGIHHHHIIIII,,x......x...x.x..........x.x..x.x....x.....x.....x....x.x...x......x...x..x...x...
puzzle_7158_1,9,AAAAABBBBAABBBBCCCABBBBDCCCBBBBDDDDEBFGGDHEEEBFFGHHHEIGFGGHHHEIGFGIHHEEIGGGIIIIII,,x.x..........x.x....x.....x....x.x...x......x...x.x....x.....x....x.x...x......x.
puzzle_1,9,AAAAABBBBAAAAABBBBCCCDDDDDBCCEEFDDDGCCEEFDDGGCEEEFDDGGHEEEEEGGGHHHHIIIIIHHHHIIIII,AABBBBCCCAAABBBCCCAAABBBBCCDDEEEEFFFDDDEEEFFFDDDEEEEFFGGHHHHIIIGGGHHHIIIGGGHHHHII,...x...x.x....x.....x....x.x...x......x...x......x...x.x....x.....x....x.x...x...
puzzle_2,9,AAABBBCCCAAABBBCCCDAAEBBFCCDDDEEEFFFDDDEEEFFFDDDEEEFFFGGDHHEIIFGGGHHHIIIGGGHHHIII,AAABBBCCCAADBBBECCADDBBBECCADDFFBEECGDDFFFEECGDDHFFEEIGGDHHHEEIGGDHHHEIIGGGHHHIII,...x...x.x....x.....x....x.x...x......x...x......x...x.x....x.....x....x.x...x...
puzzle_3,9,AAAABBBCCAAAABCCCCAABBBCCCCDDDDEEEFFDDDDEFFFFDDEEEFFFFGGGGHHHIIGGGGHIIIIGGHHHIIII,AABBBBBBCAAAABBCCCDDAAACCCCDDDAEECCCDDFEEECGGFFFEEHGGGFFFFHHHGGFFFIIHHHHFIIIIIIHH,......x.x..x.x....x......x....x.x....x.....x....x.x....x......x....x.x..x.x......
puzzle_4,9,AAAABBBCCAAAABCCCCAABBBCCCCDDDDEEEFFDDDDEFFFFDDEEEFFFFGGGGHHHIIGGGGHIIIIGGHHHIIII,AAAAAABBBAAAAACCCBDAACCCCCCDDAECCCFFDDDEEEFFFDDGGGEHFFGGGGGGHHFIGGGHHHHHIIIHHHHHH,......x.x..x.x....x......x....x.x....x.....x....x.x....x......x....x.x..x.x......
puzzle_5,9,AAAAAAABCABBBBBBBCABCCCCCCCDDDDDDDEFDEEEEEEEFDEFFFFFFFGGGGGGGHIGHHHHHHHIGHIIIIIII,AAABBCCCCAAABBBCCCAAADBBCCCEEEDDDCFFEEEDDDFFFEEGDDDFFFGGGHHDIIIGGGHHHIIIGGGGHHIII,...x...x.x....x.....x....x.x...x......x...x......x...x.x....x.....x....x.x...x...
