name,N,board_1,board_2,solution,score,tier,is_solved
puzzle_4,9,AABBBBCCCAABBBBCCCAADDBECCFAADDEEECFADDDEEFFFDDEEEFFFFGGGGHHIIIGGHHHHIIIGGGHHHIII,AAABBBBBCADDBBBCCCADDEBECCCAADEEEECCADDEEEFFFADDGGGGFFHHGGGGGFFHHHHIIIIFHHHIIIIIF,...x.x...x......x...x..x...x......x...x.x..........x.x.x..x..........x.x.x.x.....,1024,Expert,True
puzzle_537,9,AAAABBBCCAAAABBBCCDDABBECCCDDDBFEEGCDDDFFEEGCDFFFFEEGGHHFFIEEGGHHHIIIIGGHHHHIIIIG,AAAAAAABBAACCBBBBBDDCCEEEBBDDCCEEEFFDDCCEEEFFDDCGHHHHFIDIGHHHHFIIIGGGGHFIIIIGGGFF,.x.x..........x.x..x.x...........x.xx...x......x....x.x....x.....x.....x....x.x..,1215,Expert,True
puzzle_49,9,AAAABBCCCAAAABBCCCDDDABBCCEDDDBBBECEDFDGGEEEEDFGGHHHEEFFGGHHHHIFFGGHIIIIFFFGHIIII,AABBBBBCCAAAAABBCCDDDEAABCCDDDEEFBCCGDDEEFFCFGDHHEEFFFGGHHHEEFFGGGHIIIIIGGHHHIIII,.....x.x..x.x...........x.xx...x......x.....x....x.x..x.x...........x.x..x.x.....,1446,Expert,True
puzzle_725,9,AABBBCCCCAADDBBCCCAADDBBCECAAADBBEEEFFFDEEEEGFFFDDEGGGFHHDGGGGGFFHHHHIIIHHHIIIIII,ABBBBBCCCAAABCCCCCAABBBDDDCAAADDDDEEFFFGGDDEEFFFGGGEEEFFHHGGGGEFHHHIIIIEHHHHIIIII,....x.x...x......x...x.x....x.....x....x.x...x......x...x.x....x.....x....x.....x,1390,UNSOLVED,False
puzzle_988,9,AABBBBCCCAAABBBCCCAAABBDDCCAEFFFDDDCEEEFFDDDDEEEFFGHHHEIEFGGGHHIIIFGGGHHIIIIIGGHH,AAAABCCCCAAAABCCCCADDBBBEECDDDBBEEEEFDDBBEEGEFFDDFHHGGFFFFFHHGGIIIIIHHGGIIIIHHHGG,x.x..........x.x...x......x....x.x....x.....xx....x......x...x..x...x......x...x.,1060,UNSOLVED,False
puzzle_611,9,AABBCCCCCAABBCDDCCAABBCDDEEAABDDDFEEAGBBDDFEEGGGHHHFFEGGHHHFFFEGIIHHHFFEGGIIIIIII,AAAAABBBBAAACCBBBBDAECCBCFFDEECCCCFFDEEEEEEFFDDDDGGGGFDHDGGGGFFHHHHIGIIIHHHHIIIII,.x..x..........x.xx..x..........x.x..x.x...........x.x..x.x....x......x...x..x...,939,UNSOLVED,False
puzzle_190,9,AAABBCCCCAAAABBBCCAABBBBCCCDDDDDDEEEFFDDDEEEEFFFFGGHEEFIFFGGHHHIIIIGGHHHIIIIGGGHH,AAABBBCCCAAABBBCCCADABBBCCCDDAEFFFFFDEEEEGFFFDEEEGGGGFDEHHGGIGIDHHHGIIIIDDHHHHIII,....x.x..x.x..........x...x.x....x.....x....x.x...x......x...x.x....x.....x....x.,895,UNSOLVED,False
puzzle_280,9,AAAABBCCCAAABBBCCCADABECCCFDDBBEFFFFDDEBEFFFFDDEEEGGGGDDEEHHGGGIIIIHHGGHIIIIIHHHH,AAAABBCCCAAABBBCCCDDABBECCCFDABBEEEEFDDDGEHEEFDDDGHHEHFFGGGHHHHFFGIIIIIHFFGGGIIII,.x..x..........x.x..x.x....x.....x.....x....x.x...x......x...x.x....x.....x....x.,860,UNSOLVED,False
puzzle_876,9,AAABBBBBBAACCBBDDDAACCCBDDDAACEEEDDDCCCEEEFFFGGGEEEFFFGGHHFFFIIGGHHHIIIIGGHHHHIII,AABBCCCCCAABBBCCCCAABBBBDDDAAEEDDDDDAEEEFFFFDGGEEFFFFFGGEEHHIIIGGGHHHHIIGGHHHIIII,....x..x.x.x..........x.x...x......x...x.x....x.....x....x.x...x.......x..x...x..,817,UNSOLVED,False
puzzle_875,9,AAAABBBBCAADDBBEBCAAADBEECCFFFDBEECCFFFDDEECCFFDDDGEECFHHGGGGGIHHHGGIIIIHHHHGIIII,AAABBBBBBAAAABBCCBAADDDDCCCEDDDDDCCCEEEEFFFGCHEEEIFFGGHEIIIFFGGHHHIIFFGGHHHHIIIGG,..x....x.x...x..........x.x.x.x..........x.x..x.x..........x..xx.x..........x.x..,815,UNSOLVED,False
