name,N,board_1,board_2,solution,score,tier,is_solved
puzzle_5201_0,9,AAABBCDDDAABBCCCCDABBCCCECDABBCCEEEDBBEEEEFFDBGGFFFFFDGGGGGFHFDIGIGHHHHHIIIGHHHHH,AAAAABBCCADAAABCCCDDDBBBCCEDDFFBBBEEDDFFFGGEEHDFGGGGEEHFFGIGEEEHFHIIIIIIHHHHIIIII,..x.x..........x.xx...x..........x.x.x.x..........x.x..x.x..........x.x.x.x......,502,Expert,True
puzzle_2667_0,9,AABBBBBCCADDBBBCCCAADDBEECFAADEEEECFAGGEEEEEFAGGGGGEFFGGHHHFFFIGGHHIFIIIGGHHIIIII,AAAABBBCCAAAABBCCCDAAABBCCCDDDBBEEFFDDDEEEFFFDGGGEEEHFDGGGGEEHFIIGGEEHHHIIIIEEHHH,.....x.x.x.x..........x..x.x.x..........x.x...x......x...x.x....x......x...x..x..,503,Expert,True
puzzle_5881_0,9,AAAAABBBBCADEEBBBBCDDDEFFFFCDDDEFFFFCCDEEGGFGCCEEEGGGGHCEEIIIIGHHEHHHIIGHHHHIIIII,AAABBBBCCAABBBBBCCAAADEBBCCFADDEECCCFDDDGEEHHFGGGGEEHHFFGIGEEHHFFGIIIHHIFFGIIIIII,.x.x..........x.x.x..x..........x.x.x.x..........x.x....x.....x....x.x...x......x,503,Expert,True
puzzle_5520_0,9,AAAABCCCCADABBCBCCDDDBBBBBCDDDDDDBECFDDDGGEEEFFGGGGEEEFFGHHHEEEFFFHHIIIEHHHHIIIII,AAABBBCCCAABBDCCCCAEEEDFFFCAEEEDFFFCAAEEDDDFCAGEEEDDDCGGHEEIDICGGHHHIIIIGGHHHHHHH,....x.x..x.x............x.x..x.x....x......x....x.x....x.....x....x.x....x......x,503,Expert,True
puzzle_7796_0,9,AAAAABBBBACAABBBBBCCDDBEEEECCDDDEEEECCDDDDEEEFFFFDDGGEFFHFFGGIIHHHHGGIIIHHHHHGIII,AAABBCDDDAAABCCCDDAABBECCDDFFBBECCCDFEEEEECCGFHHIIECGGFFHHIEEGGFFHIIEEGGFFHIIIIIG,.x.x..........x.x..x.x...........x.xx...x......x....x.x....x.....x.....x....x.x..,504,Expert,True
puzzle_5716_1,9,AAABBBBBBCAABBBBBDCCAAEEBBDCCFEEEDDDCCFFEEEDDCFFFGEHHHFFIIGGHHHFIIIGGHHGIIIIIGGGG,AABBBBBBCAAABBBCCCADDDCCCECADDFFFFEEAAGGGFFEEAAGGGFFFEHGGGIFFFEHHGGIIIEEHHHIIIIEE,....x.x...x......x...x.x....x.....x....x.x...x......x...x.x....x.....x....x.....x,504,Expert,True
puzzle_3776_0,9,AAAAABBCCADDABBCCCAADDDBCCCEAADDFCGCEAEDFFGGCEEEEFFFGGHHHFFIFGGHHHFFIGGGHHHIIIIII,AAAABBBBBAACAADBBBACCCEDDDDCCCEEDEEECCFEEEEGGCFFEEGGGGFFFHGGIGIFHHHHHIIIHHHHHHIII,......x.x.x.x..........x.x..x.x..........x.x.x.x..........x...xx.x..........x.x..,506,Expert,True
puzzle_4599_0,9,AAABBBCCCAAAABBCDDAAEEFBCDDAEEGFBCDDEEGGFFFDDGGGGFFFDHIIIGGGFDHIIGGFFFHHIIGGHHHHH,ABBBCCCDDABBBCCCCDAABBCCDDDAABEEEEDDAAAEEEFFDGGAHHHHFFGGGHHHIFFGGHHIIIFFGIIIIIIFF,..x.....x....x.x..x.x...........x.x..x.x..........x.x..x.x...........x.xx...x....,507,Expert,True
puzzle_2391_0,9,AAABBBBCCDDABBEECCDAAABEECCDDDBBEECCDDDBFFFFFGGHBFFIIFGHHFFFFIIGGHHHHFIIGGGGGHHII,AAABBBBCCAAABBBDCCABBBBDDCCAEBBDDCCFEEEGGGGCFEEEEHGGFFEEHHHIIIFEEHIIIIIFEEHHIIIFF,.x..x..........x.xx..x..........x.x..x.x..........x.x.x.x..........x.x....x.....x,509,Expert,True
puzzle_5481_0,9,AABCCCCDDAABBBCCDDAAABBCEEDAABBBCEEEFFGGBEEEEFFGGBHEEEFFGGGHHEHFFIIGIHHHFIIIIIHHH,AAAABBBBCAAAAABCCCAAAAACCCCDDDDECFCCEDDDEFFFGEEEEEFFGGEEEHHFFFGIIIIHFFFGIIIHHHGGG,.....x.x..x.x..........x..x.x.x...........x.xx.x..........x.x..x.x..........x..x.,509,Expert,True
