name,N,board_1,board_2,solution,score,tier,is_solved
puzzle_6462_1,9,AAAAAABBBCAAAABBBBCCCDDBBBBCCDDDBBEECDDDFFBEECDFDFFEEGHHFFFFFEGHHFGGIIIGHHGGGGGGG,ABBBCCCCCABBBCCCCDABBBECDDDAAABEEDFFABBBEDDFFAGBGDDDFFAGGGDHDDDGGGGDHHHHGIIIHHHHH,.....x.x.x.x..........x.x..x.......x..x.x..........x.x.x.x..........x.x..x.x.....,150,Hard,True
puzzle_737_2,9,AABBBBCCCADDDBBBCCAAAABBBECAAAAABEECFAFFFGECCFFFFGGGGCFFFHHGIIIHHHHGGIIIHHGGGGGII,AABBBBBCCAAABBBBCBABBBDDBCBAADDDDBBBAAEFDDGGGEEEFFFFFFEEEFFFHHFEEIFFFFHHIIIIFFFFF,.....x.x..x.x..........x.x..x.x...........x.x..x.x....x.....x....x.....xx...x....,150,Hard,True
puzzle_892_1,9,AABBBBCCCAAABBBCCCADBBEEECCADBBEEECFDDBBGGEFFDDDDDGGFFDHDIDGFFFDHIIGGFFFDHHIIIIIF,AAABBBBBBACACCCDBBCCCCDDDDBCCCCDDDDEFFCDDDDDEFFCGGHEEEFFGGHHEEEFGGGGHIIIFIIIIIIII,x.....x....x.x..........x.x..x.x....x.......x...x.x....x.....x....x.x....x.....x.,151,Hard,True
puzzle_2877_2,9,AAAAAABBBCCCAAABBBDDDDAABBEDDDDAEEEEDDDFEEEGGFFFFEEGGGFFFHEGGGIHFHHGGGIIHHHHHGGII,AABBBCCCCAABBBCCCCAAADDDDDCAAAADDDDDEAEEFFFGDEEEFFFFGGEEEHFIIGGEEHHFIIIGEHHHHHIIG,....x.x..x.x............x.x..x.x....x......x....x.x....x......x...x.x....x.....x.,155,Hard,True
puzzle_9246_1,9,AABBBBCCCABBDBBCCCADDDCCCCCADDDDDCCCEEEDDDCFFEGGHHFFFFGGGHHHHFFGGGHHHHIIGGGHIIIII,AAAAABBBBCAAADDBBBCCEEDBBBBCCCEDFFFBCCEEDDDBBCGGGGDDBBCHGGGDDBBHHHHHHIBIHHHHHHIII,.x.x..........x.x.x..x..........x.x.x.x............x.x..x.x..........x.x.x..x....,161,Hard,True
puzzle_9053_2,9,AAAAABBBBAAAACBBBDAEECCBBBDEEDDCCCDDEEDDDDDDDEEDFFGGGFEHHHFFFFFIIFFFFFFFIIIIFFFFF,ABBBBCCCCABBBBCCCDAAEBBBBDDAEEBEBDDDAAEEEEEDDEEEFFFFFDEGEHHIIIDEGGHIIIIDGGGHHDDDD,....x...xx.....x....x.x..........x.xx.x...........x.x..x.x..........x.x..x.x.....,162,Hard,True
puzzle_296_2,9,AAAABBBCCADDABBBCCADDDBBBCCAADDEBFFCGGGDEEFFFGGGGEFFFHIGGEEFFHHIIIFFFHHHIIIFFHHHH,AAAAAAAABACCCCCAABAAADDDDBBAAAEDDDBFAAAEDDDBFGGGEDDDHFIIIEEHHHFIIIIIHHHFIIIIHHFFF,......x.x.x.x..........x.x..x.x..........x..xx.x..........x..x.x.x..........x.x..,166,Hard,True
puzzle_6432_2,9,AAAAABBBBAACCCBBBBAAACCBBBBDDDCEEEBEDDDCEEEEEDDDFFFEGEDHFFIIEGEHHIIIIGGEHHHIIIEEE,AAAABBBBBAAAACDDDBACACCCDBBCCCCDDDDECFFFGGEEEHFFFGGEEEHFHGGGEIEHHHHIIIIEHHHHIIIIE,....x...x..x...x..x...x..........x.xx.x...........x.x..x.x..........x.x..x.x.....,168,Hard,True
puzzle_4890_2,9,AAAAAABBBACAADAAABCCCCDDAABCCCCDEEFBCCGCEEFFFGGGGEEHFFGIIIEEHHHIIIEEIHHHIIIIIIHHH,AAABBBBBCAABBDBBBCEFFFDBBBCEFFFDBBGCEEFFBBGGCEEFFFBBGGEFFHHBBGIHHHHBBIIIIIIIIIIII,..x...x..x...x......x.....xx...x..........x.x.x.x..........x.x..x.x..........x.x.,168,Hard,True
puzzle_4580_1,9,AABBBBBBBAABBCCBBBAACCCDEEBCCCCCDEEEFGGGDDDEEFFGGDDHHEFFGGGDHHHFFGGGIIIHIIIIIIIIH,AAABBBBBBCABBBDDBBCAABBDDDECFFGBEEEECFFGGEEHECCFFGGHHHCFFFFFFHHFFFIIFFHHFIIIIIIIH,.x.....x....x.x....x.....x....x.x...x.......x....x.x..x.x..........x.x....x.....x,169,Hard,True
