name,N,board_1,board_2,solution,score,tier,is_solved
puzzle_479_2,9,ABBBBBBBBAAAABCBBBADDDDCCCCEEEEDCCCCDDDDDFCFCDDGDDFFFCGGGGHHFICGGGGHHIIIGGGHHHHII,AAAAAABBBAAAACBBBBAAACCCCBBADDECFFFFADEECGFFFADEEEGFHFADDDHGHHFIIIHHHHFFIIIHHHHHF,x.....x....x.x..........x.x.x.x..........x.x..x.x..........x.x.x.x..........x...x,60,Medium,True
puzzle_6210_1,9,AABBBBBBCAAABBBBBCAAADDDDBCAEEFFDDDCAEEFFFFFCGEEFFFHHHGGIFFFHHHGGIIFIHHHIIIIIIIHH,ABBBBBCCCABBBADDDCAAAAAADDDEAAAADDFFEGGAGGDFFEGGGGGDFFEEGGGHDFFIIIIHHDDDIIIHHHDDD,...x..x...x......x....x.x..x.x..........x...xx.x...........x.x..x.x..........x.x.,60,Medium,True
puzzle_7360_1,9,AAAAABCCCAAAAABBBCDDDDDECCCDDDDEECCFDEEEEECCFDEEGGGCCFDHGGGGFFFDHHGIIIIFDHGGGIIII,AABBBBCDDAABBBCCDDAABBBCCCDAAAEECCDDAFFEEDDDGAFFEEHDDGIIFHHHDDGIIFFHHDHHIIFFHHHHH,x..x..........x.x.x.x..........x.x....x.....x....x.x...x......x...x.x....x.....x.,60,Medium,True
puzzle_2592_1,9,AAAAABBBBCCCCCBBBDCCCCCCBBDCEECCCBDDEEEFFCCDDEEGFFHHHDEGGFFIIHDGGGGGIIIIGGGGGIIII,AAABBCCCCABBBBBCCCAABBDDDCCAAEEEDDDCAAEEEEEDFAEEGGGFFFHHGGGIFFFHHHGGIIIIHHHIIIIII,x...x......x...x......x...x.x....x.....x....x.x...x......x...x.x....x.....x....x.,61,Medium,True
puzzle_889_2,9,ABBBCCDDDABBBBCDDDABAEECCDDAAAEECDDDAAFFEDDDDGFFFEDHHHGFFFFHHHHGGFFFIIIIFFFFIIIII,AAABCCCCCAAABCDCCCAAABBDDDDAAEBDDDDDAAEEEDDDDFFFGGGGGDFFGGGGGHDIIIIGGHHHIIGGGGGHH,...x.x....x......x....x.x..x.x..........x..x.x.x...........x.x..x.x...........x.x,61,Medium,True
puzzle_9326_2,9,AAAABCCCCAABBBCCCCDABBBCCCEDDBBFCGGEDBBBFCGGEDBBFFGGGGDDBFFFGGGHHHFFFIIIHHFFFIIII,AABBCCCCCAADBBCCCCAADBBEEFFDADDDEFFFDDDEDEFFGEDDEEEGGGEEDEHHHHHEEEEHHIIHHHHHHIIII,...x...x..x...x......x....x.x....x......x...x..x...x..x...x......x....x.x....x...,61,Medium,True
puzzle_4783_1,9,AAABCCCDDAABBCCCDDAAEBBBCDDAEEBBBDDDAFEEGGDGDFFFEFGGGDFFFFFHHHDFFFIFFHHHFFFIIIHHH,AAABBBBBBAAABBCDDDAAABCCEEDFFFBBCEEEFGBBBCEEEFGBBBBEEHGGIBBBEHHGGIIIIIHHGGIIIIIHH,x...x......x...x......x...xx.x...........x.x..x.x...........x.x.x.x..........x.x.,61,Medium,True
puzzle_6090_1,9,AAAABBBCCAAAABBBCCADAEBBBBCADEEEEFCCADEEFFFFCDDGFFFFHHGGGGIFFHHGGIIIFFFHGGIIFFHHH,AAABBBBBBAAAABCDDDEEFBBCCDDEEFFBCDDDFEFBBBGGDFFFFBBGGDFFFHHHGGGIIHHHHHGGIIIHHHHGG,x......x....x.x....x.....x....x.x....x......x....x.x....x.....xx...x......x...x..,61,Medium,True
puzzle_790_2,9,AAAAAAAABCAAAAABBBCAAADDBBBCDDDDDDBECDFFDDDDEFFFFGGGEEFHFGGGGIIFHHHGIIIIFFHHHHHII,AAABBBBBBAAAABBCDDAAEEECCDDAAEEEFCDDGAAFFFFDDGFFFFFDDDGFGHFIIIIGGGHIIIIIGGGHIIIII,....x...xx.....x....x.x..........x.xx.x...........x.x..x.x..........x.x..x.x.....,62,Medium,True
puzzle_3781_2,9,AAABBBBBBAAABBBBCBAAAAADCCBAEEEFDGCCAFFFFDGCCHHFFFGGIIHHFFGGGIIHHFFFFFIIHHFFFIIII,AABBBBBCCAAABBBBCCDDDBBBCCCEDDDBBCCCEEFFFFGGCEEFFFFGCCHEEEEEGGGHHEEEGGIIHHHHEEIII,....x...xx.x...........x.x..x.x..........x.x.x.x..........x.x...x......x...x..x..,62,Medium,True
puzzle_702_1,9,AAABBBBBBAAABCCBBBDDACCCCEBDDDFCEEEEDDDFFFEEEDDDDDGEEEDDDGGGHHEIIIIIHHHEIIIIHHHEE,AABBBCCCCAAABDDCCDBBBBEDDDDBBBBEDDDDFFFBEEEGDFFFFFGGGGFFHHHHGGGFIIIIIIGGFIIIIIIGG,......x.xx.x..........x.x...x......x...x.x....x.....x....x.x...x......x...x.x....,62,Medium,True
puzzle_6605_2,9,AAAAABBBBAAAABBCBBADAEEECCCDDAAEECCCDDDFFECCCGFFFFHHCCGGGFIIHHHGGFFFIIHHGGGFFHHHH,AAAAABBCCDDEAAEBCCDDEEEEBBCDDDDEBBBCDFDDGCCCCFFDGGCCCHFFGGGICCHFFGGIIIHHGGGGIIIII,x.x...........x.x..x.x..........x.x..x.x...........x.xx...x..........x.x..x.x....,62,Medium,True
puzzle_1631_2,9,AAAABBBBCDDAAABBBCDDAAABBBCEDAAFFCCCEDGGGFFFCEEEEGGHFCIEEEEEHHHIEEEEHHHHIIIIIHHHH,ABBBCCCDDABBACCDDDABAAACCCCAAAEAACCCFGEEECCCCFGEEEECHHFGGECCCHHFFFEIIIHHFFFIIIHHH,..x.x..........x.x.x.x..........x.x..x.x..........x.x.x.x..........x.x..x.......x,62,Medium,True
