name,N,board_1,board_2,solution,score,tier,is_solved
puzzle_9833_0,9,ABBBBBBBCABABDBCCCABABDDDCCAAADDDDCCEEFFFDDCCEEEFFDGGHIIEEFGGGHIIEFFGGHHIIIFFGHHH,AAABBBBBBAACCBBBDBACCCBBDDBAECCBDDFFEECCCCGFFEECECCGFFHEEEEIGGFHHEIIIIGGHHHIIIGGG,..x..x...x......x...x.x..........x.x.x..x..........x.xx..x..........x.x..x.x.....,5479,UNSOLVED,False
puzzle_158_0,9,AAAABBBBBCCCABBBBDCCCABEEDDFCCEEEDDDFFCEEEDDDFFCEGHDDDFFGGGHHIDFGGGGHIIIFFGHHHIII,ABBBCCCCCABBBDCCCCAAADDEEECAAFDEEEEEAAFDDEEGEAFFDDHHGGFFFFDHHHGFFIIIHHHGFIIIIIHHG,.x......x...x.x....x.....x....x.x...x......x...x.x....x.....x....x.....x....x.x..,5359,UNSOLVED,False
puzzle_528_1,9,ABBBBBCCCAABBBCCCCAABBBDDCCAAEEEEDDDFFEEEDDGGFFFEEEDGGHHFFIEEGGHHHHIEEGIHHHHIIIII,AAAAABCCCDAAAABCCEDBBBBBFCEDBFFBBFCEDFFFFFFEEDDGGGHFEEDIIGGHFEEIIIIGHHHHIIIIGHHHH,....x.x..x.x...........x.x..x.x..........x.x.x.x..........x...x.x....x.....x....x,4955,UNSOLVED,False
puzzle_4968_0,9,AAAABBBBCDAAABBBBCDDDCCBBCCDDDCCCCCEDDFFGGGCEFFFGGGGCEFFFGGGHHEFIIIHHHHEIIIIIHHHE,AAABBBCCCAABBBDDCCAEEBBDDCCAEEEBBDDCFFFEEGGDDFFFFEGGHDFFFFEGHHHFIIFEGHHHFIIIIGGHH,.x.....x....x.x...x......x...x.x..........x.xx.x..........x.x...x......x...x.x...,4614,UNSOLVED,False
puzzle_659_0,9,AAABBBCCCAADBBBBCCADDDDDBCCAEEEEBBCFAEEEBBFFFEEGGGFFFFHHHGGFFFFHHHHGIIIIHHHHGIIII,AAABBBBCCABBBDDDCCABBBDDDDCAEFFFFFDCAEEFFFFDCEEEEFFCCCGGHHHHIIIGGGHHHHIIGGGHHHHHI,x...x......x....x.x....x......x...x..x...x......x....x.x....x......x...x..x...x..,4509,UNSOLVED,False
puzzle_270_0,9,AABBBBCCCAAADBCCECADDDBBCECDDDFFBEEEDDDFFBEEEDDGGFFFEEGGGHHHFFIGGHHHHIIIGHHHIIIII,AAAAAAABBAAAAACBBBCCCCCCDBBECCDDDDFBEEDDGDFFFEEDGGGHFFEEIGGGHFFIIIIGGHHHIIIIGGGHH,.x..x..........x.xx..x..........x.x..x.x..........x.x.x.x..........x.x....x.....x,4347,UNSOLVED,False
puzzle_5129_0,9,AABBBCCCCAABBBCCCCAABDDCCCEFAADDCCEEFFGDGEEEEFFGDGGEEEHFGDGGGIIHHGGGHHIIHHHHHHIII,AAAABCCDDAABBBBCDDEEBBBBCCDEEFCCCCDDEEFCCCGDDEEFCHHGGGEFFCCHHHGEIFFIIHHGEIIIIIHGG,..x.x....x.......x....x.x..x.x............x.x.x.x..........x.x..x.x..........x.x.,4234,UNSOLVED,False
puzzle_9276_0,9,AABBBBBBCAABBDBBCCAAADDDBCEAAAFDDBCEGAGFFDCCEGGGGFDDEEHHHHFDEEEHHHHFDEEIHIIIIIIII,AABBCCCCCAABBBBCCCADDDEBCCFADDEEBBCFADDEEEFFFADDEEEFFFGDHHHHHIIGGGGHHIIIGHHHHIIII,......x.x.x.x..........x..x.x.x..........x.x.x.x..........x..x.x.x..........x.x..,4107,UNSOLVED,False
puzzle_4565_0,9,AAAAABBBBCAAAADDBBCAEEDDFFBCAAEDDFFFCCCEEDFFFCCCDDDDFFGGGGHHIIFGGGHHHIIIGHHHHIIII,AAABBBBBBAACDBBBBDACCDDDDDDACCDDDEEEACCFFEEEGACFFFEEGGHFFIIIEGGHHFIIIGGGHHHHIIIGG,.x....x......x...xx.x...........x.x..x.x...........x.x..x.x....x......x....x.x...,3829,UNSOLVED,False
puzzle_4083_1,9,AAAABBCCCAAAABBCCCDDDBBCCCCDEEEEECCFDDEEEGGGFHDEDGGGFFHDDDDGFFFHHDDDFFFIHHHIIIIII,AABBBCCCCAAABBBCDDAAEECCCDDAAEEFCDDDEEEEFFFDDEEEFFFFGGHEIIIIGGGHHHHIIGGGHHHIIGGGG,...x...x..x...x......x...x.x....x.....x.....x....x.x..x.x............x.x.x..x....,3714,UNSOLVED,False
puzzle_5827_0,9,AABBBBCCCAABBBBCCCAADDDECCCAAADDECEEFADDEEEEEFFDDGGGHHFIDGGGGHHFIIIGIGGHFFIIIIHHH,AAAABBCCCAAABBCCCCAAABBDEECABBBDDDEEFBFBGDEEDFFFGGDDEDHFHGGDDDDHHHGIIIIIHHHGGGIII,.x......x...x.x....x.....x....x.x...x......x...x.x....x.....x....x.....x....x.x..,3684,UNSOLVED,False
puzzle_3117_0,9,AABCCCCCDAABCCCDDDAABBBCDDEAAAABBDEEFFFABDDDEFFFGBBDEEFGGGHHEEIGGGHHHIIIGGHHHHIII,AAABBBCCCAADDDBCCEAAADDBCCEAAADDBCCEFDDDEEEEEFFFEEGHHHFFIEGGGHHFFIIGGGHHFFFIIGGGH,.x.x..........x.x..x.x...........x.x..x.x....x......x...x..x...x.......x....x.x..,3631,UNSOLVED,False
