name,N,board_1,board_2,solution,score,tier,is_solved
puzzle_630,8,AAAABBBCAAAABBBCDDDDEBBCDDDDDCCCDDDFFGCCHHHGGGCCHHHGGGCCHHHGGGCC,ABBCCCCCABBCCDDDABBCCDDDABBCCDDDEFFEEGGDEFFEEGGDEEEEEGGDEEEEEEEH,..x...........x.....x...x..........x.....x...........x.........x,13,Beginner,True
puzzle_1535,8,ABBBBBBBCDDDDDBBCDDDDDBBCCCCCCEECCCCCCEECFFFFFGGHGGGGGGGHHHHHHHH,AAAAABBCAAAAABBCDDDDABBCDDDDABBCDDDEFGBCDDDEFFCCHHHFFFCCHHHFFFCC,x.............x...x............x.....x.....x.....x..........x...,13,Beginner,True
puzzle_50,8,AAAAABBCAAAAABBCAAAAABBCDDDDABBCDDEEFGGFDDEEFGGFDDEEFFFFHHFFFFFF,ABBBBBCCDEEEBBCCDEEEBFGGDEEEBFGGDEEEBFGGDDDDHGGGDDDDHGGGHHHHHHHH,x..............x.....x....x.........x.........x....x.....x......,14,Beginner,True
puzzle_26,8,AABBBBBCAABBBBBCAABBBBBCDDEBBBBCDDEBFFFGDDDHGGGGDDDHGGGGHHHHHHHH,ABBBBCCCDEEBBCCCDEEBBCCCDEEBBCCCDEEBFGGGDDDHGGGGDDDHHHHHHHHHHHHH,x..........x...........x..x.........x.........x..x...........x..,15,Beginner,True
puzzle_102,8,ABBBBBCCDEEBBBCCDEEBFFGCDEEBFFGCDDDHGGGCHHHHGGGCHHHHGGGCHHHHGGGC,AAABBCCDAAABBCCDAAEFFGCDHHFFFGCDHHFFFGCDHHFFFGCDHHFFFFDDHHFFFFDD,x...........x.....x..........x...x............x....x...........x,15,Beginner,True
puzzle_7572,8,AAAAAAAABBBBAAAABBBCDDDDEEEDDDDDEEEDDDDDFFFGGGGDFFFGGGGDFFFFFFFH,ABBBBBCCABBBBBCCABBBBDEEFGGBBDEEFGGBBDEEFFFHHEEEHHHHHEEEHHHHHEEE,......x.x..........x.....x...........x....x.........x..........x,17,Beginner,True
puzzle_11557,8,ABBCCCCCABBCCDDDABBCCDDDABEFFGGDAAFFFGGDAAFFFGGDAAFFFGGDAAFFFFFH,AABBBBCCDDEEEBCCDDEEEBCCDDDDDCCCDDDDDCCCDDFFFGGGHHGGGGGGHHGGGGGG,.x.........x.........x....x...........x.....x...x..............x,17,Beginner,True
puzzle_26766,8,ABBCCCCCABBCDDDDABBCDDDDEFFEGDDDEFFEGDDDEFFEGDDDEEEEGDDDEEEEEHHH,ABBCCDDEABBCCDDEABBCCDDEABBCCDDEFGGFFHDEFGGFFFEEFGGFFFEEFFFFFFEE,......x...x.....x..........x.........x...x..........x..........x,17,Beginner,True
puzzle_311,8,AAABBBBBAAABBBBBCCCDDDDBCCCDDDDBCCCCCCCECCCCFFFGHHHHGGGGHHHHHHHH,AAABBBBBAACDDBBBAACDEFFFAACDEFFFAACDEFFFGGDDEFFFGGDDDHHHGGDDDHHH,.....x....x.....x..........x...........x....x.........x..x......,18,Beginner,True
puzzle_6,8,AAAAAAAABBBBBBBABBBBCCCDEEEEDDDDEEFFGDDDEEFFFHHHEEFFFHHHEEFFFHHH,AABBBBCCADEEBBCCADEEBBCCADDDCCCCADFFGGGGADFFGGGGADDDHHHHADDDHHHH,x..........x.........x.........x....x.....x...........x..x......,19,Beginner,True
